RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS
1,1,Tiger Woods,64,1.398,67.082,48
2,2,Steve Stricker,81,1.018,63.124,62
3,3,Robert Allenby,71,1.015,56.860,56
4,6,Zach Johnson,94,.844,66.714,79
5,4,Tom Lehman,55,.834,29.200,35
6,5,Sean O'Hair,80,.796,46.178,58
7,8,Tim Clark,81,.773,45.598,59
8,7,Jason Bohn,88,.754,61.830,82
9,9,Ernie Els,70,.722,38.969,54
10,10,Sergio Garcia,59,.650,28.608,44
11,11,Chad Campbell,90,.635,45.082,71
12,12,Scott Verplank,88,.621,49.070,79
13,13,John Senden,100,.606,55.775,92
14,16,David Toms,98,.566,45.240,80
15,14,Hunter Mahan,94,.561,42.084,75
16,15,Jim Furyk,86,.557,36.235,65
17,19,Justin Leonard,95,.547,41.009,75
18,18,Briny Baird,89,.515,37.087,72
19,17,Brett Quigley,92,.508,38.109,75
20,20,Camilo Villegas,76,.474,26.522,56
21,21,Padraig Harrington,66,.471,22.612,48
22,22,Woody Austin,84,.467,35.506,76
23,23,Rory Sabbatini,81,.452,30.305,67
24,25,Nick O'Hern,90,.451,38.346,85
25,26,Luke Donald,79,.426,25.981,61
26,27,Kenny Perry,92,.414,30.210,73
27,24,Joe Durant,62,.413,19.432,47
28,30,Paul Goydos,79,.395,25.693,65
29,28,Y.E. Yang,83,.386,26.991,70
30,29,Davis Love III,89,.378,29.125,77
31,30,Matt Weibring,65,.373,20.510,55
32,32,Alex Cejka,82,.372,26.436,71
33,35,Dean Wilson,81,.369,25.851,70
33,32,D.J. Trahan,96,.369,29.500,80
35,47,Jonathan Byrd,89,.368,29.056,79
36,34,Chris Stroud,88,.360,27.352,76
37,35,Fred Couples,54,.348,14.606,42
38,37,Nick Watney,86,.345,23.431,68
39,50,Ricky Barnes,67,.327,16.673,51
40,44,Rocco Mediate,79,.324,21.400,66
41,40,Steve Marino,98,.323,27.153,84
42,43,Vijay Singh,71,.319,16.286,51
43,42,Steve Flesch,77,.318,20.022,63
44,45,Jason Dufner,90,.313,24.396,78
45,40,Robert Garrigus,83,.311,22.426,72
46,39,Heath Slocum,95,.306,26.024,85
47,48,Boo Weekley,79,.301,19.540,65
48,49,Ángel Cabrera,55,.295,11.228,38
48,51,Greg Owen,97,.295,24.225,82
