RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,Joe Durant,96,72.86,"1,259","1,728",-0.24
2,2,Briny Baird,113,72.17,"1,416","1,962",-0.27
3,3,Dan Forsman,98,71.88,"1,268","1,764",-0.24
4,4,Chad Campbell,105,71.79,"1,318","1,836",-0.28
5,5,Tom Lehman,87,70.51,"1,028","1,458",-0.27
6,6,Jim Furyk,104,70.30,"1,278","1,818",-0.30
7,7,John Senden,111,69.97,"1,335","1,908",-0.25
8,8,Mike Heinen,89,69.86,"1,094","1,566",-0.28
9,11,Retief Goosen,69,69.79,804,"1,152",-0.30
10,9,David Sutherland,77,69.75,904,"1,296",-0.24
11,10,Bob Tway,89,69.74,"1,067","1,530",-0.27
12,15,Vijay Singh,106,69.47,"1,263","1,818",-0.33
13,12,David Peoples,96,69.36,"1,186","1,710",-0.25
14,13,Paul Stankowski,67,69.32,836,"1,206",-0.31
15,17,Robert Allenby,87,69.31,998,"1,440",-0.28
16,14,Jeff Brehaut,110,69.29,"1,322","1,908",-0.26
17,16,Joey Sindelar,93,69.17,"1,133","1,638",-0.24
18,18,Chris Smith,92,68.96,"1,142","1,656",-0.25
19,22,Kirk Triplett,92,68.91,"1,104","1,602",-0.27
20,27,Kenny Perry,98,68.81,"1,189","1,728",-0.26
20,19,John Huston,76,68.81,929,"1,350",-0.33
20,19,J.J. Henry,100,68.81,"1,189","1,728",-0.24
23,21,Shaun Micheel,97,68.79,"1,164","1,692",-0.25
24,23,Hal Sutton,81,68.75,990,"1,440",-0.25
24,23,Jeff Sluman,106,68.75,"1,287","1,872",-0.26
26,26,Tiger Woods,74,68.63,840,"1,224",-0.34
27,27,Spike McRoy,103,68.54,"1,246","1,818",-0.24
28,25,Ernie Els,65,68.52,740,"1,080",-0.29
29,29,Carlos Franco,99,68.50,"1,196","1,746",-0.26
30,37,Davis Love III,85,68.45,961,"1,404",-0.31
31,30,David Gossett,92,68.38,"1,120","1,638",-0.26
32,31,Marco Dawson,86,68.34,"1,021","1,494",-0.25
33,32,Hidemichi Tanaka,112,68.25,"1,376","2,016",-0.26
34,33,Stephen Ames,91,68.23,"1,093","1,602",-0.31
34,39,Jerry Kelly,108,68.23,"1,265","1,854",-0.28
36,34,Duffy Waldorf,90,68.15,"1,055","1,548",-0.28
37,35,Pat Bates,111,68.12,"1,312","1,926",-0.24
38,38,John Riegger,55,68.08,625,918,-0.26
39,40,Andrew Magee,91,67.99,"1,077","1,584",-0.26
40,36,David Toms,90,67.97,991,"1,458",-0.27
41,41,Kent Jones,74,67.95,844,"1,242",-0.28
42,42,Ian Leggatt,71,67.89,831,"1,224",-0.24
43,47,Charles Howell III,120,67.87,"1,405","2,070",-0.27
44,43,Kevin Sutherland,97,67.86,"1,136","1,674",-0.27
45,44,Mathew Goggin,90,67.84,"1,038","1,530",-0.23
46,45,Glen Day,103,67.83,"1,221","1,800",-0.29
47,48,Brandt Jobe,77,67.75,939,"1,386",-0.25
