RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION,GIR RANK
59,58,Trey Mullinax,75,1.759,"1,428",812,31.48,
59,58,"Ted Potter, Jr.",87,1.759,"1,736",987,29.91,
59,58,Grayson Murray,72,1.759,"1,425",810,34.20,
63,62,Chris Kirk,108,1.760,"2,292","1,302",29.53,
63,62,Cameron Percy,56,1.760,"1,102",626,29.92,
65,64,Ryan Blaum,81,1.761,"1,634",928,30.37,
66,66,Scott Brown,102,1.762,"2,040","1,158",28.87,
66,66,Brian Stuard,103,1.762,"2,065","1,172",27.61,
66,66,Martin Piller,79,1.762,"1,475",837,30.54,
66,66,Matt Kuchar,88,1.762,"1,695",962,29.24,
66,66,Ben Crane,65,1.762,"1,214",689,28.13,
66,66,Nicholas Lindheim,77,1.762,"1,489",845,29.59,
72,74,Xander Schauffele,96,1.763,"1,936","1,098",31.75,
72,73,Bud Cauley,55,1.763,"1,081",613,30.39,
74,74,Martin Laird,73,1.764,"1,360",771,31.90,
74,64,Patton Kizzire,92,1.764,"1,951","1,106",29.56,
74,74,Harris English,84,1.764,"1,568",889,30.93,
77,77,J.B. Holmes,77,1.765,"1,555",881,30.22,
77,77,Pat Perez,82,1.765,"1,615",915,30.27,
77,77,Matt Jones,70,1.765,"1,310",742,29.96,
80,80,Ian Poulter,73,1.766,"1,363",772,29.18,
80,80,Mackenzie Hughes,80,1.766,"1,595",903,29.71,
80,80,Patrick Rodgers,97,1.766,"1,941","1,099",30.85,
80,80,Tyrone Van Aswegen,101,1.766,"1,929","1,092",28.14,
80,80,Kevin Kisner,89,1.766,"1,621",918,28.74,
85,85,Chez Reavie,93,1.767,"1,878","1,063",29.57,
85,85,Brian Harman,94,1.767,"1,935","1,095",29.98,
87,87,Sung Kang,89,1.768,"1,710",967,29.81,
87,87,Abraham Ancer,98,1.768,"2,031","1,149",29.50,
89,89,Vaughn Taylor,83,1.769,"1,686",953,31.41,
89,89,Rob Oppenheim,74,1.769,"1,387",784,29.54,
89,89,Chris Stroud,81,1.769,"1,463",827,29.98,
92,92,C.T. Pan,104,1.770,"2,223","1,256",28.35,
92,92,Anirban Lahiri,82,1.770,"1,690",955,29.77,
92,92,Si Woo Kim,108,1.770,"2,113","1,194",30.06,
95,95,Lanto Griffin,80,1.772,"1,591",898,30.69,
95,95,J.J. Spaun,85,1.772,"1,751",988,30.67,
95,95,Martin Flores,92,1.772,"1,820","1,027",29.43,
95,95,Branden Grace,67,1.772,"1,370",773,30.18,
99,99,Rafa Cabrera Bello,75,1.773,"1,567",884,30.23,
99,99,Billy Hurley III,70,1.773,"1,287",726,27.90,
99,99,Kevin Tway,110,1.773,"2,220","1,252",30.63,
99,99,Ryan Armour,109,1.773,"2,330","1,314",28.79,
99,99,Bubba Watson,90,1.773,"1,720",970,30.24,
104,104,Tom Lovelady,87,1.774,"1,735",978,31.93,
105,105,Brett Stegmaier,67,1.775,"1,370",772,29.18,
105,129,Paul Casey,74,1.775,"1,539",867,29.79,
107,106,Jason Kokrak,99,1.776,"2,227","1,254",30.35,
107,106,Michael Thompson,62,1.776,"1,300",732,28.45,
107,106,Rory Sabbatini,91,1.776,"1,930","1,087",29.64,
110,110,Charley Hoffman,87,1.777,"1,702",958,29.29,
110,110,Stewart Cink,87,1.777,"1,908","1,074",28.82,
110,110,Talor Gooch,78,1.777,"1,464",824,28.87,
110,110,Denny McCarthy,71,1.777,"1,374",773,28.33,
110,110,Ryan Moore,78,1.777,"1,717",966,28.08,
115,115,David Hearn,66,1.778,"1,323",744,29.03,
115,115,Seamus Power,86,1.778,"1,627",915,30.01,
115,115,Bronson Burgoon,69,1.778,"1,511",850,30.27,
115,115,Joel Dahmen,93,1.778,"1,872","1,053",29.52,
115,115,Kelly Kraft,94,1.778,"1,879","1,057",27.61,
115,115,Ethan Tracy,72,1.778,"1,412",794,28.21,
115,115,Sean O'Hair,67,1.778,"1,287",724,28.63,
115,115,D.A. Points,63,1.778,"1,175",661,28.53,
123,123,Jonathan Byrd,70,1.779,"1,354",761,27.54,
124,106,Francesco Molinari,73,1.780,"1,575",885,29.27,
124,124,Matt Every,79,1.780,"1,552",872,29.38,
124,124,Fabián Gómez,88,1.780,"1,826","1,026",27.34,
124,124,Brice Garnett,99,1.780,"2,033","1,142",28.71,
124,124,James Hahn,85,1.780,"1,794","1,008",29.08,
124,124,Shawn Stefani,76,1.780,"1,600",899,29.46,
130,138,Kyle Stanley,93,1.781,"2,005","1,126",29.16,
130,129,Patrick Cantlay,87,1.781,"1,813","1,018",29.85,
130,129,Blayne Barber,69,1.781,"1,503",844,29.42,
130,129,Conrad Shindler,60,1.781,"1,190",668,28.23,
134,133,Richy Werenski,98,1.782,"1,976","1,109",27.85,
134,133,Charles Howell III,104,1.782,"2,224","1,248",27.77,
134,133,Aaron Baddeley,84,1.782,"1,586",890,27.91,
134,133,Charl Schwartzel,65,1.782,"1,137",638,29.15,
134,133,Alex Noren,67,1.782,"1,249",701,29.57,
139,138,Kiradech Aphibarnrat,51,1.783,918,515,29.82,
139,138,Adam Hadwin,92,1.783,"1,944","1,090",28.15,
139,138,Russell Henley,77,1.783,"1,633",916,28.93,
139,138,Andrew Putnam,97,1.783,"2,013","1,129",27.68,
143,144,Keegan Bradley,98,1.784,"2,066","1,158",28.94,
143,143,Steve Wheatcroft,60,1.784,"1,240",695,28.82,
145,144,Robert Garrigus,80,1.785,"1,594",893,30.04,
145,144,Sam Ryder,82,1.785,"1,853","1,038",29.03,
145,144,Daniel Berger,81,1.785,"1,633",915,28.95,
148,148,Harold Varner III,91,1.786,"1,940","1,086",27.91,
148,148,Peter Uihlein,83,1.786,"1,702",953,30.00,
148,148,William McGirt,84,1.786,"1,695",949,26.53,
148,148,Kevin Chappell,77,1.786,"1,582",886,31.07,
152,152,Scott Stallings,96,1.788,"1,901","1,063",28.44,
152,152,Keith Mitchell,99,1.788,"2,167","1,212",31.90,
152,152,Matt Atkins,56,1.788,"1,062",594,29.56,
155,155,Jonathan Randolph,71,1.789,"1,265",707,27.94,
156,156,Nate Lashley,51,1.790,"1,033",577,26.74,
156,156,Stephan Jaeger,81,1.790,"1,622",906,28.07,
158,158,Retief Goosen,60,1.791,"1,035",578,28.08,
158,158,Jim Furyk,50,1.791,978,546,26.01,
158,158,Russell Knox,94,1.791,"2,018","1,127",27.43,
158,158,Byeong Hun An,86,1.791,"1,841","1,028",28.98,
162,162,Robert Streb,78,1.792,"1,550",865,27.31,
162,162,Rod Pampling,62,1.792,"1,172",654,27.11,
164,164,Shane Lowry,64,1.793,"1,241",692,27.93,
165,165,Luke List,98,1.794,"2,097","1,169",30.21,
165,170,Gary Woodland,96,1.794,"2,072","1,155",29.92,
165,165,Roberto Díaz,72,1.794,"1,399",780,26.99,
165,165,Scott Piercy,84,1.794,"1,801","1,004",28.04,
169,168,Tyler Duncan,97,1.795,"2,093","1,166",27.97,
170,169,Graeme McDowell,67,1.796,"1,230",685,27.63,
171,170,Nick Taylor,94,1.797,"1,970","1,096",27.76,
171,170,Corey Conners,97,1.797,"2,111","1,175",28.41,
171,170,Kyle Thompson,50,1.797,929,517,27.85,
171,170,Kevin Streelman,94,1.797,"2,129","1,185",26.35,
175,175,Adam Scott,78,1.799,"1,785",992,29.06,
176,176,Henrik Stenson,60,1.800,"1,334",741,27.40,
176,176,Jonas Blixt,67,1.800,"1,226",681,27.21,
176,176,Tyrrell Hatton,58,1.800,"1,163",646,26.82,
179,179,Xinjun Zhang,81,1.802,"1,631",905,28.57,
180,181,Adam Schenk,86,1.805,"1,765",978,26.56,
181,182,Jhonattan Vegas,92,1.807,"1,887","1,044",28.31,
182,183,Andrew Yun,51,1.808,906,501,26.95,
183,184,Louis Oosthuizen,62,1.809,"1,156",639,27.54,
183,184,Lucas Glover,65,1.809,"1,333",737,28.26,
185,186,Hudson Swafford,73,1.810,"1,506",832,29.12,
186,187,Bill Haas,76,1.811,"1,563",863,25.29,
186,187,Jason Dufner,71,1.811,"1,340",740,28.18,
188,189,J.J. Henry,81,1.812,"1,725",952,24.89,
189,190,Cameron Tringale,67,1.813,"1,347",743,27.13,
190,191,Chad Campbell,87,1.815,"1,692",932,26.21,
191,192,Brendan Steele,74,1.817,"1,517",835,28.06,
192,193,Zecheng Dou,53,1.822,"1,024",562,26.79,
193,194,Satoshi Kodaira,51,1.827,952,521,27.36,
