RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION,GIR RANK
1,2,Dustin Johnson,77,1.699,"1,597",940,37.04,
1,1,Phil Mickelson,90,1.699,"1,726","1,016",35.96,
3,3,Ricky Barnes,65,1.708,"1,156",677,34.37,
4,4,Justin Thomas,91,1.714,"1,740","1,015",35.08,
5,5,Jason Day,75,1.716,"1,371",799,34.63,
6,7,Kevin Na,91,1.722,"1,724","1,001",32.87,
7,6,Peter Malnati,87,1.723,"1,621",941,32.23,
8,8,Brian Gay,103,1.726,"2,025","1,173",32.39,
9,9,Justin Rose,70,1.732,"1,439",831,34.38,
9,10,Ollie Schniederjans,91,1.732,"1,703",983,33.13,
11,11,Tony Finau,105,1.735,"2,148","1,238",32.79,
12,14,Rory McIlroy,64,1.736,"1,264",728,33.10,
13,12,Daniel Summerhays,51,1.737,799,460,30.07,
14,13,David Lingmerth,82,1.738,"1,538",885,32.62,
15,14,Sam Saunders,80,1.740,"1,507",866,33.06,
15,14,Chesson Hadley,103,1.740,"2,098","1,206",31.89,
17,23,Webb Simpson,95,1.741,"1,959","1,125",29.45,
17,17,John Huh,94,1.741,"1,856","1,066",30.82,
19,18,Danny Lee,88,1.742,"1,754","1,007",31.37,
19,18,Zach Johnson,94,1.742,"1,840","1,056",30.74,
21,21,Brandt Snedeker,84,1.743,"1,673",960,29.99,
22,26,Rickie Fowler,74,1.744,"1,615",926,31.75,
22,38,Tiger Woods,68,1.744,"1,439",825,32.93,
22,23,Whee Kim,93,1.744,"1,775","1,018",31.30,
25,26,Brandon Harkins,101,1.745,"1,960","1,123",33.33,
25,26,Cameron Smith,85,1.745,"1,548",887,31.75,
25,30,Tommy Fleetwood,73,1.745,"1,438",824,34.14,
25,26,Ben Martin,64,1.745,"1,286",737,29.97,
29,21,Patrick Reed,94,1.746,"1,718",984,31.50,
29,30,Michael Kim,74,1.746,"1,334",764,30.39,
31,23,Brooks Koepka,64,1.747,"1,331",762,33.42,
31,42,Jon Rahm,71,1.747,"1,455",833,34.46,
31,32,J.T. Poston,73,1.747,"1,525",873,30.31,
31,32,Greg Chalmers,56,1.747,931,533,29.08,
31,32,Troy Merritt,89,1.747,"1,742",997,31.05,
36,35,Beau Hossler,104,1.748,"2,224","1,272",30.47,
36,35,Wesley Bryan,69,1.748,"1,292",739,29.21,
36,18,Aaron Wise,90,1.748,"1,905","1,090",32.32,
39,35,Marc Leishman,93,1.749,"1,889","1,080",32.44,
40,38,Dominic Bozzelli,65,1.750,"1,248",713,30.66,
41,40,Jamie Lovemark,92,1.751,"1,793","1,024",31.31,
42,42,Tom Hoge,101,1.752,"1,866","1,065",32.27,
43,44,Ryan Palmer,69,1.754,"1,305",744,32.75,
43,44,Johnson Wagner,75,1.754,"1,479",843,28.96,
43,44,Derek Fathauer,84,1.754,"1,524",869,30.06,
43,44,Emiliano Grillo,94,1.754,"1,999","1,140",30.99,
43,40,Hideki Matsuyama,75,1.754,"1,575",898,32.10,
48,48,Nick Watney,94,1.755,"1,932","1,101",29.42,
48,48,Jordan Spieth,81,1.755,"1,692",964,32.22,
50,50,Andrew Landry,82,1.756,"1,659",945,28.51,
50,50,Alex Cejka,77,1.756,"1,391",792,29.11,
50,50,Austin Cook,107,1.756,"2,249","1,281",31.04,
50,50,Jimmy Walker,81,1.756,"1,507",858,30.72,
54,54,Ben Silverman,90,1.757,"1,725",982,29.46,
54,54,Hunter Mahan,67,1.757,"1,374",782,30.22,
54,54,Billy Horschel,86,1.757,"1,861","1,059",30.34,
57,57,Zac Blair,64,1.758,"1,220",694,28.32,
57,66,Bryson DeChambeau,93,1.758,"2,050","1,166",33.25,
59,58,Cody Gribble,71,1.759,"1,286",731,30.73,
