RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Francesco Molinari,56,76.88,572,744
2,2,David Toms,62,74.50,602,808
3,3,Chez Reavie,56,71.89,560,779
4,4,Justin Leonard,61,71.70,613,855
5,5,Jason Bohn,95,71.58,947,"1,323"
6,6,Steven Alker,62,71.41,597,836
7,8,Colt Knost,90,71.24,852,"1,196"
8,7,Zach Johnson,90,71.21,873,"1,226"
9,9,Jerry Kelly,79,70.45,775,"1,100"
10,10,Brendon Todd,96,70.24,918,"1,307"
11,11,Ryan Moore,81,70.05,767,"1,095"
12,12,Henrik Stenson,63,69.91,590,844
13,13,Heath Slocum,57,69.51,513,738
14,14,John Huh,102,69.44,975,"1,404"
15,15,Brian Stuard,97,69.31,899,"1,297"
16,16,Spencer Levin,99,69.09,932,"1,349"
17,17,Jim Furyk,71,69.08,621,899
18,18,Will Wilcox,58,68.98,516,748
19,19,Nicholas Thompson,90,68.70,821,"1,195"
20,20,Kevin Streelman,95,68.63,875,"1,275"
21,21,Cameron Tringale,96,68.50,922,"1,346"
22,22,John Merrick,78,68.32,703,"1,029"
23,23,Ken Duke,93,67.91,840,"1,237"
23,23,Zac Blair,108,67.91,984,"1,449"
25,25,William McGirt,103,67.87,976,"1,438"
26,26,Webb Simpson,81,67.85,745,"1,098"
27,27,Jason Dufner,76,67.81,693,"1,022"
28,28,Russell Knox,96,67.76,910,"1,343"
29,29,Brian Davis,86,67.66,772,"1,141"
30,32,John Peterson,84,67.52,790,"1,170"
31,33,Ben Crane,62,67.49,548,812
32,34,Jon Curran,83,67.46,740,"1,097"
33,35,Jim Herman,88,67.10,824,"1,228"
34,31,Kevin Kisner,104,66.85,972,"1,454"
35,36,Bryce Molder,91,66.80,809,"1,211"
36,37,Jason Gore,76,66.67,670,"1,005"
37,38,John Senden,80,66.60,704,"1,057"
38,39,Mark Hubbard,79,66.32,711,"1,072"
39,40,Billy Hurley III,83,65.91,723,"1,097"
40,41,Roberto Castro,54,65.76,457,695
41,42,Chad Campbell,97,65.75,889,"1,352"
42,43,Sung Joon Park,79,65.73,702,"1,068"
43,45,Pat Perez,96,65.70,881,"1,341"
44,46,Brendon de Jonge,106,65.69,969,"1,475"
45,47,Jonathan Byrd,69,65.60,593,904
46,48,David Lingmerth,90,65.51,828,"1,264"
47,49,Graham DeLaet,65,65.46,597,912
48,50,Adam Hadwin,95,65.43,846,"1,293"
49,44,Hideki Matsuyama,95,65.25,830,"1,272"
50,51,Ben Martin,93,65.09,828,"1,272"
51,52,Davis Love III,51,64.94,463,713
52,53,Keegan Bradley,87,64.85,762,"1,175"
53,54,Mark Wilson,89,64.53,764,"1,184"
54,55,Russell Henley,87,64.39,763,"1,185"
55,56,Brian Harman,90,64.37,813,"1,263"
56,57,Derek Ernst,75,64.30,634,986
57,59,Chris Stroud,84,64.22,754,"1,174"
58,60,David Hearn,97,64.16,870,"1,356"
58,69,Paul Casey,87,64.16,741,"1,155"
60,61,George McNeill,93,64.10,832,"1,298"
61,62,K.J. Choi,66,64.09,555,866
62,64,Sam Saunders,83,64.00,720,"1,125"
63,63,Danny Lee,120,63.92,"1,070","1,674"
64,57,Justin Rose,69,63.87,594,930
65,66,Kevin Chappell,86,63.86,767,"1,201"
66,67,Chad Collins,79,63.82,702,"1,100"
66,67,Lucas Glover,79,63.82,702,"1,100"
68,70,Alex Cejka,94,63.78,817,"1,281"
69,71,Billy Horschel,99,63.77,845,"1,325"
70,72,Blayne Barber,76,63.72,657,"1,031"
71,73,Bill Lunde,50,63.59,407,640
72,74,Ian Poulter,68,63.58,569,895
73,64,Bill Haas,89,63.35,764,"1,206"
74,76,Hudson Swafford,97,63.34,838,"1,323"
75,77,Boo Weekley,79,63.27,696,"1,100"
76,75,Matt Kuchar,97,63.23,834,"1,319"
77,78,Tim Wilkinson,73,63.09,624,989
78,79,Robert Allenby,63,63.06,519,823
79,80,Steve Wheatcroft,87,63.03,728,"1,155"
80,82,Jordan Spieth,91,62.91,775,"1,232"
81,83,Troy Merritt,91,62.83,796,"1,267"
82,84,Scott Brown,97,62.77,848,"1,351"
83,85,Charlie Beljan,76,62.61,628,"1,003"
84,86,Kevin Na,98,62.51,832,"1,331"
85,87,Greg Chalmers,58,62.17,470,756
86,88,Johnson Wagner,68,62.11,590,950
87,81,Rickie Fowler,76,62.08,622,"1,002"
88,90,Shawn Stefani,94,62.06,813,"1,310"
89,91,Alex Prugh,84,62.03,691,"1,114"
90,92,Chris Kirk,76,61.97,634,"1,023"
91,93,Scott Langley,94,61.90,793,"1,281"
92,94,Daniel Summerhays,101,61.79,870,"1,408"
93,95,Oscar Fraustro,58,61.78,464,751
94,96,Kyle Reifers,96,61.59,789,"1,281"
95,97,Michael Putnam,87,61.47,726,"1,181"
96,98,Brice Garnett,81,61.25,675,"1,102"
97,99,Brendan Steele,88,61.13,717,"1,173"
98,100,Nick Watney,91,61.08,772,"1,264"
99,101,Brandt Snedeker,98,60.98,808,"1,325"
100,102,Gonzalo Fernandez-Castaño,81,60.97,653,"1,071"
101,103,Scott Pinckney,88,60.95,746,"1,224"
102,104,Fabián Gómez,83,60.88,705,"1,158"
103,105,Charl Schwartzel,67,60.81,540,888
104,106,Sean O'Hair,86,60.74,727,"1,197"
104,110,Daniel Berger,97,60.74,823,"1,355"
106,107,Bo Van Pelt,81,60.73,668,"1,100"
107,108,Adam Scott,51,60.69,403,664
108,109,Whee Kim,71,60.40,581,962
109,111,Cameron Percy,72,60.31,588,975
110,112,Rory Sabbatini,81,60.30,679,"1,126"
111,113,J.J. Henry,94,60.29,756,"1,254"
112,114,Jonas Blixt,78,60.26,614,"1,019"
113,115,Jamie Donaldson,50,60.09,399,664
114,116,Vijay Singh,78,60.06,651,"1,084"
115,118,Sangmoon Bae,98,60.03,823,"1,371"
116,117,James Hahn,94,59.89,787,"1,314"
117,119,Carlos Ortiz,100,59.84,800,"1,337"
117,119,Louis Oosthuizen,68,59.84,523,874
119,121,Matt Jones,89,59.70,714,"1,196"
119,121,Lee Westwood,56,59.70,437,732
121,123,Greg Owen,58,59.63,486,815
122,124,Geoff Ogilvy,50,59.59,407,683
123,126,Sergio Garcia,59,59.47,471,792
123,129,Robert Streb,110,59.47,923,"1,552"
125,128,Roger Sloan,56,59.45,431,725
126,130,Andrew Svoboda,80,59.32,646,"1,089"
127,131,Erik Compton,86,59.31,710,"1,197"
128,125,Scott Piercy,90,59.30,746,"1,258"
129,133,Luke Donald,71,59.28,591,997
130,134,Carl Pettersson,106,59.05,874,"1,480"
131,136,Hunter Mahan,88,58.91,681,"1,156"
132,137,Jeff Overton,94,58.87,753,"1,279"
133,138,Luke Guthrie,84,58.86,671,"1,140"
134,139,Tom Hoge,83,58.84,649,"1,103"
135,141,Martin Laird,77,58.54,627,"1,071"
136,132,Harris English,105,58.51,835,"1,427"
137,143,Justin Thomas,106,58.24,859,"1,475"
137,143,Michael Thompson,83,58.24,657,"1,128"
139,146,Byron Smith,59,58.15,446,767
140,147,Andres Gonzales,90,58.06,695,"1,197"
141,145,Charley Hoffman,97,58.01,764,"1,317"
142,148,Scott Stallings,60,57.74,485,840
143,150,Jim Renner,68,57.44,529,921
144,151,Stewart Cink,77,57.35,620,"1,081"
145,149,Brooks Koepka,84,57.33,653,"1,139"
146,152,Patrick Rodgers,57,56.97,421,739
147,153,Chesson Hadley,101,56.87,803,"1,412"
148,154,Martin Flores,95,56.83,720,"1,267"
149,155,Ernie Els,57,56.79,456,803
150,157,Robert Garrigus,70,56.72,519,915
151,158,Ryan Palmer,80,56.57,603,"1,066"
151,158,Retief Goosen,81,56.57,611,"1,080"
153,156,Bubba Watson,71,56.55,535,946
154,160,Max Homa,78,56.45,582,"1,031"
155,161,Jason Kokrak,88,56.41,691,"1,225"
156,162,Ryo Ishikawa,90,56.39,693,"1,229"
157,164,D.A. Points,72,56.37,549,974
158,165,Gary Woodland,81,56.21,584,"1,039"
159,166,Nick Taylor,91,56.05,713,"1,272"
160,167,Jhonattan Vegas,90,56.01,671,"1,198"
161,168,Phil Mickelson,70,55.98,552,986
162,162,Jason Day,75,55.94,570,"1,019"
163,169,Ángel Cabrera,53,55.90,417,746
164,170,Eric Axley,57,55.54,426,767
165,174,Dustin Johnson,75,55.53,562,"1,012"
166,171,Jonathan Randolph,72,55.19,537,973
167,172,Marc Leishman,74,54.99,534,971
168,173,Andrew Putnam,68,54.98,491,893
169,175,Seung-Yul Noh,65,54.87,501,913
170,176,Morgan Hoffmann,85,54.83,653,"1,191"
171,176,Patrick Reed,103,54.78,762,"1,391"
172,179,Tony Finau,106,54.30,802,"1,477"
173,180,Camilo Villegas,83,54.12,631,"1,166"
174,181,Ricky Barnes,82,54.10,587,"1,085"
175,178,J.B. Holmes,89,54.05,647,"1,197"
176,182,Steven Bowditch,103,54.04,782,"1,447"
177,183,Tyrone Van Aswegen,58,53.39,402,753
178,184,Andres Romero,69,52.67,484,919
179,185,Charles Howell III,105,52.43,767,"1,463"
180,186,Jimmy Walker,89,52.23,633,"1,212"
181,187,Padraig Harrington,60,51.72,437,845
182,188,Derek Fathauer,81,51.63,554,"1,073"
183,189,Matt Every,73,51.52,508,986
184,190,Aaron Baddeley,76,50.29,520,"1,034"
