RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,Tiger Woods,69,73.96,852,"1,152",-0.31
2,3,Jim Furyk,88,71.69,"1,071","1,494",-0.24
3,2,Chris Smith,103,71.59,"1,237","1,728",-0.26
4,5,Shaun Micheel,100,71.25,"1,244","1,746",-0.24
5,4,Fred Funk,106,71.07,"1,356","1,908",-0.29
6,6,Kenny Perry,98,70.76,"1,210","1,710",-0.29
7,7,Vijay Singh,102,70.63,"1,195","1,692",-0.30
8,8,Tom Lehman,78,70.34,861,"1,224",-0.22
9,9,Joe Durant,87,70.26,"1,037","1,476",-0.22
10,10,David Toms,106,70.18,"1,238","1,764",-0.33
11,11,Bob Estes,93,70.15,"1,048","1,494",-0.26
12,12,Bart Bryant,69,69.70,828,"1,188",-0.26
13,13,John Senden,96,69.69,"1,129","1,620",-0.25
14,15,Mike Weir,94,69.51,"1,101","1,584",-0.28
15,16,Glen Hnatiuk,95,69.47,"1,163","1,674",-0.25
15,14,Robert Allenby,96,69.47,"1,163","1,674",-0.28
17,18,John Riegger,88,69.38,"1,049","1,512",-0.25
18,29,Rocco Mediate,79,69.25,885,"1,278",-0.28
19,19,Dan Forsman,83,69.20,"1,009","1,458",-0.27
20,21,Steve Pate,64,69.17,747,"1,080",-0.24
21,22,Chad Campbell,111,69.16,"1,357","1,962",-0.27
22,17,Jeff Sluman,118,69.14,"1,456","2,106",-0.26
23,23,David Peoples,105,69.10,"1,306","1,890",-0.28
24,24,Joey Sindelar,104,69.06,"1,268","1,836",-0.27
25,27,Charles Howell III,118,69.05,"1,392","2,016",-0.29
26,25,Brandt Jobe,94,69.03,"1,168","1,692",-0.27
27,26,Luke Donald,106,69.01,"1,267","1,836",-0.25
28,28,John Huston,99,68.92,"1,191","1,728",-0.28
29,19,Retief Goosen,56,68.89,620,900,-0.31
30,31,J.J. Henry,112,68.67,"1,335","1,944",-0.24
31,32,Scott Verplank,93,68.58,"1,074","1,566",-0.29
32,33,"David Berganio, Jr.",80,68.57,975,"1,422",-0.25
33,34,Bob May,91,68.54,"1,098","1,602",-0.27
34,35,Lee Janzen,101,68.24,"1,130","1,656",-0.29
35,30,Loren Roberts,93,68.23,"1,093","1,602",-0.27
36,36,David Gossett,95,68.16,"1,141","1,674",-0.25
37,37,Joel Edwards,101,68.15,"1,239","1,818",-0.27
38,38,Bob Tway,103,68.13,"1,165","1,710",-0.27
39,39,Peter Lonard,93,68.10,"1,091","1,602",-0.27
40,43,Chris DiMarco,111,68.08,"1,250","1,836",-0.30
41,41,Carlos Franco,107,68.04,"1,286","1,890",-0.27
42,39,John Rollins,124,68.01,"1,469","2,160",-0.29
43,42,Kevin Sutherland,96,67.99,"1,077","1,584",-0.23
44,45,John Cook,85,67.92,978,"1,440",-0.27
45,46,Bradley Hughes,60,67.87,733,"1,080",-0.19
46,48,Craig Parry,69,67.66,816,"1,206",-0.27
47,44,Phil Mickelson,97,67.65,"1,096","1,620",-0.34
47,49,Dicky Pride,51,67.65,621,918,-0.24
49,50,Pat Bates,94,67.64,"1,108","1,638",-0.27
50,47,Justin Leonard,97,67.59,"1,095","1,620",-0.31
50,51,Kenneth Staton,104,67.59,"1,241","1,836",-0.22
52,52,Cameron Beckman,87,67.52,"1,033","1,530",-0.28
53,53,Donnie Hammond,60,67.50,729,"1,080",-0.27
54,54,Briny Baird,110,67.49,"1,312","1,944",-0.26
55,55,J.L. Lewis,98,67.46,"1,190","1,764",-0.27
56,56,Jeff Brehaut,87,67.37,"1,055","1,566",-0.24
57,57,Matt Peterson,80,67.36,970,"1,440",-0.23
58,58,Glen Day,107,67.26,"1,247","1,854",-0.26
59,67,Jerry Kelly,99,67.14,"1,136","1,692",-0.27
60,59,Frank Lickliter II,94,67.11,"1,051","1,566",-0.28
61,60,Tim Petrovic,92,66.99,"1,049","1,566",-0.26
62,61,Michael Long,71,66.98,856,"1,278",-0.25
63,62,Steve Flesch,110,66.93,"1,265","1,890",-0.28
64,65,Brent Geiberger,95,66.85,"1,107","1,656",-0.27
