RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,MONEY,YTD VICTORIES
1,1,Tiger Woods,16,"$8,553,439",5
2,5,Henrik Stenson,18,"$6,388,230",2
3,2,Matt Kuchar,23,"$5,616,808",2
4,3,Phil Mickelson,21,"$5,495,793",2
5,4,Brandt Snedeker,23,"$5,318,087",2
6,6,Adam Scott,16,"$4,892,611",2
7,9,Steve Stricker,13,"$4,440,532",
8,7,Justin Rose,17,"$4,146,148",1
9,8,Zach Johnson,24,"$4,044,509",1
10,14,Jordan Spieth,23,"$3,879,820",1
11,11,Keegan Bradley,25,"$3,636,813",
12,10,Jason Day,21,"$3,625,030",
13,13,Billy Horschel,26,"$3,501,703",1
14,12,Bill Haas,25,"$3,475,563",1
15,15,Jim Furyk,22,"$3,204,779",
16,17,Jason Dufner,22,"$3,132,268",1
17,16,Kevin Streelman,25,"$3,088,284",1
18,18,Hunter Mahan,25,"$3,036,164",
19,21,Dustin Johnson,22,"$2,963,214",1
20,22,Webb Simpson,25,"$2,957,582",
21,19,Graham DeLaet,26,"$2,834,900",
22,20,Boo Weekley,27,"$2,786,662",1
23,23,D.A. Points,28,"$2,658,887",1
24,24,Nick Watney,26,"$2,477,639",
25,27,Charl Schwartzel,19,"$2,256,723",
26,31,Sergio Garcia,17,"$2,251,139",
27,25,Harris English,26,"$2,201,167",1
28,26,Graeme McDowell,16,"$2,174,595",1
29,35,Roberto Castro,29,"$2,154,898",
30,28,Jimmy Walker,24,"$2,117,570",
31,29,Lee Westwood,19,"$2,081,731",
32,30,Jonas Blixt,24,"$2,027,517",1
33,32,Russell Henley,24,"$2,008,026",1
34,33,John Merrick,23,"$1,969,478",1
35,34,Patrick Reed,26,"$1,961,519",1
36,41,Luke Donald,17,"$1,930,646",
37,42,Gary Woodland,26,"$1,915,732",1
38,36,Charles Howell III,26,"$1,877,389",
39,37,Scott Piercy,24,"$1,830,084",
40,38,Rickie Fowler,22,"$1,816,742",
41,39,Rory McIlroy,16,"$1,802,443",
42,52,Brendon de Jonge,30,"$1,795,244",
43,40,Ángel Cabrera,21,"$1,791,183",
44,43,Bubba Watson,21,"$1,759,276",
45,44,Martin Laird,21,"$1,755,393",1
46,45,David Lingmerth,23,"$1,748,109",
47,46,Chris Kirk,24,"$1,728,616",
48,47,Matt Jones,24,"$1,724,707",
49,48,Ian Poulter,16,"$1,723,463",
50,49,Ken Duke,28,"$1,722,583",1
51,50,Sangmoon Bae,26,"$1,714,640",1
52,51,Michael Thompson,22,"$1,707,637",1
53,53,David Lynn,22,"$1,633,253",
54,54,Scott Stallings,27,"$1,622,627",
55,55,Chris Stroud,26,"$1,602,122",
56,56,Kevin Chappell,24,"$1,589,839",
57,57,Charley Hoffman,23,"$1,582,423",
58,58,John Huh,28,"$1,529,482",
59,59,Ryan Palmer,22,"$1,521,592",
60,60,Marc Leishman,23,"$1,491,359",
61,61,Ryan Moore,22,"$1,490,265",
62,62,Kyle Stanley,24,"$1,462,943",
63,63,Brian Gay,24,"$1,426,017",1
64,64,Tim Clark,20,"$1,355,952",
65,65,Josh Teater,24,"$1,332,652",
66,66,Derek Ernst,21,"$1,330,856",1
67,67,Rory Sabbatini,27,"$1,327,822",
68,68,Kevin Stadler,25,"$1,281,177",
69,69,Daniel Summerhays,26,"$1,277,886",
70,70,Jason Kokrak,25,"$1,267,525",
71,71,Freddie Jacobson,19,"$1,236,722",
72,72,Brian Davis,28,"$1,221,524",
73,73,Matt Every,28,"$1,188,867",
74,74,Ernie Els,19,"$1,173,761",
75,75,David Hearn,26,"$1,171,515",
76,76,John Rollins,24,"$1,164,049",
77,77,Robert Garrigus,22,"$1,132,355",
78,78,Stewart Cink,22,"$1,052,712",
79,79,Brian Stuard,25,"$1,032,028",
80,80,Jeff Maggert,21,"$1,022,331",
81,81,Scott Brown,21,"$1,012,142",1
82,82,Brendan Steele,26,"$1,004,161",
83,83,Luke Guthrie,27,"$991,902",
84,84,Pat Perez,22,"$974,800",
85,85,K.J. Choi,24,"$973,751",
86,86,Cameron Tringale,24,"$971,209",
87,87,Nicholas Thompson,29,"$959,434",
88,88,Bo Van Pelt,22,"$956,629",
89,89,Richard Lee,24,"$920,836",
90,90,Charlie Beljan,24,"$916,229",
91,91,Mark Wilson,19,"$913,730",
92,92,Brian Harman,29,"$909,759",
93,93,Geoff Ogilvy,19,"$892,920",
94,94,Martin Kaymer,17,"$882,937",
95,95,D.H. Lee,22,"$882,793",
96,96,Morgan Hoffmann,20,"$871,003",
97,97,William McGirt,24,"$867,384",
98,98,James Hahn,26,"$853,507",
99,99,Jerry Kelly,22,"$832,407",
100,100,"Ted Potter, Jr.",22,"$829,770",
101,101,James Driscoll,23,"$821,101",
102,102,Bryce Molder,24,"$816,922",
103,103,Martin Flores,25,"$805,597",
104,104,Johnson Wagner,24,"$801,955",
105,105,Ben Crane,21,"$796,947",
106,106,Bob Estes,18,"$769,717",
