RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
143,146,Michael Kim,61,-.185,-8.333,45
144,139,Justin Thomas,75,-.186,-10.419,56
145,147,Tyrrell Hatton,62,-.192,-8.063,42
146,148,Harold Varner III,84,-.202,-14.976,74
147,149,Cameron Davis,76,-.204,-11.600,57
148,150,Francesco Molinari,61,-.211,-8.870,42
149,151,"Ted Potter, Jr.",73,-.216,-12.987,60
150,152,Kyle Jones,72,-.217,-11.701,54
151,153,Joey Garber,63,-.234,-10.074,43
152,154,Robert Streb,80,-.237,-14.217,60
153,155,Danny Lee,83,-.240,-17.247,72
154,156,Jim Knous,57,-.249,-9.716,39
155,157,Kevin Streelman,83,-.251,-17.312,69
156,158,Alex Noren,63,-.266,-11.455,43
157,159,Luke List,66,-.280,-15.400,55
157,159,Hank Lebioda,76,-.280,-16.223,58
159,161,Tom Hoge,98,-.284,-20.476,72
160,162,Bronson Burgoon,59,-.291,-13.679,47
161,163,Kyle Stanley,81,-.297,-16.351,55
162,164,Russell Henley,78,-.299,-18.228,61
163,165,Anders Albertson,68,-.307,-15.974,52
164,166,John Chin,58,-.318,-12.096,38
165,167,Scott Stallings,82,-.329,-22.353,68
166,168,Keith Mitchell,86,-.338,-20.632,61
167,169,Bubba Watson,65,-.344,-17.180,50
167,169,Alex Prugh,77,-.344,-19.615,57
169,171,Trey Mullinax,77,-.353,-22.265,63
170,173,Adam Long,76,-.369,-25.109,68
171,174,Jonathan Byrd,55,-.412,-14.840,36
172,176,Seth Reeves,73,-.475,-25.149,53
173,177,Brandon Harkins,91,-.481,-33.194,69
174,178,Alex Cejka,58,-.482,-19.269,40
175,179,Jason Dufner,74,-.494,-28.161,57
176,180,Brendan Steele,68,-.503,-25.647,51
177,181,Satoshi Kodaira,67,-.504,-25.717,51
178,183,Keegan Bradley,89,-.516,-34.551,67
179,184,Branden Grace,76,-.520,-23.379,45
180,185,Tyler Duncan,89,-.565,-36.727,65
181,182,Corey Conners,90,-.576,-39.771,69
182,186,Byeong Hun An,80,-.583,-35.554,61
183,187,Adam Svensson,73,-.602,-33.084,55
184,188,Kramer Hickok,79,-.604,-35.608,59
185,189,Emiliano Grillo,85,-.633,-34.828,55
186,190,J.J. Henry,58,-.657,-26.941,41
187,191,J.B. Holmes,78,-.752,-36.084,48
188,192,Rod Pampling,56,-.796,-32.621,41
