RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Denny McCarthy,89,.926,63.890,69
2,2,Jordan Spieth,82,.862,56.900,66
3,3,Dominic Bozzelli,73,.847,41.522,49
4,4,Graeme McDowell,75,.731,36.555,50
5,5,Andrew Putnam,81,.700,39.180,56
6,8,Aaron Baddeley,55,.654,27.451,42
7,9,Patton Kizzire,76,.642,34.050,53
8,10,Wyndham Clark,87,.640,46.752,73
9,11,Vaughn Taylor,93,.636,52.113,82
10,12,Beau Hossler,87,.619,42.084,68
11,13,Webb Simpson,81,.608,41.957,69
12,6,Brandt Snedeker,102,.592,47.330,80
13,18,Rickie Fowler,76,.541,34.066,63
14,15,Pat Perez,68,.535,21.954,41
15,16,Harris English,97,.527,41.671,79
16,17,Billy Horschel,99,.522,36.051,69
17,7,Justin Rose,66,.504,24.682,49
18,19,Johnson Wagner,64,.488,22.959,47
19,20,Peter Malnati,87,.467,35.469,76
20,26,Kevin Kisner,97,.450,31.952,71
21,21,Curtis Luck,65,.446,19.604,44
22,22,Patrick Rodgers,55,.428,19.240,45
23,23,Sam Ryder,76,.427,25.592,60
24,25,Rory McIlroy,72,.425,24.221,57
24,24,Ian Poulter,65,.425,18.695,44
26,14,Patrick Cantlay,77,.386,22.027,57
27,28,Chase Wright,75,.379,21.623,57
28,32,Bryson DeChambeau,75,.372,24.564,66
29,29,Sam Burns,80,.369,25.125,68
30,31,Jason Day,69,.356,16.735,47
31,39,Adam Scott,63,.348,15.321,44
32,33,Peter Uihlein,84,.345,19.997,58
33,34,Adam Schenk,102,.341,27.941,82
34,35,Michael Thompson,71,.339,22.056,65
35,36,Kiradech Aphibarnrat,65,.337,15.167,45
36,27,Jon Rahm,75,.336,17.793,53
37,37,Brian Gay,93,.335,24.096,72
38,38,Nick Taylor,97,.330,28.376,86
39,42,Sungjae Im,122,.323,32.264,100
40,40,Nate Lashley,70,.304,16.727,55
41,30,Marc Leishman,76,.302,17.219,57
41,45,Matt Kuchar,87,.302,19.924,66
43,44,Charles Howell III,94,.291,21.214,73
44,41,Patrick Reed,93,.261,19.054,73
45,45,Adam Hadwin,86,.252,15.644,62
46,47,Xander Schauffele,77,.244,12.949,53
47,48,Chesson Hadley,76,.230,13.772,60
48,51,Brooks Koepka,81,.226,13.106,58
49,49,Sangmoon Bae,60,.217,8.680,40
50,50,J.T. Poston,100,.212,18.687,88
51,52,Cameron Tringale,73,.204,10.396,51
52,54,Ryan Blaum,90,.194,13.937,72
53,55,Ryan Armour,92,.190,14.227,75
54,57,Brian Stuard,98,.176,13.515,77
55,43,Tommy Fleetwood,71,.169,8.441,50
55,74,Louis Oosthuizen,71,.169,8.113,48
57,58,Lucas Glover,94,.164,13.324,81
58,59,Roberto Díaz,73,.162,8.239,51
59,60,Cameron Smith,79,.157,8.323,53
60,61,Rory Sabbatini,97,.154,11.699,76
61,62,José de Jesús Rodríguez,67,.151,7.422,49
62,63,Ollie Schniederjans,77,.147,8.996,61
63,64,Scott Piercy,90,.146,10.237,70
64,65,Freddie Jacobson,53,.142,5.671,40
65,66,Jonas Blixt,82,.130,8.329,64
65,66,Scott Langley,78,.130,8.317,64
67,68,Matt Jones,88,.120,7.926,66
68,69,Anirban Lahiri,73,.116,6.873,59
69,70,Jim Furyk,73,.113,6.449,57
70,72,Talor Gooch,54,.111,5.336,48
71,73,Henrik Stenson,58,.106,4.442,42
72,74,Hunter Mahan,59,.102,4.772,47
73,76,Roger Sloan,88,.101,7.085,70
74,53,Dustin Johnson,73,.096,5.378,56
75,77,Brice Garnett,87,.091,5.928,65
76,78,Brian Harman,91,.090,6.376,71
77,79,Kevin Na,65,.089,3.925,44
78,80,Troy Merritt,69,.085,4.773,56
79,81,Carlos Ortiz,84,.079,5.723,72
80,82,Sebastián Muñoz,86,.076,4.856,64
81,83,Richy Werenski,89,.074,5.430,73
82,84,Scott Brown,86,.073,4.993,68
83,85,Brady Schnell,53,.065,2.539,39
84,71,Chez Reavie,99,.062,4.306,70
84,86,Ryan Moore,74,.062,3.885,63
86,87,Seamus Power,80,.057,3.529,62
87,88,Sepp Straka,78,.056,3.255,58
88,89,Bill Haas,77,.055,3.354,61
89,90,Kelly Kraft,87,.054,3.507,65
90,91,Julián Etulain,70,.048,2.462,51
91,92,Rafa Cabrera Bello,71,.043,2.058,48
92,93,Whee Kim,73,.042,1.995,47
93,94,Ryan Palmer,74,.041,2.076,51
94,95,Chris Stroud,70,.022,1.165,52
95,96,Martin Laird,88,.019,1.373,73
96,97,Nick Watney,87,.012,.829,69
97,100,Hideki Matsuyama,91,.011,.811,73
98,99,Ernie Els,51,.010,.296,30
99,101,Wes Roach,69,.000,-.019,49
100,102,Max Homa,82,-.006,-.380,69
101,103,Mackenzie Hughes,80,-.014,-.901,66
102,104,Josh Teater,73,-.017,-.884,53
103,97,Jason Kokrak,94,-.018,-1.332,75
104,105,J.J. Spaun,90,-.021,-1.328,64
105,107,Hudson Swafford,59,-.031,-1.471,47
106,108,Cody Gribble,74,-.033,-1.902,58
107,109,Martin Trainer,63,-.041,-2.036,50
108,110,Daniel Berger,70,-.043,-2.510,59
109,111,Bud Cauley,82,-.052,-3.883,74
110,112,Matthew Fitzpatrick,54,-.054,-1.986,37
111,113,Si Woo Kim,87,-.060,-3.516,59
112,114,Cheng Tsung Pan,84,-.062,-3.710,60
113,106,Abraham Ancer,93,-.065,-4.642,71
114,115,Sergio Garcia,53,-.078,-2.954,38
115,116,Roberto Castro,76,-.079,-4.903,62
116,117,Sam Saunders,78,-.082,-5.518,67
117,118,Zach Johnson,64,-.087,-4.633,53
118,119,Sung Kang,86,-.088,-6.194,70
118,119,Austin Cook,68,-.088,-4.658,53
120,121,Stephan Jaeger,77,-.091,-5.176,57
121,127,Paul Casey,79,-.092,-5.058,55
122,122,Kyoung-Hoon Lee,92,-.096,-5.935,62
123,123,Cameron Champ,78,-.099,-6.720,68
124,124,Joel Dahmen,100,-.102,-7.756,76
125,133,Tony Finau,89,-.103,-6.720,65
126,125,Ben Silverman,70,-.112,-6.283,56
127,128,Danny Willett,63,-.130,-6.500,50
127,128,Jimmy Walker,74,-.130,-7.430,57
129,130,Kevin Tway,84,-.131,-8.786,67
130,126,Gary Woodland,87,-.143,-9.277,65
131,131,Fabián Gómez,62,-.144,-6.909,48
132,132,Aaron Wise,72,-.146,-7.897,54
133,133,Andrew Landry,80,-.153,-9.937,65
134,135,Jim Herman,52,-.154,-5.854,38
135,136,Jhonattan Vegas,75,-.156,-9.523,61
136,137,David Hearn,55,-.157,-5.323,34
137,138,Charley Hoffman,74,-.158,-7.438,47
138,139,Shawn Stefani,80,-.159,-9.845,62
139,141,Phil Mickelson,63,-.160,-8.025,50
140,143,Dylan Frittelli,83,-.169,-11.465,68
141,144,Joaquin Niemann,98,-.170,-13.561,80
142,145,Russell Knox,79,-.176,-10.397,59
