RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,2,J.B. Holmes,77,314.5,"46,541",148
2,1,Dustin Johnson,87,313.6,"48,921",156
3,3,Tony Finau,95,312.2,"56,820",182
4,4,Bubba Watson,72,310.6,"40,382",130
5,5,Andrew Loupe,75,309.3,"46,084",149
6,6,Jason Kokrak,89,307.4,"54,711",178
7,7,Luke List,79,306.9,"47,257",154
7,7,Hudson Swafford,104,306.9,"61,380",200
9,10,Rory McIlroy,69,306.8,"35,585",116
10,9,Gary Woodland,95,306.1,"50,811",166
11,11,Jamie Lovemark,91,304.8,"55,160",181
12,12,Ryan Palmer,86,304.7,"52,410",172
13,14,Adam Scott,79,304.6,"41,422",136
14,12,Jhonattan Vegas,97,304.4,"56,616",186
15,16,Jason Day,76,304.2,"41,973",138
16,15,Justin Rose,65,303.9,"37,687",124
17,17,Charles Howell III,91,303.4,"52,788",174
18,18,Robert Garrigus,69,303.3,"39,128",129
19,19,Brooks Koepka,75,302.6,"42,359",140
20,22,Sean O'Hair,89,302.2,"53,787",178
20,20,Brendan Steele,88,302.2,"48,355",160
22,21,Harold Varner III,92,302.0,"54,967",182
23,23,Rickie Fowler,80,301.6,"44,029",146
24,25,Jimmy Walker,85,301.3,"49,410",164
24,24,Justin Thomas,99,301.3,"53,034",176
26,26,Patrick Rodgers,89,300.5,"51,088",170
27,27,Keegan Bradley,82,300.0,"46,794",156
28,28,Sergio Garcia,54,299.9,"25,792",86
29,29,Harris English,97,299.2,"52,951",177
30,30,Smylie Kaufman,91,299.0,"52,632",176
31,31,Carlos Ortiz,79,298.9,"42,439",142
32,32,Shane Lowry,57,298.7,"29,869",100
33,33,Martin Laird,82,298.5,"46,569",156
34,35,Daniel Berger,92,298.4,"48,337",162
35,34,Lucas Glover,75,298.3,"44,751",150
36,35,Charley Hoffman,91,298.2,"52,477",176
37,37,Scott Piercy,87,297.9,"44,680",150
37,37,Graham DeLaet,70,297.9,"38,728",130
