RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,Tiger Woods,63,71.02,767,"1,080",-0.32
2,2,John Senden,97,70.33,"1,228","1,746",-0.22
3,3,Jeff Gove,103,70.17,"1,301","1,854",-0.22
4,5,Cameron Beckman,96,69.87,"1,157","1,656",-0.24
5,4,Tommy Armour III,81,69.84,968,"1,386",-0.24
6,6,Jim Furyk,84,69.44,"1,025","1,476",-0.24
6,6,Alex Cejka,80,69.44,975,"1,404",-0.25
8,8,Briny Baird,115,69.27,"1,384","1,998",-0.24
9,9,John Merrick,92,69.13,"1,095","1,584",-0.22
10,11,Jeff Overton,60,68.87,719,"1,044",-0.26
11,10,Mathew Goggin,97,68.84,"1,202","1,746",-0.22
12,15,Joe Durant,88,68.52,"1,073","1,566",-0.19
13,12,Stephen Leaney,82,68.43,"1,010","1,476",-0.22
14,14,Charles Warren,101,68.37,"1,243","1,818",-0.26
15,13,Robert Allenby,90,68.29,"1,094","1,602",-0.24
16,16,Tom Lehman,62,68.19,761,"1,116",-0.22
17,19,Greg Owen,81,68.14,969,"1,422",-0.22
18,17,Billy Mayfair,98,68.08,"1,201","1,764",-0.23
19,18,Johnson Wagner,97,67.75,"1,183","1,746",-0.24
20,20,Kenny Perry,83,67.54,"1,009","1,494",-0.22
21,22,Ted Purdy,102,67.23,"1,186","1,764",-0.22
22,31,Craig Barlow,52,67.20,629,936,-0.24
23,24,Sean O'Hair,98,67.12,"1,184","1,764",-0.25
24,29,Michael Putnam,96,67.03,"1,110","1,656",-0.24
25,26,Robert Garrigus,95,67.02,"1,146","1,710",-0.27
26,21,Duffy Waldorf,69,66.99,832,"1,242",-0.24
27,23,Kent Jones,97,66.95,"1,169","1,746",-0.25
27,25,D.J. Trahan,99,66.95,"1,193","1,782",-0.21
29,26,Hunter Mahan,91,66.91,"1,096","1,638",-0.25
30,30,J.J. Henry,86,66.67,"1,020","1,530",-0.23
30,48,Joey Sindelar,75,66.67,900,"1,350",-0.22
32,35,Michael Allen,74,66.59,839,"1,260",-0.26
33,34,Jeff Maggert,79,66.53,946,"1,422",-0.24
33,33,Jesper Parnevik,88,66.53,"1,006","1,512",-0.29
35,39,Nick Watney,87,66.48,"1,041","1,566",-0.24
36,31,Heath Slocum,101,66.45,"1,208","1,818",-0.28
37,36,Bo Van Pelt,104,66.40,"1,243","1,872",-0.26
38,49,Charlie Wi,90,66.35,"1,051","1,584",-0.26
39,44,Bart Bryant,87,66.34,"1,027","1,548",-0.25
40,28,Jay Williamson,50,66.33,597,900,-0.27
41,38,Steve Lowery,74,66.29,883,"1,332",-0.26
41,37,Ryan Armour,107,66.29,"1,229","1,854",-0.25
43,42,Brett Wetterich,88,66.28,"1,038","1,566",-0.24
44,46,Lucas Glover,98,66.27,"1,157","1,746",-0.28
45,40,Vijay Singh,102,66.22,"1,192","1,800",-0.27
46,43,Freddie Jacobson,70,66.19,834,"1,260",-0.30
47,41,Will MacKenzie,100,66.17,"1,191","1,800",-0.25
48,47,Stewart Cink,91,66.16,"1,048","1,584",-0.26
49,61,Chris Stroud,66,66.15,762,"1,152",-0.23
50,53,Steve Marino,106,66.07,"1,213","1,836",-0.25
51,52,D.J. Brigman,67,66.05,749,"1,134",-0.23
52,45,Shaun Micheel,91,66.04,"1,046","1,584",-0.22
53,56,Bill Haas,93,65.98,"1,057","1,602",-0.26
54,59,Boo Weekley,101,65.86,"1,150","1,746",-0.25
55,50,Steve Stricker,81,65.83,948,"1,440",-0.28
55,50,Steve Flesch,100,65.83,"1,185","1,800",-0.24
57,76,Robert Gamez,88,65.81,995,"1,512",-0.24
58,54,Justin Rose,63,65.73,698,"1,062",-0.28
59,55,Camilo Villegas,82,65.72,970,"1,476",-0.26
60,68,Ryan Moore,92,65.64,"1,087","1,656",-0.26
61,69,Jeff Quinney,95,65.61,"1,122","1,710",-0.26
62,66,Ken Duke,112,65.58,"1,322","2,016",-0.25
62,58,Kirk Triplett,77,65.58,909,"1,386",-0.22
64,60,Jason Gore,86,65.57,"1,015","1,548",-0.26
64,78,Kevin Stadler,95,65.57,"1,074","1,638",-0.22
66,62,Trevor Immelman,74,65.52,802,"1,224",-0.19
67,92,Woody Austin,95,65.50,"1,120","1,710",-0.24
68,64,Kevin Sutherland,85,65.49,"1,002","1,530",-0.25
68,57,Bubba Watson,80,65.49,943,"1,440",-0.28
68,64,Pat Perez,84,65.49,943,"1,440",-0.26
71,73,Darron Stiles,65,65.48,719,"1,098",-0.23
72,67,Adam Scott,69,65.44,801,"1,224",-0.30
73,69,Anthony Kim,93,65.35,"1,094","1,674",-0.27
74,72,K.J. Choi,87,65.29,999,"1,530",-0.26
75,76,Daniel Chopra,106,65.20,"1,244","1,908",-0.27
76,75,Tom Byrum,50,65.16,563,864,-0.20
77,80,Frank Lickliter II,95,65.15,"1,114","1,710",-0.26
78,79,Rod Pampling,92,65.12,"1,055","1,620",-0.23
79,63,Jeff Brehaut,59,65.11,668,"1,026",-0.22
80,71,Jason Dufner,100,65.06,"1,171","1,800",-0.23
81,100,Billy Andrade,88,65.03,"1,030","1,584",-0.24
82,82,Jason Bohn,57,65.01,667,"1,026",-0.25
83,74,Brian Davis,101,64.96,"1,181","1,818",-0.26
84,93,Matt Kuchar,85,64.95,947,"1,458",-0.24
84,84,Phil Mickelson,73,64.95,830,"1,278",-0.31
86,83,Stephen Ames,81,64.94,900,"1,386",-0.24
86,94,Matt Hendrix,63,64.94,713,"1,098",-0.24
88,85,Craig Bowden,78,64.91,888,"1,368",-0.23
88,86,Daisuke Maruyama,86,64.91,958,"1,476",-0.24
90,111,Rocco Mediate,72,64.89,841,"1,296",-0.25
91,90,Mark Wilson,87,64.86,969,"1,494",-0.22
92,91,Mark Brooks,53,64.85,572,882,-0.19
93,98,Jerry Kelly,101,64.83,"1,132","1,746",-0.23
94,106,Justin Leonard,95,64.80,"1,108","1,710",-0.23
95,94,Steve Allan,63,64.78,688,"1,062",-0.28
96,97,Cliff Kresge,107,64.75,"1,247","1,926",-0.25
97,110,David Branshaw,83,64.73,967,"1,494",-0.20
98,99,Ernie Els,59,64.66,675,"1,044",-0.28
99,112,Richard Johnson,93,64.65,"1,059","1,638",-0.21
100,81,Jarrod Lyle,77,64.61,849,"1,314",-0.26
100,101,Peter Lonard,85,64.61,942,"1,458",-0.23
102,102,Tim Herron,98,64.60,"1,093","1,692",-0.24
103,103,Brandt Snedeker,105,64.58,"1,174","1,818",-0.26
104,117,J.B. Holmes,71,64.57,802,"1,242",-0.27
105,105,Sergio Garcia,68,64.56,767,"1,188",-0.29
106,86,Michael Sim,52,64.53,604,936,-0.25
107,107,Tom Johnson,74,64.51,836,"1,296",-0.23
108,115,Craig Kanada,109,64.50,"1,219","1,890",-0.24
108,96,Mathias Grönberg,95,64.50,"1,103","1,710",-0.26
110,123,Kyle Reifers,71,64.49,801,"1,242",-0.19
111,107,Zach Johnson,76,64.44,870,"1,350",-0.24
112,107,Rich Beem,89,64.36,"1,031","1,602",-0.26
113,88,Brendon de Jonge,76,64.35,834,"1,296",-0.28
114,113,Doug LaBelle II,104,64.33,"1,158","1,800",-0.22
114,116,Scott Verplank,82,64.33,938,"1,458",-0.25
114,119,Glen Day,85,64.33,938,"1,458",-0.23
117,118,Lee Janzen,66,64.32,741,"1,152",-0.23
118,88,Steve Wheatcroft,73,64.25,798,"1,242",-0.23
119,104,Jim Rutledge,59,64.24,636,990,-0.16
120,126,Vaughn Taylor,91,64.18,"1,005","1,566",-0.28
121,126,Mark Calcavecchia,93,64.11,"1,027","1,602",-0.29
121,125,Chris Couch,76,64.11,877,"1,368",-0.25
123,122,Charley Hoffman,97,64.03,"1,118","1,746",-0.28
124,123,Davis Love III,66,64.02,749,"1,170",-0.21
125,119,Jaco Van Zyl,51,63.95,564,882,-0.18
126,136,Carl Pettersson,111,63.84,"1,264","1,980",-0.27
127,128,Ryan Palmer,91,63.80,"1,045","1,638",-0.25
128,129,David Toms,80,63.78,884,"1,386",-0.25
129,130,Chad Campbell,96,63.77,"1,033","1,620",-0.22
130,121,Paul Gow,70,63.72,757,"1,188",-0.24
131,131,John Rollins,102,63.64,"1,157","1,818",-0.25
131,150,Chris Tidland,59,63.64,630,990,-0.24
133,135,Harrison Frazar,88,63.63,985,"1,548",-0.25
134,114,Marco Dawson,73,63.62,813,"1,278",-0.25
135,140,Dicky Pride,71,63.60,767,"1,206",-0.23
136,133,Jonathan Byrd,73,63.55,835,"1,314",-0.31
137,134,Troy Matteson,87,63.54,995,"1,566",-0.26
138,132,Bob Tway,103,63.52,"1,132","1,782",-0.25
139,143,George McNeill,95,63.43,"1,039","1,638",-0.27
140,137,Charles Howell III,89,63.37,981,"1,548",-0.24
140,137,Mark Hensby,81,63.37,924,"1,458",-0.25
142,139,Dean Wilson,92,63.35,"1,049","1,656",-0.25
143,141,Paul Stankowski,52,63.19,546,864,-0.25
143,147,Bob Estes,88,63.19,"1,001","1,584",-0.27
145,142,Luke Donald,69,63.18,762,"1,206",-0.25
146,152,Bob Heintz,85,63.17,921,"1,458",-0.29
147,148,Rich Barcelo,80,63.11,886,"1,404",-0.26
148,156,Michael Boyd,61,63.06,647,"1,026",-0.22
149,145,Steve Elkington,87,63.05,942,"1,494",-0.23
150,153,Craig Lile,77,63.04,851,"1,350",-0.26
151,146,Mike Weir,82,63.03,919,"1,458",-0.25
152,144,John Mallinger,96,62.96,"1,088","1,728",-0.23
153,162,Brian Gay,107,62.94,"1,167","1,854",-0.27
154,154,J.P. Hayes,89,62.92,"1,008","1,602",-0.26
155,149,Tim Petrovic,106,62.89,"1,200","1,908",-0.27
156,150,Anders Hansen,55,62.85,577,918,-0.22
157,166,Tag Ridings,52,62.78,565,900,-0.31
158,154,Geoff Ogilvy,84,62.75,881,"1,404",-0.27
159,163,Ryuji Imada,104,62.72,"1,129","1,800",-0.29
160,159,Scott Gutschewski,67,62.70,711,"1,134",-0.26
161,158,Gavin Coles,87,62.58,935,"1,494",-0.23
162,157,Andrew Buckle,77,62.52,844,"1,350",-0.25
163,160,Arron Oberholser,69,62.25,762,"1,224",-0.24
164,161,Jason Schultz,63,62.24,661,"1,062",-0.22
165,164,Chris Riley,59,62.12,615,990,-0.26
166,165,Brett Quigley,79,62.11,872,"1,404",-0.25
167,171,Kevin Na,84,61.97,937,"1,512",-0.28
168,166,José Coceres,50,61.96,513,828,-0.20
169,168,Nathan Green,103,61.90,"1,103","1,782",-0.28
170,169,Tom Pernice Jr.,104,61.86,"1,158","1,872",-0.25
171,170,Fred Funk,65,61.75,678,"1,098",-0.20
172,175,Joe Ogilvie,102,61.68,"1,088","1,764",-0.29
173,172,Ian Poulter,63,61.67,666,"1,080",-0.23
174,173,Rory Sabbatini,81,61.60,876,"1,422",-0.29
175,174,Stuart Appleby,74,61.57,809,"1,314",-0.23
176,182,Tim Clark,66,61.37,707,"1,152",-0.28
177,180,Brian Bateman,55,61.33,563,918,-0.21
178,178,Eric Axley,107,61.32,"1,181","1,926",-0.24
179,176,John Daly,59,61.30,651,"1,062",-0.28
180,177,Henrik Stenson,52,61.23,507,828,-0.25
181,179,Jeff Sluman,60,61.01,615,"1,008",-0.19
182,181,Shigeki Maruyama,84,60.98,911,"1,494",-0.27
183,183,Corey Pavin,81,60.77,886,"1,458",-0.22
184,188,Tripp Isenhour,86,60.57,894,"1,476",-0.25
185,190,Ben Curtis,80,60.56,872,"1,440",-0.21
186,185,Parker McLachlin,83,60.55,861,"1,422",-0.25
187,184,Chris DiMarco,79,60.53,839,"1,386",-0.24
188,187,Aaron Baddeley,83,60.35,869,"1,440",-0.29
189,189,Padraig Harrington,64,60.30,673,"1,116",-0.28
190,191,Nick O'Hern,72,60.21,737,"1,224",-0.23
191,194,Bryce Molder,56,59.47,578,972,-0.23
192,192,Paul Goydos,60,59.42,631,"1,062",-0.24
193,185,Bubba Dickerson,51,59.34,502,846,-0.25
194,193,Retief Goosen,50,58.91,509,864,-0.24
195,195,Todd Hamilton,76,56.94,779,"1,368",-0.21
196,196,José María Olazábal,52,54.33,489,900,-0.25
