RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Rory McIlroy,72,1.195,68.124,57
2,3,Jhonattan Vegas,75,.753,45.956,61
3,4,Bubba Watson,65,.743,37.171,50
4,5,Dustin Johnson,73,.703,39.360,56
5,2,Jon Rahm,75,.692,36.684,53
6,6,Cameron Champ,78,.657,44.682,68
6,6,Keith Mitchell,86,.657,40.068,61
8,8,Corey Conners,90,.653,45.081,69
9,9,Paul Casey,79,.614,33.761,55
10,10,Abraham Ancer,93,.575,40.830,71
11,11,Jason Kokrak,94,.550,41.269,75
12,12,Tommy Fleetwood,71,.545,27.235,50
13,14,Jason Day,69,.535,25.143,47
14,15,Aaron Wise,72,.533,28.799,54
15,18,Brendan Steele,68,.518,26.393,51
16,20,Luke List,66,.481,26.461,55
17,24,Justin Thomas,75,.479,26.831,56
18,13,Patrick Cantlay,77,.475,27.052,57
19,16,Gary Woodland,87,.472,30.689,65
20,21,Emiliano Grillo,85,.470,25.847,55
21,16,Brooks Koepka,81,.468,27.146,58
22,19,Xander Schauffele,77,.456,24.184,53
23,22,Tony Finau,89,.439,28.547,65
24,25,Bryson DeChambeau,75,.421,27.760,66
25,26,Kevin Streelman,83,.383,26.403,69
26,23,Hideki Matsuyama,91,.381,27.796,73
27,27,Alex Prugh,77,.379,21.625,57
28,28,Sepp Straka,78,.378,21.948,58
29,30,Byeong Hun An,80,.351,21.391,61
30,32,Sergio Garcia,53,.350,13.284,38
31,34,Daniel Berger,70,.344,20.280,59
32,35,Seth Reeves,73,.343,18.158,53
33,36,Trey Mullinax,77,.341,21.463,63
33,29,Sungjae Im,122,.341,34.064,100
35,37,Matthew Fitzpatrick,54,.338,12.492,37
35,37,Joaquin Niemann,98,.338,27.054,80
37,30,Lucas Glover,94,.337,27.274,81
38,39,Kramer Hickok,79,.336,19.812,59
39,40,Brian Harman,91,.312,22.147,71
40,41,Adam Hadwin,86,.310,19.224,62
41,42,Matt Jones,88,.304,20.060,66
42,43,Rory Sabbatini,97,.300,22.833,76
43,33,Adam Scott,63,.285,12.557,44
44,44,Brice Garnett,87,.281,18.285,65
45,45,Sam Burns,80,.277,18.832,68
46,47,Dylan Frittelli,83,.272,18.522,68
47,48,Scott Piercy,90,.270,18.927,70
48,50,Jason Dufner,74,.264,15.030,57
49,46,Charles Howell III,94,.262,19.126,73
49,51,Hunter Mahan,59,.262,12.326,47
51,52,Harold Varner III,84,.260,19.227,74
52,53,Ryan Palmer,74,.255,13.022,51
53,54,Chez Reavie,99,.254,17.799,70
54,54,Joel Dahmen,100,.249,18.945,76
55,49,Rickie Fowler,76,.247,15.541,63
56,56,Keegan Bradley,89,.238,15.976,67
57,57,Austin Cook,68,.236,12.510,53
58,58,Max Homa,82,.213,14.714,69
58,58,Adam Svensson,73,.213,11.740,55
60,61,J.B. Holmes,78,.210,10.097,48
61,62,Jim Herman,52,.203,7.707,38
62,63,Scott Brown,86,.199,13.564,68
63,64,Cameron Davis,76,.197,11.201,57
