RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS
1,1,Byeong Hun An,80,.631,38.504,61
2,2,Bud Cauley,82,.577,42.673,74
3,3,Brandt Snedeker,102,.480,38.408,80
4,4,Aaron Baddeley,55,.460,19.309,42
5,8,Stephan Jaeger,77,.365,20.783,57
6,6,Patrick Cantlay,77,.356,20.291,57
7,10,Kevin Na,65,.355,15.617,44
8,11,Matt Jones,88,.352,23.225,66
8,19,Justin Thomas,75,.352,19.729,56
10,5,Adam Scott,63,.351,15.457,44
11,12,Bill Haas,77,.350,21.342,61
12,13,Hideki Matsuyama,91,.347,25.337,73
13,14,Pat Perez,68,.335,13.736,41
14,15,Patrick Reed,93,.332,24.253,73
15,19,Tommy Fleetwood,71,.329,16.466,50
16,7,Charles Howell III,94,.328,23.940,73
17,17,Jimmy Walker,74,.322,18.360,57
18,21,Si Woo Kim,87,.305,17.982,59
19,28,Rory McIlroy,72,.297,16.939,57
20,16,Webb Simpson,81,.294,20.269,69
21,22,Tyrrell Hatton,62,.286,12.031,42
21,22,Cameron Smith,79,.286,15.172,53
23,18,Sungjae Im,122,.285,28.510,100
24,24,Ernie Els,51,.282,8.454,30
25,25,Alex Noren,63,.280,12.023,43
26,26,Rod Pampling,56,.278,11.417,41
26,26,Branden Grace,76,.278,12.511,45
28,9,Louis Oosthuizen,71,.270,12.954,48
29,29,Ian Poulter,65,.267,11.756,44
30,30,Rory Sabbatini,97,.263,19.987,76
31,31,Sebastián Muñoz,86,.261,16.708,64
31,31,Wyndham Clark,87,.261,19.033,73
33,34,Adam Svensson,73,.259,14.240,55
34,35,Kevin Tway,84,.249,16.670,67
35,36,Jordan Spieth,82,.246,16.260,66
36,37,Kramer Hickok,79,.245,14.446,59
36,37,Brian Harman,91,.245,17.377,71
38,31,Dustin Johnson,73,.234,13.098,56
39,40,Fabián Gómez,62,.222,10.660,48
40,39,Xander Schauffele,77,.211,11.199,53
41,41,Jonathan Byrd,55,.205,7.375,36
42,42,Wes Roach,69,.197,9.646,49
43,43,Kiradech Aphibarnrat,65,.194,8.736,45
43,43,Matthew Fitzpatrick,54,.194,7.189,37
45,45,Brian Stuard,98,.190,14.652,77
46,46,Cheng Tsung Pan,84,.180,10.805,60
47,47,Scott Langley,78,.179,11.465,64
48,49,Danny Willett,63,.154,7.700,50
49,50,Michael Kim,61,.150,6.772,45
50,51,Dylan Frittelli,83,.149,10.152,68
50,51,Denny McCarthy,89,.149,10.248,69
52,53,Seamus Power,80,.147,9.095,62
53,48,Lucas Glover,94,.145,11.722,81
54,66,Marc Leishman,76,.135,7.719,57
55,55,Harris English,97,.134,10.559,79
56,56,Shawn Stefani,80,.133,8.276,62
56,58,Paul Casey,79,.133,7.329,55
58,59,José de Jesús Rodríguez,67,.129,6.343,49
58,59,Russell Knox,79,.129,7.596,59
60,61,Jason Dufner,74,.124,7.063,57
61,62,Cameron Tringale,73,.123,6.260,51
62,63,Robert Streb,80,.122,7.316,60
63,54,Rickie Fowler,76,.120,7.548,63
64,65,Jim Furyk,73,.114,6.524,57
65,66,Michael Thompson,71,.113,7.352,65
66,68,Rafa Cabrera Bello,71,.107,5.146,48
67,69,Ryan Armour,92,.106,7.924,75
68,64,Matt Kuchar,87,.105,6.925,66
68,71,Francesco Molinari,61,.105,4.396,42
70,72,Peter Malnati,87,.097,7.362,76
71,73,Graeme McDowell,75,.096,4.796,50
72,74,Zach Johnson,64,.095,5.033,53
73,75,Phil Mickelson,63,.094,4.721,50
74,76,Julián Etulain,70,.091,4.653,51
75,77,Peter Uihlein,84,.085,4.934,58
76,78,Hank Lebioda,76,.081,4.693,58
77,79,Harold Varner III,84,.076,5.625,74
78,69,Jon Rahm,75,.073,3.863,53
79,80,Scott Piercy,90,.067,4.695,70
80,81,Brian Gay,93,.065,4.708,72
81,82,Roberto Díaz,73,.063,3.190,51
81,82,Martin Trainer,63,.063,3.134,50
83,84,Andrew Putnam,81,.061,3.400,56
84,85,Kevin Streelman,83,.058,3.991,69
85,87,Ryan Moore,74,.055,3.476,63
86,88,Tony Finau,89,.048,3.094,65
87,88,Troy Merritt,69,.041,2.313,56
88,90,Nick Watney,87,.040,2.740,69
89,91,Roberto Castro,76,.039,2.395,62
90,92,J.T. Poston,100,.038,3.363,88
90,92,Nick Taylor,97,.038,3.267,86
92,85,Justin Rose,66,.036,1.751,49
92,101,Brooks Koepka,81,.036,2.062,58
94,94,Chris Stroud,70,.035,1.808,52
95,95,Jonas Blixt,82,.034,2.187,64
96,96,Vaughn Taylor,93,.032,2.656,82
97,97,Martin Laird,88,.029,2.135,73
97,97,Patrick Rodgers,55,.029,1.286,45
99,99,Aaron Wise,72,.026,1.406,54
100,100,Jason Day,69,.025,1.189,47
101,103,Brandon Harkins,91,.019,1.287,69
102,104,Joaquin Niemann,98,.018,1.401,80
103,105,Kyle Jones,72,.016,.848,54
104,106,Billy Horschel,99,.014,.977,69
105,107,J.B. Holmes,78,.012,.594,48
106,108,Henrik Stenson,58,.010,.414,42
107,119,Gary Woodland,87,.008,.532,65
108,110,Ryan Blaum,90,.006,.403,72
108,110,Mackenzie Hughes,80,.006,.399,66
108,110,Luke List,66,.006,.309,55
111,113,Dominic Bozzelli,73,.005,.238,49
112,114,J.J. Spaun,90,.003,.205,64
113,115,Russell Henley,78,-.005,-.281,61
113,102,Abraham Ancer,93,-.005,-.375,71
115,109,Bryson DeChambeau,75,-.016,-1.072,66
116,116,Scott Stallings,82,-.017,-1.182,68
117,117,Nate Lashley,70,-.021,-1.154,55
117,117,Cameron Davis,76,-.021,-1.197,57
119,120,Ollie Schniederjans,77,-.025,-1.495,61
120,121,Daniel Berger,70,-.029,-1.688,59
121,122,Sergio Garcia,53,-.051,-1.927,38
122,123,Carlos Ortiz,84,-.060,-4.285,72
123,124,Kyle Stanley,81,-.062,-3.383,55
124,125,Bubba Watson,65,-.067,-3.351,50
125,126,Brady Schnell,53,-.071,-2.778,39
126,127,Bronson Burgoon,59,-.074,-3.481,47
127,128,Adam Schenk,102,-.075,-6.154,82
128,129,Ben Silverman,70,-.079,-4.413,56
129,130,Beau Hossler,87,-.080,-5.431,68
129,130,Whee Kim,73,-.080,-3.752,47
131,132,Sung Kang,86,-.083,-5.802,70
132,134,Keith Mitchell,86,-.102,-6.239,61
133,135,Talor Gooch,54,-.104,-5.005,48
134,136,Roger Sloan,88,-.105,-7.333,70
135,137,Anders Albertson,68,-.113,-5.890,52
136,138,Richy Werenski,89,-.114,-8.345,73
137,149,Chez Reavie,99,-.117,-8.195,70
138,140,Patton Kizzire,76,-.120,-6.337,53
139,139,Corey Conners,90,-.123,-8.457,69
140,141,Kyoung-Hoon Lee,92,-.124,-7.703,62
141,143,Danny Lee,83,-.139,-10.005,72
141,143,Anirban Lahiri,73,-.139,-8.221,59
143,145,Joey Garber,63,-.140,-6.039,43
144,146,Keegan Bradley,89,-.142,-9.525,67
145,147,Adam Long,76,-.151,-10.277,68
146,148,Brice Garnett,87,-.153,-9.951,65
147,150,Curtis Luck,65,-.157,-6.891,44
148,151,Sam Ryder,76,-.161,-9.642,60
149,152,Josh Teater,73,-.162,-8.608,53
150,153,J.J. Henry,58,-.163,-6.691,41
150,153,Tom Hoge,98,-.163,-11.765,72
152,155,Freddie Jacobson,53,-.178,-7.128,40
153,162,Kevin Kisner,97,-.186,-13.214,71
154,156,Jhonattan Vegas,75,-.190,-11.600,61
155,157,Sepp Straka,78,-.191,-11.078,58
156,158,Cody Gribble,74,-.193,-11.199,58
157,159,Scott Brown,86,-.194,-13.182,68
158,160,Tyler Duncan,89,-.197,-12.832,65
159,161,Joel Dahmen,100,-.204,-15.509,76
160,163,Ryan Palmer,74,-.216,-11.030,51
161,164,Adam Hadwin,86,-.227,-14.096,62
162,165,Brendan Steele,68,-.228,-11.647,51
163,166,Charley Hoffman,74,-.230,-10.827,47
164,167,Hudson Swafford,59,-.239,-11.216,47
165,172,Jason Kokrak,94,-.241,-18.090,75
166,168,Andrew Landry,80,-.244,-15.854,65
167,169,Sam Saunders,78,-.247,-16.536,67
168,170,Chesson Hadley,76,-.252,-15.128,60
169,171,Alex Cejka,58,-.257,-10.284,40
170,173,Johnson Wagner,64,-.268,-12.614,47
171,174,Kelly Kraft,87,-.273,-17.773,65
172,175,Jim Knous,57,-.275,-10.723,39
173,176,Trey Mullinax,77,-.293,-18.458,63
174,177,Sangmoon Bae,60,-.302,-12.088,40
175,178,Max Homa,82,-.304,-21.008,69
175,178,Sam Burns,80,-.304,-20.676,68
177,180,David Hearn,55,-.309,-10.512,34
178,181,Chase Wright,75,-.313,-17.836,57
179,182,Alex Prugh,77,-.323,-18.418,57
180,183,Jim Herman,52,-.325,-12.332,38
181,184,"Ted Potter, Jr.",73,-.335,-20.076,60
182,185,Emiliano Grillo,85,-.345,-18.996,55
183,186,John Chin,58,-.366,-13.897,38
183,186,Seth Reeves,73,-.366,-19.393,53
185,188,Austin Cook,68,-.372,-19.739,53
186,190,Satoshi Kodaira,67,-.414,-21.131,51
187,191,Hunter Mahan,59,-.574,-26.998,47
188,192,Cameron Champ,78,-.597,-40.617,68
