RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Dustin Johnson,77,.919,56.985,62
2,4,Jon Rahm,71,.817,41.660,51
3,3,Gary Woodland,96,.803,56.202,70
4,5,Luke List,98,.795,61.975,78
5,2,Bubba Watson,90,.780,53.012,68
6,6,Rory McIlroy,64,.761,38.798,51
7,8,Keith Mitchell,99,.706,58.589,83
8,10,Francesco Molinari,73,.690,39.315,57
9,7,Brooks Koepka,64,.658,35.528,54
10,9,Patrick Cantlay,87,.622,41.703,67
11,11,Kevin Chappell,77,.608,37.675,62
12,13,Bryson DeChambeau,93,.586,45.741,78
13,12,Tommy Fleetwood,73,.580,31.344,54
14,15,J.B. Holmes,77,.565,38.419,68
15,16,Brendan Steele,74,.557,30.071,54
16,14,Justin Rose,70,.551,29.227,53
17,17,Billy Horschel,86,.538,41.435,77
18,18,Lucas Glover,65,.514,23.637,46
19,19,Trey Mullinax,75,.506,29.831,59
20,21,Corey Conners,97,.501,39.616,79
21,22,Kiradech Aphibarnrat,51,.485,16.493,34
22,20,Tony Finau,105,.481,38.970,81
23,23,Byeong Hun An,86,.475,34.678,73
24,24,Hunter Mahan,67,.465,23.732,51
25,25,Kevin Streelman,94,.439,35.995,82
26,26,Henrik Stenson,60,.427,18.789,44
27,31,Aaron Wise,90,.410,32.834,80
28,27,Justin Thomas,91,.408,27.721,68
29,28,Ryan Moore,78,.406,26.814,66
30,29,Louis Oosthuizen,62,.401,18.428,46
31,32,J.T. Poston,73,.381,21.692,57
32,33,Tom Lovelady,87,.379,26.149,69
33,30,Kyle Stanley,93,.378,25.344,67
34,34,Grayson Murray,72,.375,22.153,59
35,35,Emiliano Grillo,94,.364,26.594,73
36,36,Jason Kokrak,99,.360,31.698,88
37,37,Sam Saunders,80,.350,23.445,67
38,38,Matt Jones,70,.333,15.639,47
39,39,Shane Lowry,64,.331,16.886,51
40,40,Abraham Ancer,98,.325,26.952,83
41,41,Charles Howell III,104,.324,25.305,78
42,42,James Hahn,85,.323,22.256,69
43,43,Bronson Burgoon,69,.309,17.587,57
44,44,Joel Dahmen,93,.300,21.326,71
44,44,Adam Scott,78,.300,17.987,60
46,46,Jhonattan Vegas,92,.294,18.789,64
47,47,J.J. Spaun,85,.286,20.323,71
48,48,Beau Hossler,104,.281,25.257,90
49,50,Tyler Duncan,97,.273,22.103,81
50,51,Kevin Tway,110,.271,24.388,90
50,51,Jordan Spieth,81,.271,17.879,66
52,54,Jason Dufner,71,.256,13.315,52
52,54,Rafa Cabrera Bello,75,.256,12.288,48
54,56,Charley Hoffman,87,.254,17.242,68
55,60,Rickie Fowler,74,.244,14.856,61
56,57,Cameron Percy,56,.241,9.868,41
57,53,Xander Schauffele,96,.240,17.310,72
58,49,Keegan Bradley,98,.237,18.955,80
59,59,Ryan Palmer,69,.235,14.104,60
60,61,Hudson Swafford,73,.225,11.715,52
61,63,Rory Sabbatini,91,.217,16.252,75
