RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,MONEY,YTD VICTORIES
1,2,Luke Donald,19,"$6,683,214",2
2,1,Webb Simpson,26,"$6,347,353",2
3,3,Nick Watney,22,"$5,290,673",2
4,4,K.J. Choi,22,"$4,434,691",1
5,5,Dustin Johnson,21,"$4,309,961",1
6,6,Matt Kuchar,24,"$4,233,920",
7,7,Bill Haas,26,"$4,088,637",1
8,8,Steve Stricker,19,"$3,992,785",2
9,9,Jason Day,21,"$3,962,647",
10,10,David Toms,23,"$3,858,090",1
11,11,Adam Scott,18,"$3,764,797",1
12,12,Phil Mickelson,21,"$3,763,488",1
13,13,Keegan Bradley,28,"$3,758,600",2
14,14,Brandt Snedeker,26,"$3,587,206",1
15,15,Hunter Mahan,25,"$3,503,540",
16,16,Bubba Watson,22,"$3,477,811",2
17,18,Gary Woodland,25,"$3,448,591",1
18,17,Justin Rose,23,"$3,401,420",1
19,19,Mark Wilson,26,"$3,158,477",2
20,20,Aaron Baddeley,22,"$3,094,693",1
21,21,Jason Dufner,23,"$3,057,860",
22,22,Jonathan Byrd,26,"$2,938,920",1
23,23,Martin Laird,23,"$2,676,509",1
24,24,Charl Schwartzel,15,"$2,604,558",1
25,25,Charles Howell III,30,"$2,509,223",
26,26,Freddie Jacobson,25,"$2,488,325",1
27,27,Rory Sabbatini,24,"$2,420,655",1
28,28,Vijay Singh,25,"$2,371,050",
29,29,Bo Van Pelt,27,"$2,344,546",
30,30,Kevin Na,26,"$2,336,965",1
31,32,Spencer Levin,31,"$2,320,038",
32,31,Y.E. Yang,18,"$2,314,865",
33,34,John Senden,26,"$2,294,811",
34,33,Chez Reavie,27,"$2,285,067",
35,35,Tommy Gainey,34,"$2,174,191",
36,36,Rickie Fowler,24,"$2,084,681",
37,37,D.A. Points,26,"$2,034,156",1
38,38,Brendan Steele,27,"$1,976,310",1
39,39,Steve Marino,23,"$1,975,076",
40,40,Bryce Molder,27,"$1,957,944",1
41,42,Scott Stallings,28,"$1,957,162",1
42,41,Ryan Moore,22,"$1,942,906",
43,43,Geoff Ogilvy,21,"$1,916,994",
44,44,Zach Johnson,23,"$1,880,406",
45,45,Chris Kirk,28,"$1,877,627",1
46,46,Jhonattan Vegas,25,"$1,854,414",1
47,48,Ryan Palmer,24,"$1,850,530",
48,47,Lucas Glover,23,"$1,823,327",1
49,49,Robert Karlsson,18,"$1,779,815",
50,50,Ben Crane,23,"$1,679,595",1
51,51,Brandt Jobe,28,"$1,629,764",
52,52,Carl Pettersson,27,"$1,540,723",
53,53,Jim Furyk,26,"$1,529,690",
54,54,Sergio Garcia,16,"$1,524,091",
55,55,Kyle Stanley,28,"$1,523,657",
56,56,Robert Garrigus,26,"$1,503,923",
57,57,Sean O'Hair,24,"$1,483,948",1
58,58,Charley Hoffman,27,"$1,462,591",
59,60,George McNeill,21,"$1,458,110",
60,59,Robert Allenby,25,"$1,452,567",
61,61,Jerry Kelly,26,"$1,451,797",
62,62,J.B. Holmes,16,"$1,398,583",
63,63,Paul Goydos,25,"$1,385,328",
64,77,John Rollins,27,"$1,370,566",
65,74,Kris Blanks,29,"$1,350,010",
66,83,Kevin Chappell,26,"$1,339,640",
67,64,Jimmy Walker,24,"$1,336,556",
68,68,Cameron Tringale,32,"$1,327,807",
69,65,Harrison Frazar,19,"$1,322,267",1
70,66,Andres Romero,22,"$1,313,133",
71,67,Brian Davis,30,"$1,308,009",
72,69,Kevin Streelman,26,"$1,300,006",
73,70,Pat Perez,24,"$1,295,253",
74,71,Jeff Overton,26,"$1,290,962",
75,72,Scott Piercy,23,"$1,250,957",1
76,73,Brendon de Jonge,30,"$1,241,326",
77,75,Camilo Villegas,25,"$1,231,918",
78,76,Johnson Wagner,25,"$1,224,556",1
79,78,Scott Verplank,15,"$1,194,178",
80,79,Charlie Wi,25,"$1,188,494",
81,89,Trevor Immelman,25,"$1,165,604",
82,80,Brian Gay,26,"$1,157,525",
83,81,Chad Campbell,29,"$1,104,024",
84,84,Blake Adams,34,"$1,100,558",
85,82,Chris Stroud,28,"$1,096,499",
86,85,Graeme McDowell,16,"$1,088,898",
87,86,Anthony Kim,26,"$1,085,846",
88,87,Davis Love III,22,"$1,056,300",
89,88,Hunter Haas,30,"$1,039,987",
90,90,Ryuji Imada,29,"$990,319",
91,144,Justin Leonard,26,"$952,962",
92,91,Ricky Barnes,23,"$951,587",
93,92,Ernie Els,21,"$948,872",
94,93,Troy Matteson,28,"$946,989",
95,96,Briny Baird,19,"$942,286",
96,105,Nick O'Hern,29,"$940,224",
97,99,Michael Bradley,24,"$935,934",1
98,94,Michael Thompson,25,"$935,265",
99,95,Chris Couch,21,"$922,496",
100,97,Marc Leishman,27,"$916,330",
101,98,Stewart Cink,22,"$909,162",
102,100,Tim Herron,28,"$909,135",
103,101,J.J. Henry,28,"$873,377",
104,102,David Hearn,26,"$869,072",
105,108,Greg Chalmers,28,"$832,191",
106,103,Tom Gillis,19,"$814,147",
107,104,Padraig Harrington,18,"$802,839",
108,106,Retief Goosen,16,"$796,360",
109,127,Billy Mayfair,29,"$780,578",
110,107,Josh Teater,31,"$769,324",
111,109,Kevin Stadler,27,"$768,172",
112,113,Heath Slocum,29,"$767,216",
113,110,Chris DiMarco,31,"$761,932",
114,125,James Driscoll,24,"$741,010",
115,111,Ian Poulter,16,"$739,926",
116,112,Joe Ogilvie,24,"$726,866",
117,114,Louis Oosthuizen,15,"$717,965",
118,115,David Mathis,25,"$715,404",
119,116,John Merrick,21,"$704,789",
120,141,Sung Kang,21,"$702,382",
121,143,Tom Pernice Jr.,12,"$694,981",
122,117,Matt Bettencourt,30,"$692,545",
123,118,Arjun Atwal,29,"$690,237",
124,119,Rod Pampling,21,"$668,768",
125,123,D.J. Trahan,30,"$668,166",
126,124,Bobby Gates,29,"$666,735",
127,120,Roland Thatcher,22,"$666,371",
128,121,Tiger Woods,9,"$660,238",
129,122,Stuart Appleby,24,"$657,150",
130,126,Bill Lunde,28,"$639,548",
131,128,Ángel Cabrera,17,"$628,079",
132,135,Steven Bowditch,28,"$621,378",
133,129,Matt Jones,25,"$602,392",
134,130,Steve Flesch,27,"$594,622",
135,134,Bob Estes,12,"$594,104",
136,131,Paul Casey,15,"$590,386",
137,132,Matt McQuillan,21,"$582,933",
138,133,Tim Clark,4,"$571,000",
139,136,Stephen Ames,22,"$547,589",
140,137,Billy Horschel,25,"$533,024",
141,138,William McGirt,32,"$532,933",
142,139,Garrett Willis,24,"$526,390",
143,140,Shane Bertsch,20,"$488,584",
144,142,Cameron Beckman,25,"$455,085",
145,145,Scott McCarron,22,"$436,270",
146,146,Tim Petrovic,29,"$428,011",
147,147,Zack Miller,30,"$427,341",
148,148,Vaughn Taylor,27,"$423,907",
149,149,Ben Curtis,23,"$423,466",
150,154,Jason Bohn,22,"$411,943",
151,150,Dean Wilson,22,"$401,314",
152,151,David Duval,24,"$400,654",
153,152,Michael Putnam,21,"$398,400",
154,153,Chris Riley,25,"$397,204",
155,155,Jim Renner,22,"$392,945",
156,156,Tag Ridings,28,"$382,670",
157,158,Fabián Gómez,26,"$381,730",
158,157,Fred Couples,5,"$371,081",
159,159,Kent Jones,25,"$360,624",
160,162,Joe Durant,25,"$358,790",
161,161,Woody Austin,18,"$354,042",
162,168,Bio Kim,25,"$345,588",
163,160,Alex Cejka,21,"$344,902",
164,170,Ben Martin,25,"$340,080",
165,163,Aron Price,18,"$333,290",
166,180,Henrik Stenson,15,"$327,799",
