RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,1,Tim Clark,81,30.416666666666668,"32,140.000","1,057",Under
2,2,Jason Bohn,88,31.0,"45,565.000","1,468",Under
3,3,Tom Lehman,55,31.666666666666668,"19,897.750",629,Under
3,3,Jay Williamson,69,31.666666666666668,"32,230.333","1,019",Under
5,6,Patrick Sheehan,51,32.083333333333336,"22,407.333",699,Under
6,6,Heath Slocum,95,32.25,"49,225.500","1,525",Under
6,8,David Toms,98,32.25,"46,420.750","1,438",1 Under
6,5,Joe Durant,62,32.25,"27,001.333",837,Under
9,9,Steve Stricker,81,32.416666666666664,"36,020.917","1,110",1 Under
10,10,Kris Blanks,60,32.583333333333336,"27,459.583",843,Under
11,11,Jim Furyk,86,32.666666666666664,"37,985.333","1,162",1 Under
11,12,Zach Johnson,94,32.666666666666664,"46,278.667","1,416",1 Under
13,13,Brian Gay,96,32.833333333333336,"48,109.583","1,467",Under
14,15,Justin Leonard,95,32.916666666666664,"44,189.083","1,344",1 Under
14,14,Scott Sterling,51,32.916666666666664,"23,525.750",715,Under
16,16,Kevin Stadler,65,33.083333333333336,"31,977.750",967,Under
17,17,Bryce Molder,69,33.166666666666664,"32,083.583",968,Under
17,28,Darron Stiles,52,33.166666666666664,"24,965.250",753,Under
17,18,Nick O'Hern,90,33.166666666666664,"50,516.750","1,522",Under
20,18,Chad Campbell,90,33.25,"42,276.583","1,272",Under
21,20,Mike Weir,85,33.333333333333336,"39,908.333","1,198",Under
21,20,Tommy Armour III,58,33.333333333333336,"31,115.583",933,Under
21,20,Sergio Garcia,59,33.333333333333336,"26,354.583",790,Under
24,23,Bart Bryant,58,33.416666666666664,"31,222.917",934,Over
25,24,Alex Cejka,82,33.5,"42,523.917","1,269",Under
25,25,Brandt Snedeker,81,33.5,"38,942.667","1,163",Under
27,25,Fred Couples,54,33.583333333333336,"25,264.833",753,Under
28,27,Robert Allenby,71,33.666666666666664,"33,879.083","1,006",Under
28,32,Dean Wilson,81,33.666666666666664,"42,158.667","1,252",Under
28,28,Bob Heintz,59,33.666666666666664,"30,738.000",912,Under
31,28,Kenny Perry,92,33.75,"44,172.083","1,310",Under
31,32,Matt Weibring,65,33.75,"33,323.667",987,Under
33,32,Chez Reavie,81,33.833333333333336,"42,493.833","1,255",Under
33,36,Michael Allen,73,33.833333333333336,"35,181.000","1,039",Under
33,28,Chris DiMarco,97,33.833333333333336,"52,646.000","1,557",Under
36,32,Glen Day,79,33.916666666666664,"38,915.917","1,148",Over
37,36,Briny Baird,89,34.0,"43,891.667","1,291",Under
38,38,Lee Janzen,74,34.083333333333336,"37,199.167","1,091",Under
39,39,Luke Donald,79,34.166666666666664,"37,246.333","1,091",Under
39,39,Matt Kuchar,82,34.166666666666664,"43,545.500","1,274",Under
41,41,Jason Dufner,90,34.25,"47,761.167","1,395",Under
41,41,Chris Stroud,88,34.25,"46,662.250","1,363",Under
43,46,Jeff Quinney,78,34.333333333333336,"43,630.250","1,270",Under
43,44,Scott Verplank,88,34.333333333333336,"48,699.417","1,417",Under
45,44,Cameron Beckman,87,34.416666666666664,"46,196.333","1,342",Under
45,46,Kevin Na,91,34.416666666666664,"48,072.167","1,397",Under
45,41,Greg Owen,97,34.416666666666664,"50,487.000","1,466",Under
45,46,Ben Crane,93,34.416666666666664,"49,271.833","1,433",Under
49,51,John Senden,100,34.5,"56,879.167","1,647",Under
49,51,Lucas Glover,93,34.5,"48,628.333","1,410",Under
49,46,Robert Garrigus,83,34.5,"44,178.917","1,281",Under
49,46,D.J. Trahan,96,34.5,"49,162.083","1,426",Under
49,51,Ernie Els,70,34.5,"33,434.833",970,Under
49,55,Rocco Mediate,79,34.5,"40,801.000","1,182",Under
55,55,Vijay Singh,71,34.583333333333336,"31,611.917",913,Under
55,55,Kirk Triplett,60,34.583333333333336,"34,120.583",987,Over
55,55,Tiger Woods,64,34.583333333333336,"29,730.667",859,1 Under
55,55,Sean O'Hair,80,34.583333333333336,"35,891.083","1,039",Under
55,55,Y.E. Yang,83,34.583333333333336,"43,278.417","1,251",Under
55,55,Hunter Mahan,94,34.583333333333336,"46,604.750","1,346",Under
61,64,Boo Weekley,79,34.666666666666664,"40,373.750","1,166",Under
61,55,Harrison Frazar,93,34.666666666666664,"52,114.083","1,503",Under
61,64,Woody Austin,84,34.666666666666664,"47,214.083","1,361",Under
61,70,Paul Goydos,79,34.666666666666664,"40,408.333","1,165",Under
61,64,Bob Estes,78,34.666666666666664,"42,793.750","1,235",Under
66,85,Jeff Maggert,79,34.75,"45,384.000","1,307",Under
66,51,Corey Pavin,73,34.75,"33,702.917",971,Under
66,69,Jerry Kelly,90,34.75,"47,903.667","1,378",Under
66,64,Ken Duke,87,34.75,"44,137.167","1,269",Under
70,70,Retief Goosen,74,34.833333333333336,"34,921.667","1,003",Under
70,64,Steve Flesch,77,34.833333333333336,"39,323.750","1,129",Even
70,70,Ángel Cabrera,55,34.833333333333336,"23,771.333",682,Under
73,74,Vaughn Taylor,88,34.916666666666664,"49,144.333","1,409",Under
73,74,Rod Pampling,72,34.916666666666664,"40,001.250","1,146",Under
73,74,Steve Marino,98,34.916666666666664,"52,567.500","1,504",Under
73,78,Colt Knost,71,34.916666666666664,"34,966.167","1,001",Over
77,78,John Merrick,91,35.0,"42,372.750","1,212",Under
77,78,John Mallinger,90,35.0,"44,157.333","1,263",Under
77,78,Stephen Ames,77,35.0,"35,720.917","1,020",Under
77,78,Todd Hamilton,83,35.0,"40,131.083","1,146",Over
77,85,Steve Elkington,70,35.0,"38,893.250","1,110",Under
