RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,1,Hank Kuehne,73,321.4,"44,994",140
2,2,John Daly,56,314.3,"34,576",110
3,4,Phil Mickelson,87,306.0,"48,049",157
4,5,Darren Clarke,61,304.9,"32,928",108
5,6,Ernie Els,65,303.3,"36,398",120
6,7,Vijay Singh,106,301.9,"60,982",202
7,8,Sergio Garcia,62,300.9,"34,306",114
8,9,Mike Heinen,89,300.8,"52,340",174
9,10,Brenden Pappas,105,300.3,"61,266",204
10,12,Mathew Goggin,90,299.8,"50,965",170
11,13,Deane Pappas,75,299.5,"43,431",145
11,10,Tiger Woods,74,299.5,"40,735",136
13,13,Retief Goosen,69,299.4,"38,320",128
14,15,Andrew Magee,91,299.3,"52,684",176
15,16,Adam Scott,52,299.2,"27,523",92
15,17,Davis Love III,85,299.2,"46,671",156
17,18,Todd Barranger,78,298.8,"44,223",148
18,19,Harrison Frazar,88,298.7,"50,786",170
19,20,Carlos Franco,99,298.0,"57,811",194
20,21,Brian Bateman,70,297.2,"38,929",131
21,23,Jason Gore,83,296.7,"48,957",165
22,25,Ty Tryon,52,295.9,"28,994",98
22,24,Jonathan Kaye,91,295.9,"52,085",176
24,28,Jonathan Byrd,101,295.3,"59,354",201
25,29,Brent Schwarzrock,60,295.2,"33,658",114
25,29,Jason Caron,74,295.2,"41,030",139
27,26,Kenny Perry,98,295.1,"56,947",193
28,29,Robert Allenby,87,294.8,"47,160",160
28,32,Ian Leggatt,71,294.8,"40,095",136
30,26,K.J. Choi,112,294.7,"61,302",208
31,36,Charles Howell III,120,294.6,"67,748",230
31,33,Scott McCarron,86,294.6,"47,433",161
31,33,Chad Campbell,105,294.6,"60,091",204
31,33,Neal Lancaster,110,294.6,"62,453",212
35,37,Stuart Appleby,90,294.4,"50,054",170
36,37,Tommy Armour III,66,294.3,"37,078",126
37,39,Kenneth Staton,59,293.9,"32,917",112
37,39,Craig Barlow,95,293.9,"54,658",186
39,41,Brent Geiberger,51,293.8,"29,972",102
39,41,Paul Stankowski,67,293.8,"39,073",133
41,43,Rich Beem,80,293.6,"45,210",154
42,44,Carl Paulson,101,293.4,"59,270",202
42,44,Fred Couples,71,293.4,"39,021",133
44,46,Rory Sabbatini,95,293.3,"54,256",185
44,46,Andy Miller,75,293.3,"43,413",148
46,48,J.J. Henry,100,293.2,"56,301",192
46,48,Patrick Sheehan,101,293.2,"57,465",196
46,48,Chris Smith,92,293.2,"53,942",184
49,51,Marco Dawson,86,292.9,"48,616",166
50,52,Peter Lonard,96,292.8,"52,699",180
51,53,Brandt Jobe,77,292.7,"45,075",154
52,54,Briny Baird,113,292.2,"63,692",218
53,55,John Senden,111,291.8,"61,856",212
53,55,Geoff Ogilvy,86,291.8,"47,858",164
55,57,Darron Stiles,93,291.6,"51,321",176
56,59,John Morgan,81,291.0,"45,396",156
56,59,Vance Veazey,66,291.0,"38,124",131
58,58,Tim Herron,102,290.9,"57,596",198
59,61,Woody Austin,107,290.8,"59,912",206
59,61,Jason Buha,61,290.8,"33,735",116
59,61,Steve Allan,53,290.8,"28,212",97
62,64,Craig Perks,82,290.7,"45,929",158
63,65,David Sutherland,77,290.4,"41,822",144
64,66,Rod Pampling,87,290.1,"47,577",164
65,67,J.L. Lewis,99,289.7,"55,629",192
66,68,Brett Quigley,92,289.6,"50,383",174
67,69,Cameron Beckman,86,289.4,"48,036",166
68,69,Mike Weir,80,289.2,"43,084",149
68,72,Ben Crane,94,289.2,"53,207",184
70,73,Tom Pernice Jr.,105,289.1,"58,684",203
71,74,Shaun Micheel,97,288.9,"54,027",187
72,69,Bob Tway,89,288.8,"49,101",170
72,74,David Toms,90,288.8,"46,779",162
72,76,Kevin Sutherland,97,288.8,"53,713",186
72,76,Steve Lowery,86,288.8,"46,205",160
76,78,Cameron Yancey,58,288.5,"31,735",110
76,78,Mike Sposa,72,288.5,"39,237",136
78,80,Duffy Waldorf,90,288.4,"49,600",172
79,81,Jeff Brehaut,110,288.3,"61,117",212
80,82,Greg Chalmers,98,288.2,"54,750",190
81,83,Stewart Cink,104,288.0,"57,608",200
82,84,David Gossett,92,287.9,"52,402",182
82,84,Aaron Baddeley,71,287.9,"38,585",134
82,84,Per-Ulrik Johansson,96,287.9,"54,709",190
85,87,Garrett Willis,97,287.7,"54,670",190
85,87,Robert Gamez,114,287.7,"65,019",226
87,89,Mark Calcavecchia,84,287.6,"48,313",168
87,89,Mike Grob,83,287.6,"46,017",160
89,91,Anthony Painter,87,287.5,"48,018",167
89,91,Brad Elder,51,287.5,"28,179",98
89,91,Pat Perez,95,287.5,"52,895",184
92,94,Thomas Levet,85,286.9,"47,623",166
93,95,Tom Lehman,87,286.8,"46,461",162
94,96,Joe Durant,96,286.7,"55,041",192
95,97,Kent Jones,74,286.6,"39,548",138
96,98,Tom Gillis,71,286.5,"38,969",136
96,98,Cliff Kresge,102,286.5,"57,010",199
96,98,Paul Gow,62,286.5,"34,949",122
99,102,Stephen Ames,91,285.9,"50,886",178
100,101,Steve Flesch,110,285.7,"60,568",212
100,103,John Riegger,55,285.7,"29,138",102
