RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Greg Chalmers,56,.790,32.388,41
2,4,Jason Day,75,.770,37.721,49
3,2,Alex Noren,67,.758,37.154,49
4,3,Daniel Summerhays,51,.736,27.966,38
5,6,Webb Simpson,95,.692,56.018,81
6,5,Beau Hossler,104,.685,61.617,90
7,7,Johnson Wagner,75,.623,34.292,55
8,9,Peter Malnati,87,.619,46.410,75
9,10,Patrick Rodgers,97,.561,40.932,73
10,11,Emiliano Grillo,94,.546,39.841,73
11,16,Kevin Na,91,.533,37.304,70
12,12,Kevin Kisner,89,.513,33.365,65
13,8,Phil Mickelson,90,.510,35.711,70
14,14,Seamus Power,86,.498,32.851,66
14,14,Michael Thompson,62,.498,27.889,56
16,17,Graeme McDowell,67,.478,21.967,46
16,17,Brandt Snedeker,84,.478,35.378,74
18,19,Denny McCarthy,71,.449,22.018,49
19,20,Brian Gay,103,.442,40.668,92
20,21,Whee Kim,93,.427,31.181,73
21,13,Justin Rose,70,.424,22.479,53
22,22,Brett Stegmaier,67,.401,18.836,47
23,25,Billy Horschel,86,.392,30.165,77
24,24,Jim Furyk,50,.389,17.903,46
25,23,Dustin Johnson,77,.385,23.861,62
26,26,Bud Cauley,55,.367,15.055,41
27,27,Derek Fathauer,84,.363,24.669,68
28,28,Wesley Bryan,69,.360,18.354,51
29,30,Nicholas Lindheim,77,.355,20.930,59
30,31,Branden Grace,67,.350,15.390,44
31,32,Matt Kuchar,88,.348,22.592,65
32,34,Hunter Mahan,67,.346,17.640,51
32,29,Bryson DeChambeau,93,.346,26.983,78
34,35,Ricky Barnes,65,.338,15.201,45
35,36,Tyrrell Hatton,58,.335,14.077,42
36,37,Ben Crane,65,.332,15.286,46
37,38,Ollie Schniederjans,91,.325,25.042,77
38,39,Jimmy Walker,81,.324,21.369,66
38,33,Tommy Fleetwood,73,.324,17.510,54
40,40,Daniel Berger,81,.319,19.780,62
41,41,Austin Cook,107,.315,28.963,92
42,44,Dominic Bozzelli,65,.308,18.800,61
43,42,Rickie Fowler,74,.296,18.029,61
44,45,Martin Laird,73,.282,17.178,61
45,46,Brian Harman,94,.273,19.683,72
45,46,Rafa Cabrera Bello,75,.273,13.101,48
