RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,2,Aaron Baddeley,76,.722,47.649,66
2,1,Jimmy Walker,89,.692,44.265,64
3,4,Daniel Summerhays,101,.644,57.333,89
4,6,Lee Westwood,56,.595,19.046,32
5,7,Brandt Snedeker,98,.588,44.074,75
6,5,Jason Day,75,.586,33.407,57
7,8,Brendon Todd,96,.582,44.219,76
8,9,Russell Henley,87,.579,38.773,67
9,17,Jordan Spieth,91,.571,37.665,66
10,15,Harris English,105,.560,49.298,88
11,11,Greg Chalmers,58,.529,19.028,36
12,12,Zac Blair,108,.527,46.359,88
13,13,Andrew Putnam,68,.525,28.357,54
14,16,Bryce Molder,91,.508,39.105,77
15,19,Erik Compton,86,.469,32.862,70
16,20,Henrik Stenson,63,.436,19.205,44
17,18,Brooks Koepka,84,.421,27.372,65
18,21,K.J. Choi,66,.415,23.677,57
19,22,Matt Jones,89,.401,26.870,67
20,14,Patrick Reed,103,.394,29.919,76
21,23,Hunter Mahan,88,.390,25.348,65
22,24,Troy Merritt,91,.384,31.459,82
23,26,Robert Streb,110,.381,36.561,96
24,29,Danny Lee,120,.374,37.446,100
25,25,Pat Perez,96,.364,30.224,83
26,27,Hudson Swafford,97,.360,29.896,83
27,28,David Hearn,97,.358,30.442,85
28,30,Jamie Donaldson,50,.349,11.182,32
29,31,Colt Knost,90,.348,25.734,74
30,32,Steve Wheatcroft,87,.345,24.849,72
31,34,Carl Pettersson,106,.335,32.204,96
32,36,Will Wilcox,58,.322,13.220,41
33,41,Matt Kuchar,97,.316,24.322,77
34,37,Blayne Barber,76,.313,19.696,63
35,38,Billy Hurley III,83,.311,19.597,63
36,33,Rickie Fowler,76,.309,17.616,57
37,40,Derek Fathauer,81,.301,19.834,66
38,42,Scott Pinckney,88,.294,21.766,74
39,43,Luke Donald,71,.289,15.579,54
40,45,John Huh,102,.279,24.869,89
41,46,Phil Mickelson,70,.262,14.421,55
42,39,Sangmoon Bae,98,.260,22.865,88
43,47,Jerry Kelly,79,.250,16.490,66
44,48,Billy Horschel,99,.244,17.841,73
