RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,1,Luke Donald,66,63.64,56,88,+21.00
2,2,Dudley Hart,83,62.20,79,127,+26.00
3,3,Steve Stricker,64,62.03,49,79,+18.00
4,4,Chris Riley,86,61.90,104,168,+45.00
5,5,Brian Gay,107,61.59,93,151,+40.00
6,6,Doug Barron,74,60.50,72,119,+35.00
7,7,David Toms,76,59.43,63,106,+25.00
8,15,Rod Pampling,89,59.15,97,164,+43.00
9,8,Michael Allen,84,59.09,65,110,+31.00
10,9,Duffy Waldorf,96,58.90,96,163,+47.00
11,11,Jerry Smith,94,58.59,75,128,+40.00
12,14,Chad Campbell,91,58.45,83,142,+36.00
13,12,Corey Pavin,74,58.33,63,108,+32.00
14,17,Vaughn Taylor,88,57.35,78,136,+46.00
15,19,Stewart Cink,93,57.34,82,143,+41.00
16,20,Peter Lonard,77,57.14,68,119,+33.00
16,20,Steve Elkington,52,57.14,40,70,+20.00
18,22,Greg Chalmers,71,56.91,70,123,+47.00
19,16,Stuart Appleby,83,56.72,76,134,+31.00
20,18,Geoff Ogilvy,76,56.67,68,120,+46.00
21,23,Tim Petrovic,95,56.55,82,145,+47.00
22,12,K.J. Choi,93,56.49,74,131,+45.00
23,24,Bob May,65,56.41,44,78,+17.00
24,26,Mike Sposa,68,56.04,51,91,+29.00
25,27,Jeff Sluman,101,56.02,93,166,+48.00
26,28,Mark Wilson,79,55.81,48,86,+25.00
27,29,Steve Flesch,119,55.61,104,187,+69.00
28,25,Dean Wilson,115,55.32,104,188,+64.00
29,31,Tiger Woods,55,55.17,32,58,+13.00
30,30,Vijay Singh,103,55.09,92,167,+33.00
31,33,Trevor Immelman,86,55.05,60,109,+31.00
31,32,Jon Mills,68,55.05,60,109,+36.00
33,34,Ryuji Imada,105,54.94,89,162,+53.00
34,35,Aaron Baddeley,78,54.80,97,177,+53.00
35,44,Rory Sabbatini,84,54.48,73,134,+47.00
36,37,José María Olazábal,62,54.43,43,79,+12.00
37,39,Jerry Kelly,100,54.05,80,148,+41.00
38,40,Hidemichi Tanaka,74,53.91,62,115,+42.00
39,41,Mike Weir,88,53.79,78,145,+43.00
40,38,Adam Scott,70,53.61,52,97,+29.00
41,46,Brett Quigley,109,53.57,90,168,+54.00
42,45,Marco Dawson,87,53.23,66,124,+41.00
42,36,Ernie Els,69,53.23,66,124,+45.00
44,47,Nathan Green,108,53.07,95,179,+65.00
45,43,Carl Pettersson,95,53.05,87,164,+61.00
46,48,Kevin Sutherland,100,52.99,62,117,+37.00
47,42,Brett Wetterich,82,52.94,63,119,+33.00
48,49,Robert Gamez,94,52.90,82,155,+62.00
49,50,Kent Jones,103,52.87,83,157,+49.00
49,50,Jason Bohn,104,52.87,92,174,+58.00
51,52,Padraig Harrington,54,52.86,37,70,+21.00
51,52,Joe Ogilvie,95,52.86,74,140,+42.00
53,54,Daniel Chopra,110,52.72,97,184,+53.00
54,55,Carlos Franco,86,52.45,75,143,+43.00
55,56,Arjun Atwal,97,52.44,86,164,+54.00
56,57,Fred Funk,106,52.41,76,145,+58.00
57,58,Paul Azinger,87,52.35,78,149,+43.00
58,59,Justin Rose,98,52.31,68,130,+53.00
59,60,Steve Lowery,99,52.29,80,153,+64.00
60,61,Ryan Moore,68,52.25,58,111,+34.00
