RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,MONEY,YTD VICTORIES
1,1,Tiger Woods,21,"$10,628,024",6
2,2,Vijay Singh,30,"$8,017,336",4
3,3,Phil Mickelson,21,"$5,699,605",4
4,4,Jim Furyk,26,"$4,255,369",1
5,5,David Toms,25,"$3,962,013",1
6,6,Kenny Perry,23,"$3,607,155",2
7,7,Chris DiMarco,24,"$3,562,548",
8,8,Retief Goosen,18,"$3,494,106",1
9,22,Bart Bryant,26,"$3,249,136",2
10,9,Sergio Garcia,20,"$3,213,375",1
11,10,Fred Funk,30,"$2,830,046",1
12,11,Justin Leonard,24,"$2,665,131",2
13,14,Davis Love III,24,"$2,658,779",
14,12,Padraig Harrington,15,"$2,615,731",2
15,13,Adam Scott,19,"$2,592,255",
16,21,Scott Verplank,25,"$2,580,213",
17,15,Luke Donald,18,"$2,480,562",
18,16,Sean O'Hair,29,"$2,461,482",1
19,18,Ben Crane,21,"$2,457,329",1
20,17,Chad Campbell,27,"$2,391,432",
21,19,Tim Clark,26,"$2,310,037",
22,20,Billy Mayfair,31,"$2,236,455",
23,28,Stuart Appleby,25,"$2,202,506",1
24,23,Ted Purdy,34,"$2,198,368",1
25,26,Mark Calcavecchia,27,"$2,185,310",1
26,24,Olin Browne,29,"$2,171,928",1
27,25,Brandt Jobe,27,"$2,133,149",
28,30,Tim Herron,28,"$2,103,550",
29,29,Charles Howell III,29,"$2,074,329",
30,31,Lucas Glover,28,"$2,050,068",1
31,27,Carl Pettersson,34,"$1,993,851",1
32,32,Shigeki Maruyama,29,"$1,933,049",
33,33,Geoff Ogilvy,26,"$1,931,676",1
34,34,Peter Lonard,27,"$1,897,998",1
35,35,Jason Bohn,28,"$1,888,568",1
36,36,Vaughn Taylor,32,"$1,827,574",1
37,37,Joe Ogilvie,30,"$1,819,547",
38,38,Fred Couples,22,"$1,804,179",
39,39,Zach Johnson,30,"$1,796,441",
40,40,K.J. Choi,24,"$1,765,374",1
41,41,José María Olazábal,16,"$1,764,227",
42,42,John Daly,25,"$1,759,921",
43,43,Stewart Cink,26,"$1,733,049",
44,44,Tim Petrovic,32,"$1,711,229",1
45,45,Brad Faxon,23,"$1,700,535",1
46,46,Tom Lehman,20,"$1,655,416",
47,47,Ernie Els,11,"$1,627,184",
48,48,Rod Pampling,26,"$1,613,815",
49,49,Tom Pernice Jr.,32,"$1,608,057",
50,50,Heath Slocum,29,"$1,606,185",1
51,51,Bo Van Pelt,33,"$1,606,082",
52,52,Darren Clarke,12,"$1,465,921",
53,53,Jonathan Kaye,24,"$1,416,109",
54,54,Steve Elkington,20,"$1,410,350",
55,55,Justin Rose,28,"$1,365,191",
56,56,Mike Weir,23,"$1,363,467",
57,57,Greg Owen,24,"$1,352,878",
58,58,Jerry Kelly,31,"$1,352,487",
59,59,Mark Hensby,21,"$1,312,637",
60,60,Ryan Palmer,32,"$1,280,002",
61,61,Jeff Brehaut,23,"$1,271,061",
62,62,Pat Perez,28,"$1,258,087",
63,63,Robert Allenby,31,"$1,184,458",
64,64,Woody Austin,30,"$1,177,095",
65,65,Billy Andrade,26,"$1,120,835",
66,66,Robert Gamez,28,"$1,115,364",1
67,67,Kevin Na,32,"$1,095,204",
68,68,Jeff Sluman,28,"$1,087,506",
69,69,Bob Tway,26,"$1,072,387",
70,70,Joey Sindelar,29,"$1,060,238",
71,71,Dudley Hart,29,"$1,051,339",
72,72,Joey Snyder III,31,"$1,042,696",
73,73,Joe Durant,25,"$1,039,699",
74,74,J.L. Lewis,30,"$1,031,159",
75,75,"Wes Short, Jr.",16,"$1,029,640",1
76,76,Carlos Franco,25,"$1,029,267",
77,77,Charles Warren,31,"$1,007,276",
78,78,Aaron Baddeley,27,"$1,006,006",
