RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Nick Watney,86,.732,49.785,68
2,2,Boo Weekley,79,.721,46.875,65
3,3,Steve Marino,98,.668,56.145,84
4,5,Lucas Glover,93,.638,50.427,79
5,4,Charles Warren,63,.628,33.281,53
5,6,Hunter Mahan,94,.628,47.123,75
7,7,John Rollins,92,.618,48.852,79
8,9,Jonathan Byrd,89,.581,45.883,79
9,8,Kenny Perry,92,.566,41.325,73
10,10,Sean O'Hair,80,.539,31.251,58
11,11,Martin Laird,72,.538,33.353,62
12,12,Bill Haas,91,.535,43.846,82
13,13,Dustin Johnson,85,.509,32.580,64
14,17,D.J. Trahan,96,.506,40.454,80
15,14,David Toms,98,.497,39.799,80
16,15,Robert Allenby,71,.493,27.634,56
17,16,Troy Matteson,95,.486,42.765,88
18,20,Nicholas Thompson,96,.473,41.146,87
19,19,Joe Durant,62,.465,21.853,47
20,18,Sergio Garcia,59,.460,20.244,44
21,21,Greg Owen,97,.452,37.067,82
22,24,Jeff Maggert,79,.447,32.598,73
23,22,John Senden,100,.443,40.717,92
24,27,Kevin Streelman,97,.437,37.976,87
25,25,Tag Ridings,50,.429,17.574,41
26,26,Camilo Villegas,76,.427,23.903,56
27,23,Ted Purdy,101,.421,37.496,89
28,27,Robert Garrigus,83,.418,30.060,72
29,29,Heath Slocum,95,.415,35.302,85
30,30,Charley Hoffman,97,.405,35.271,87
31,31,Mathew Goggin,76,.403,24.185,60
32,32,Ernie Els,70,.397,21.420,54
33,33,Bo Van Pelt,100,.387,31.727,82
33,34,Bubba Watson,73,.387,22.074,57
35,35,Davis Love III,89,.384,29.560,77
36,36,Vijay Singh,71,.377,19.224,51
37,38,Ángel Cabrera,55,.372,14.149,38
38,39,Andres Romero,58,.370,15.903,43
38,39,Kirk Triplett,60,.370,20.329,55
40,37,Tommy Armour III,58,.353,18.332,52
41,42,Tiger Woods,64,.335,16.078,48
42,42,Michael Allen,73,.329,19.074,58
43,41,Jason Gore,74,.326,20.209,62
44,44,Jason Dufner,90,.323,25.192,78
44,44,Jason Day,61,.323,16.157,50
46,47,Phil Mickelson,66,.312,14.971,48
47,48,Fred Couples,54,.304,12.782,42
48,49,Rory Sabbatini,81,.299,20.032,67
49,51,Ben Crane,93,.282,22.595,80
50,52,Steve Stricker,81,.275,17.055,62
51,53,James Nitties,86,.262,19.889,76
52,54,Ryan Moore,89,.260,19.487,75
53,55,Scott McCarron,91,.259,20.970,81
54,56,Geoff Ogilvy,78,.258,14.982,58
55,63,Will MacKenzie,69,.257,15.666,61
56,57,Zach Johnson,94,.253,19.958,79
56,57,Retief Goosen,74,.253,14.171,56
58,50,Peter Tomasulo,61,.249,11.459,46
59,59,Michael Letzig,96,.240,20.668,86
60,60,Kevin Sutherland,96,.233,17.029,73
61,61,Scott Verplank,88,.229,18.100,79
62,62,Ian Poulter,59,.222,9.330,42
63,69,Stephen Ames,77,.214,12.171,57
64,70,Justin Rose,71,.189,10.763,57
65,65,Steve Lowery,83,.185,14.279,77
66,67,Rod Pampling,72,.183,11.724,64
67,65,Brian Davis,103,.181,16.492,91
68,71,Y.E. Yang,83,.170,11.897,70
69,72,Marc Leishman,91,.163,13.714,84
70,68,John Merrick,91,.162,11.004,68
71,73,Jason Bohn,88,.160,13.151,82
72,74,Jarrod Lyle,65,.159,7.947,50
73,78,Kris Blanks,60,.154,7.230,47
73,74,Ben Curtis,63,.154,7.237,47
75,76,Mark Wilson,99,.147,12.924,88
76,77,Bill Lunde,83,.143,10.702,75
77,84,Tom Lehman,55,.141,4.931,35
78,81,Brendon de Jonge,90,.134,10.576,79
79,79,Charles Howell III,99,.130,10.759,83
80,80,Tim Clark,81,.125,7.362,59
81,86,J.B. Holmes,74,.123,7.496,61
82,82,Matt Kuchar,82,.120,8.491,71
82,87,Tim Petrovic,97,.120,10.325,86
84,82,Scott Piercy,85,.119,9.015,76
85,84,Anthony Kim,76,.115,6.923,60
86,88,Paul Goydos,79,.107,6.982,65
87,91,Rich Beem,77,.101,5.859,58
88,89,Stewart Cink,79,.098,5.775,59
89,92,Steve Elkington,70,.097,5.984,62
89,90,John Mallinger,90,.097,6.862,71
91,93,Darron Stiles,52,.094,3.943,42
92,95,D.A. Points,99,.068,5.836,86
93,101,Tim Herron,87,.067,5.394,81
94,94,Jerry Kelly,90,.062,4.758,77
95,96,Brian Vranesh,51,.060,2.568,43
96,101,Todd Hamilton,83,.055,3.491,64
97,98,J.J. Henry,97,.030,2.485,84
98,103,Rocco Mediate,79,.029,1.939,66
99,100,Billy Mayfair,83,.020,1.367,69
100,104,Kevin Stadler,65,.018,.974,54
101,99,Justin Leonard,95,.008,.575,75
102,116,Kent Jones,73,.004,.247,61
103,107,Adam Scott,53,-.005,-.190,42
104,110,K.J. Choi,65,-.006,-.299,50
104,110,Alex Cejka,82,-.006,-.392,71
106,97,Briny Baird,89,-.012,-.851,72
106,113,Colt Knost,71,-.012,-.653,56
