RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
108,115,Jeff Klauk,97,-.016,-1.386,88
109,112,Jeff Overton,92,-.017,-1.301,76
110,106,George McNeill,82,-.020,-1.548,76
111,114,Jim Furyk,86,-.021,-1.363,65
112,107,Daniel Chopra,89,-.022,-1.790,83
113,117,Woody Austin,84,-.036,-2.760,76
114,121,Brandt Snedeker,81,-.037,-2.385,65
115,124,Ricky Barnes,67,-.042,-2.122,51
116,107,Matt Bettencourt,98,-.046,-4.007,87
117,105,Patrick Sheehan,51,-.050,-1.934,39
118,119,Harrison Frazar,93,-.056,-4.737,84
119,120,Chad Campbell,90,-.057,-4.057,71
120,126,Pat Perez,74,-.074,-4.587,62
121,124,Ken Duke,87,-.077,-5.444,71
122,129,Jay Williamson,69,-.084,-4.765,57
123,127,Mark Calcavecchia,72,-.095,-5.885,62
124,128,Bart Bryant,58,-.106,-5.492,52
125,123,Cliff Kresge,78,-.108,-7.213,67
126,130,Bob Estes,78,-.128,-8.798,69
127,118,Casey Wittenberg,71,-.132,-7.129,54
128,131,Chris Stroud,88,-.133,-10.123,76
129,133,Glen Day,79,-.139,-8.887,64
130,132,Scott Sterling,51,-.140,-5.595,40
131,133,Kevin Na,91,-.141,-10.982,78
132,137,Ryan Palmer,78,-.143,-10.023,70
133,142,Rick Price,54,-.154,-6.307,41
134,136,Peter Lonard,86,-.166,-12.765,77
135,135,Charlie Wi,92,-.167,-13.209,79
136,138,Vaughn Taylor,88,-.188,-14.870,79
137,139,Cameron Beckman,87,-.191,-14.336,75
138,150,Matt Weibring,65,-.193,-10.610,55
139,147,Johnson Wagner,81,-.197,-14.588,74
140,146,Chez Reavie,81,-.203,-14.219,70
140,141,Gary Woodland,53,-.203,-7.515,37
142,149,Nick O'Hern,90,-.205,-17.417,85
143,143,Joe Ogilvie,85,-.218,-16.807,77
144,144,Greg Chalmers,85,-.221,-15.704,71
145,145,Stuart Appleby,79,-.222,-14.435,65
146,139,Matt Jones,56,-.234,-10.543,45
147,152,Marc Turnesa,77,-.237,-16.853,71
148,148,Tom Pernice Jr.,82,-.245,-18.397,75
149,151,Chris DiMarco,97,-.264,-22.969,87
150,154,David Mathis,82,-.266,-18.320,69
151,155,Mike Weir,85,-.276,-18.503,67
152,156,Brett Quigley,92,-.297,-22.285,75
152,160,Webb Simpson,94,-.297,-25.821,87
154,161,Steve Flesch,77,-.301,-18.931,63
155,161,Padraig Harrington,66,-.315,-15.135,48
156,163,Bryce Molder,69,-.321,-17.329,54
157,159,Brian Gay,96,-.322,-26.403,82
158,166,Bob Heintz,59,-.326,-16.645,51
158,168,Carl Pettersson,86,-.326,-24.145,74
160,158,Lee Janzen,74,-.331,-20.180,61
161,157,Freddie Jacobson,83,-.334,-24.392,73
162,164,Brad Adamonis,70,-.339,-20.688,61
163,165,Chris Riley,77,-.342,-22.919,67
164,166,Derek Fathauer,63,-.350,-17.874,51
165,170,Nathan Green,104,-.407,-37.482,92
166,169,Aron Price,89,-.456,-35.113,77
167,171,Aaron Baddeley,66,-.459,-26.638,58
168,172,Mark Brooks,55,-.490,-19.581,40
169,175,Spencer Levin,75,-.493,-33.041,67
170,173,Richard Johnson,85,-.503,-37.240,74
171,174,Luke Donald,79,-.540,-32.922,61
172,180,Jeff Quinney,78,-.563,-39.963,71
173,176,Jimmy Walker,74,-.574,-36.707,64
174,178,Greg Kraft,51,-.581,-23.802,41
175,177,Ryuji Imada,85,-.583,-40.231,69
176,179,Leif Olson,51,-.599,-25.761,43
177,181,Brian Bateman,55,-.640,-30.705,48
178,182,Brendon Todd,53,-.792,-37.231,47
179,183,Dean Wilson,81,-.957,-67.018,70
180,184,Corey Pavin,73,-.974,-52.598,54
181,185,Brad Faxon,59,-1.030,-53.581,52
182,186,Parker McLachlin,71,-1.036,-69.408,67
183,187,David Duval,56,-1.330,-58.501,44
184,188,Eric Axley,71,-1.441,-85.002,59
