RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION,GIR RANK
1,1,Bob Heintz,68,1.682,"1,174",698,37.70,
2,2,David Toms,106,1.704,"2,110","1,238",33.66,
3,3,Chris Riley,104,1.713,"1,927","1,125",32.47,
4,5,Ben Crane,91,1.715,"1,724","1,005",34.07,
5,4,Phil Mickelson,97,1.717,"1,882","1,096",35.84,
6,6,Justin Leonard,97,1.722,"1,886","1,095",32.14,
7,8,Billy Andrade,100,1.729,"1,869","1,081",33.36,
8,9,Scott Verplank,93,1.730,"1,858","1,074",31.21,
8,7,Chris DiMarco,111,1.730,"2,162","1,250",32.53,
8,9,Bryce Molder,65,1.730,"1,247",721,33.47,
11,11,Greg Chalmers,94,1.731,"1,793","1,036",32.33,
12,14,Jonathan Byrd,96,1.732,"1,865","1,077",34.20,
12,14,Robert Gamez,69,1.732,"1,434",828,32.61,
12,14,Skip Kendall,103,1.732,"1,997","1,153",30.35,
15,17,Stuart Appleby,97,1.734,"1,845","1,064",33.65,
15,11,Retief Goosen,56,1.734,"1,075",620,32.74,
17,18,Brad Faxon,93,1.735,"1,652",952,30.77,
18,11,Nick Price,69,1.736,"1,248",719,30.68,
19,20,Duffy Waldorf,90,1.737,"1,701",979,33.09,
20,18,K.J. Choi,93,1.738,"1,783","1,026",32.23,
21,22,Steve Stricker,68,1.739,"1,146",659,33.84,
21,22,J.P. Hayes,78,1.739,"1,523",876,32.15,
23,24,David Duval,78,1.740,"1,460",839,34.77,
24,27,Mark Calcavecchia,84,1.741,"1,553",892,32.77,
25,21,Fred Funk,106,1.742,"2,362","1,356",31.29,
26,24,Davis Love III,92,1.743,"1,724",989,31.98,
26,28,Brian Gay,117,1.743,"2,331","1,337",31.03,
28,29,Rod Pampling,98,1.744,"1,911","1,096",32.30,
29,31,Jay Haas,83,1.745,"1,579",905,29.52,
30,24,Loren Roberts,93,1.746,"1,908","1,093",28.64,
31,32,John Daly,62,1.747,"1,120",641,35.00,
32,34,Kirk Triplett,84,1.748,"1,643",940,31.95,
32,34,Geoff Ogilvy,90,1.748,"1,731",990,33.23,
34,32,John Rollins,124,1.749,"2,569","1,469",31.02,
35,36,Sergio Garcia,79,1.751,"1,383",790,31.78,
35,38,Fred Couples,64,1.751,"1,222",698,33.76,
35,39,Vijay Singh,102,1.751,"2,092","1,195",31.68,
35,29,Ernie Els,68,1.751,"1,177",672,30.19,
39,39,Pat Perez,89,1.752,"1,696",968,33.92,
40,36,Shigeki Maruyama,87,1.753,"1,674",955,30.57,
40,41,Joel Edwards,101,1.753,"2,172","1,239",29.59,
40,41,Olin Browne,107,1.753,"2,137","1,219",30.21,
43,43,Dan Forsman,83,1.754,"1,770","1,009",30.16,
43,46,Scott McCarron,106,1.754,"1,982","1,130",32.06,
43,43,Dudley Hart,88,1.754,"1,728",985,30.86,
46,46,Pat Bates,94,1.755,"1,944","1,108",29.99,
46,46,Glen Day,107,1.755,"2,189","1,247",29.05,
46,46,Tim Clark,76,1.755,"1,490",849,31.52,
46,46,Steve Allan,93,1.755,"1,904","1,085",31.91,
46,46,Tim Herron,102,1.755,"2,045","1,165",30.33,
51,52,Paul Goydos,66,1.756,"1,331",758,28.80,
51,52,John Huston,99,1.756,"2,091","1,191",31.06,
53,54,Scott Hoch,71,1.757,"1,358",773,30.18,
53,54,Bob Burns,99,1.757,"2,001","1,139",29.11,
53,54,Phil Tataurangi,88,1.757,"1,762","1,003",31.31,
56,57,Stephen Gangluff,75,1.758,"1,512",860,30.70,
56,57,Ian Leggatt,97,1.758,"1,958","1,114",31.08,
56,57,John Cook,85,1.758,"1,719",978,29.82,
59,60,Paul Azinger,69,1.759,"1,235",702,29.91,
59,60,Jay Don Blake,107,1.759,"2,137","1,215",29.37,
59,60,Corey Pavin,78,1.759,"1,372",780,28.75,
59,60,Peter Lonard,93,1.759,"1,919","1,091",29.68,
63,64,David Peoples,105,1.760,"2,298","1,306",29.98,
63,75,Rocco Mediate,79,1.760,"1,558",885,30.77,
63,64,Cameron Beckman,87,1.760,"1,818","1,033",30.64,
63,43,José María Olazábal,71,1.760,"1,197",680,30.74,
67,66,Kent Jones,105,1.761,"2,115","1,201",30.11,
67,66,Craig Stadler,72,1.761,"1,423",808,30.73,
67,66,Hidemichi Tanaka,104,1.761,"2,157","1,225",29.52,
