RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Joe Durant,101,78.43,"1,102","1,405"
2,2,Fred Funk,106,78.01,"1,142","1,464"
3,3,Scott Verplank,88,75.23,899,"1,195"
4,4,Heath Slocum,96,74.67,970,"1,299"
5,5,Larry Mize,53,74.33,527,709
6,6,Omar Uresti,61,74.30,610,821
7,8,Steve Elkington,52,73.91,524,709
8,7,Jim Furyk,89,73.85,912,"1,235"
9,9,Olin Browne,108,73.56,"1,071","1,456"
10,10,Paul Goydos,72,72.90,729,"1,000"
11,11,Kirk Triplett,58,72.76,569,782
11,11,Bart Bryant,87,72.76,876,"1,204"
13,13,Skip Kendall,72,72.08,723,"1,003"
14,14,Jeff Maggert,81,71.86,812,"1,130"
15,15,Daisuke Maruyama,83,71.75,790,"1,101"
16,16,Briny Baird,81,71.39,766,"1,073"
17,17,John Cook,67,70.65,657,930
18,18,Chris Riley,86,70.55,805,"1,141"
19,20,Jerry Kelly,100,70.26,978,"1,392"
20,21,Ian Poulter,53,70.19,511,728
21,22,Billy Mayfair,94,70.14,921,"1,313"
22,23,Brian Davis,92,70.06,880,"1,256"
23,24,Greg Kraft,79,70.01,733,"1,047"
24,25,Tjaart van der Walt,60,69.69,554,795
25,26,Jerry Smith,94,69.66,893,"1,282"
26,31,Zach Johnson,98,69.63,855,"1,228"
27,28,Robert Gamez,94,69.51,912,"1,312"
28,29,Mark Brooks,90,69.35,860,"1,240"
29,30,Robert Allenby,79,69.33,746,"1,076"
30,27,David Toms,76,69.18,671,970
31,32,Brian Gay,107,68.64,"1,022","1,489"
32,33,Ron Whittaker,81,68.57,755,"1,101"
33,34,Kenny Perry,73,68.45,690,"1,008"
34,35,Hunter Mahan,98,68.31,931,"1,363"
35,36,David Branshaw,98,68.23,930,"1,363"
36,37,Richard Johnson,94,67.99,888,"1,306"
37,38,Kent Jones,103,67.95,954,"1,404"
38,39,Duffy Waldorf,96,67.92,868,"1,278"
39,40,Corey Pavin,74,67.66,659,974
40,41,Doug Barron,74,67.49,687,"1,018"
41,42,Nicholas Thompson,96,67.44,874,"1,296"
42,43,David McKenzie,82,67.41,751,"1,114"
43,44,Shane Bertsch,104,67.35,955,"1,418"
44,45,Tim Clark,80,67.27,740,"1,100"
45,46,Justin Leonard,83,67.24,743,"1,105"
46,47,Mark Wilson,79,67.23,712,"1,059"
47,48,Greg Owen,79,67.13,721,"1,074"
48,50,Brent Geiberger,99,67.04,907,"1,353"
49,52,Steve Stricker,64,66.98,578,863
50,53,Ryan Moore,68,66.96,608,908
51,54,J.P. Hayes,55,66.88,513,767
52,51,Luke Donald,66,66.86,589,881
53,55,Jason Bohn,104,66.78,969,"1,451"
54,56,Tommy Armour III,65,66.74,602,902
55,57,Frank Lickliter II,99,66.62,898,"1,348"
56,49,Ben Curtis,86,66.61,800,"1,201"
57,58,Alex Cejka,93,66.40,842,"1,268"
58,59,Jeff Brehaut,100,66.17,884,"1,336"
59,60,Padraig Harrington,54,66.14,463,700
60,61,Chris Smith,67,66.02,616,933
61,62,Ted Purdy,103,65.86,930,"1,412"
62,63,Stephen Leaney,84,65.81,768,"1,167"
63,64,Mike Sposa,68,65.71,596,907
64,65,Jeff Gove,91,65.65,795,"1,211"
65,66,Steve Flesch,119,65.59,"1,052","1,604"
66,67,Joey Sindelar,90,65.58,823,"1,255"
67,70,Jonathan Kaye,95,65.37,840,"1,285"
68,71,Mark Calcavecchia,94,65.30,847,"1,297"
69,72,Tom Pernice Jr.,108,65.28,944,"1,446"
70,69,K.J. Choi,93,65.03,835,"1,284"
71,73,Patrick Sheehan,104,64.99,906,"1,394"
72,74,Scott Gutschewski,53,64.98,462,711
73,75,John Senden,96,64.95,843,"1,298"
74,76,Todd Fischer,101,64.83,892,"1,376"
75,77,Jeff Sluman,101,64.81,910,"1,404"
76,78,Kevin Sutherland,100,64.52,862,"1,336"
77,79,Steve Jones,83,64.51,738,"1,144"
78,80,Chris DiMarco,83,64.34,702,"1,091"
79,81,John Rollins,93,64.22,815,"1,269"
80,82,J.L. Lewis,57,64.20,511,796
81,83,Peter Lonard,77,64.19,683,"1,064"
82,84,Jonathan Byrd,66,64.15,587,915
83,85,Mike Weir,88,64.10,759,"1,184"
84,86,Charles Warren,93,64.09,803,"1,253"
85,87,Joe Ogilvie,95,64.07,815,"1,272"
86,88,D.J. Trahan,92,64.04,803,"1,254"
87,90,Thomas Levet,53,64.01,457,714
87,90,Bob Estes,85,64.01,756,"1,181"
89,92,Justin Rose,98,64.00,848,"1,325"
90,94,Sean O'Hair,100,63.70,874,"1,372"
91,88,Lucas Glover,105,63.69,900,"1,413"
92,95,Eric Axley,91,63.68,789,"1,239"
93,96,Tim Petrovic,95,63.54,807,"1,270"
94,97,Ben Crane,85,63.51,710,"1,118"
95,98,Mathew Goggin,72,63.50,621,978
96,93,Dean Wilson,115,63.47,980,"1,544"
97,99,Vaughn Taylor,88,63.31,780,"1,232"
98,100,Rich Beem,85,63.24,733,"1,159"
98,100,Arjun Atwal,97,63.24,836,"1,322"
100,102,Nathan Green,108,63.10,915,"1,450"
101,103,Stephen Ames,63,62.98,546,867
102,104,Robert Damron,91,62.93,798,"1,268"
103,105,Will MacKenzie,91,62.91,770,"1,224"
104,108,Billy Andrade,78,62.84,646,"1,028"
105,109,Bubba Dickerson,98,62.81,841,"1,339"
106,110,Paul Azinger,87,62.65,760,"1,213"
107,113,Henrik Bjornstad,97,62.55,830,"1,327"
108,111,Arron Oberholser,82,62.53,691,"1,105"
109,114,Steve Lowery,99,62.52,844,"1,350"
110,115,Mathias Grönberg,92,62.51,777,"1,243"
111,116,Freddie Jacobson,56,62.45,489,783
112,117,Bernhard Langer,77,62.41,626,"1,003"
113,118,David Howell,52,62.38,393,630
114,119,D.A. Points,82,62.37,696,"1,116"
