RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,1,Tim Clark,75,31.833333333333332,"35,520.750","1,115",Under
2,2,Jim Furyk,84,32.0,"37,942.500","1,186",Under
3,3,Paul Casey,56,32.166666666666664,"25,254.583",786,Under
4,4,Nick Watney,80,32.25,"32,322.583","1,001",Under
5,5,Hideki Matsuyama,82,32.583333333333336,"37,265.750","1,145",Under
6,6,Bo Van Pelt,83,32.666666666666664,"39,251.750","1,201",Under
7,7,Russell Knox,92,32.75,"48,808.500","1,490",Under
8,8,Dustin Johnson,58,32.833333333333336,"24,055.583",733,Under
9,9,Chad Campbell,57,33.0,"27,186.417",823,Under
10,10,Graham DeLaet,80,33.083333333333336,"37,916.333","1,147",Under
11,11,Kevin Chappell,100,33.25,"51,740.333","1,556",Under
12,12,Tyrone Van Aswegen,79,33.333333333333336,"38,897.417","1,166",Over
12,12,Zach Johnson,97,33.333333333333336,"49,853.833","1,494",1 Under
14,14,David Toms,64,33.416666666666664,"32,462.667",971,Under
14,14,Brian Harman,111,33.416666666666664,"60,390.000","1,809",Under
16,16,Troy Merritt,62,33.666666666666664,"33,246.250",988,Over
16,16,Heath Slocum,71,33.666666666666664,"37,467.833","1,113",Under
18,18,Stewart Cink,91,33.833333333333336,"43,508.833","1,286",Under
18,18,Lucas Glover,68,33.833333333333336,"28,533.083",843,Over
20,20,Graeme McDowell,66,33.916666666666664,"27,932.417",823,Under
20,20,Ken Duke,80,33.916666666666664,"40,201.250","1,186",Under
22,30,Sergio Garcia,61,34.0,"24,354.167",717,Under
22,22,Ryan Moore,86,34.0,"37,871.500","1,113",Under
22,22,Brooks Koepka,56,34.0,"25,617.667",753,Under
25,24,Jason Bohn,81,34.166666666666664,"44,567.167","1,303",Over
25,24,"Ted Potter, Jr.",68,34.166666666666664,"36,723.833","1,074",Over
27,26,Kyle Stanley,87,34.25,"44,337.417","1,294",Over
27,26,Bryce Molder,77,34.25,"39,289.833","1,147",Over
27,26,Jeff Maggert,54,34.25,"26,956.750",787,Over
27,26,Charlie Beljan,76,34.25,"41,046.083","1,199",Over
31,30,John Peterson,62,34.333333333333336,"33,836.250",985,Over
31,35,Rory McIlroy,66,34.333333333333336,"29,391.667",856,1 Under
33,32,Billy Hurley III,86,34.416666666666664,"44,441.667","1,291",Under
33,32,Justin Hicks,103,34.416666666666664,"55,615.500","1,617",Under
35,34,Kevin Stadler,90,34.5,"40,188.833","1,164",Under
36,35,Marc Leishman,81,34.583333333333336,"42,648.167","1,234",Under
36,35,Charley Hoffman,93,34.583333333333336,"46,927.333","1,358",Under
36,35,Robert Allenby,83,34.583333333333336,"43,577.333","1,259",Under
39,39,Camilo Villegas,95,34.666666666666664,"52,159.083","1,505",Under
39,43,Justin Rose,70,34.666666666666664,"32,305.833",932,Under
41,40,Jerry Kelly,80,34.75,"40,947.167","1,179",Under
41,40,George McNeill,79,34.75,"43,474.333","1,251",Under
43,58,Bubba Watson,76,34.833333333333336,"34,949.667","1,004",Under
43,43,Scott Stallings,77,34.833333333333336,"39,307.667","1,129",Over
43,43,Jason Dufner,57,34.833333333333336,"26,115.583",750,Under
43,43,Chesson Hadley,84,34.833333333333336,"44,389.000","1,273",Over
47,49,Vijay Singh,83,34.916666666666664,"47,529.250","1,361",Under
48,40,Kevin Na,94,35.0,"49,019.417","1,399",Under
48,50,Robert Streb,75,35.0,"40,180.833","1,147",Under
48,50,Keegan Bradley,89,35.0,"41,903.583","1,197",Under
48,50,Ben Martin,80,35.0,"39,395.583","1,126",Under
52,54,Jim Herman,62,35.083333333333336,"30,096.167",857,Over
52,54,David Hearn,97,35.083333333333336,"51,689.667","1,474",Under
52,43,Matt Kuchar,91,35.083333333333336,"47,849.750","1,363",1 Under
52,54,Freddie Jacobson,91,35.083333333333336,"50,732.250","1,446",Under
52,54,K.J. Choi,80,35.083333333333336,"42,083.167","1,200",Under
57,68,Adam Scott,68,35.166666666666664,"35,309.917","1,004",1 Under
57,58,Boo Weekley,73,35.166666666666664,"35,300.500","1,003",Over
57,58,Nicholas Thompson,85,35.166666666666664,"44,086.833","1,255",Over
60,43,Jason Day,54,35.25,"20,786.000",589,Under
60,61,Jim Renner,61,35.25,"32,762.833",929,Over
60,61,Brad Fritsch,50,35.25,"24,606.667",698,Under
60,50,Brendon Todd,108,35.25,"57,449.167","1,631",Under
60,61,Harris English,95,35.25,"46,714.333","1,324",Under
60,61,Hudson Swafford,75,35.25,"36,437.583","1,034",Over
66,65,Scott Langley,95,35.333333333333336,"49,973.083","1,414",Under
66,65,Brian Stuard,91,35.333333333333336,"46,931.667","1,329",Under
66,65,Louis Oosthuizen,50,35.333333333333336,"18,945.667",536,Over
69,68,James Hahn,82,35.416666666666664,"46,232.833","1,306",Over
69,68,Ryo Ishikawa,75,35.416666666666664,"39,311.917","1,109",Under
69,68,Andrew Svoboda,77,35.416666666666664,"41,870.167","1,183",Under
69,68,Brendan Steele,89,35.416666666666664,"44,416.167","1,254",Under
69,68,Brandt Snedeker,89,35.416666666666664,"41,680.500","1,177",Under
69,68,Mark Wilson,69,35.416666666666664,"36,134.500","1,021",Over
75,75,John Merrick,87,35.5,"45,849.167","1,291",Over
75,75,Chris Kirk,105,35.5,"54,790.417","1,542",Under
77,77,Kevin Kisner,85,35.583333333333336,"44,543.083","1,251",Under
77,77,Seung-Yul Noh,92,35.583333333333336,"47,819.667","1,343",Under
77,77,Davis Love III,74,35.583333333333336,"40,099.000","1,126",Over
77,77,Retief Goosen,94,35.583333333333336,"49,766.833","1,398",Under
77,77,Stuart Appleby,92,35.583333333333336,"53,546.500","1,506",Under
77,77,Will Wilcox,51,35.583333333333336,"25,504.667",717,Under
83,83,Phil Mickelson,71,35.666666666666664,"31,611.583",887,Under
83,83,Ricky Barnes,92,35.666666666666664,"49,883.583","1,398",Under
83,83,Brendon de Jonge,109,35.666666666666664,"58,687.833","1,644",Under
83,83,Ben Crane,81,35.666666666666664,"49,887.083","1,400",Over
83,83,Shawn Stefani,60,35.666666666666664,"36,339.833","1,019",Under
88,88,Ángel Cabrera,69,35.75,"38,886.250","1,088",Under
88,88,Carl Pettersson,91,35.75,"54,326.583","1,518",Under
90,109,Rickie Fowler,91,35.833333333333336,"39,853.083","1,111",Under
90,90,Ryan Palmer,85,35.833333333333336,"42,848.250","1,195",Under
90,90,Robert Garrigus,80,35.833333333333336,"46,826.000","1,306",Under
90,90,John Huh,87,35.833333333333336,"45,020.667","1,255",Over
90,90,Luke Guthrie,85,35.833333333333336,"48,616.333","1,356",Under
90,90,Josh Teater,90,35.833333333333336,"48,073.583","1,342",Even
96,97,Scott Brown,100,35.916666666666664,"53,529.583","1,489",Under
96,97,Pat Perez,84,35.916666666666664,"48,334.750","1,347",Over
96,97,Briny Baird,50,35.916666666666664,"29,061.000",810,Over
96,90,Webb Simpson,87,35.916666666666664,"47,378.083","1,320",Under
96,90,Bill Haas,107,35.916666666666664,"52,812.250","1,472",Under
101,102,Kevin Streelman,79,36.0,"38,520.333","1,071",Under
101,102,Bud Cauley,56,36.0,"29,690.167",825,Under
103,97,Jordan Spieth,102,36.083333333333336,"51,004.333","1,415",Under
103,104,Tommy Gainey,73,36.083333333333336,"38,665.583","1,072",Over
103,104,Luke Donald,57,36.083333333333336,"28,357.750",785,Under
103,104,Danny Lee,84,36.083333333333336,"44,500.167","1,234",Under
103,104,Wes Roach,67,36.083333333333336,"32,352.417",897,Over
108,109,Michael Thompson,74,36.166666666666664,"38,817.417","1,074",Under
108,109,Martin Kaymer,65,36.166666666666664,"31,052.583",858,Under
108,115,John Senden,99,36.166666666666664,"52,502.500","1,452",Under
108,109,John Rollins,84,36.166666666666664,"43,475.000","1,201",Over
108,97,Cameron Tringale,111,36.166666666666664,"63,525.750","1,755",Under
108,109,David Lingmerth,80,36.166666666666664,"43,367.083","1,200",Over
114,115,Jason Kokrak,65,36.25,"39,556.667","1,092",Under
114,115,Matt Every,85,36.25,"42,153.417","1,163",Under
114,115,Woody Austin,63,36.25,"37,032.417","1,022",Over
114,115,Martin Flores,85,36.25,"43,988.250","1,214",Under
118,135,Billy Horschel,92,36.333333333333336,"44,699.000","1,229",Under
118,104,Patrick Reed,92,36.333333333333336,"48,179.083","1,326",Under
118,120,D.A. Points,75,36.333333333333336,"35,731.583",984,Over
121,121,Ian Poulter,57,36.416666666666664,"26,573.083",729,Over
121,121,Rory Sabbatini,82,36.416666666666664,"42,383.750","1,164",Over
121,121,Charles Howell III,106,36.416666666666664,"62,082.417","1,705",Under
121,121,Roberto Castro,76,36.416666666666664,"38,497.250","1,057",Over
121,121,Steven Bowditch,93,36.416666666666664,"50,714.333","1,393",Over
126,121,Morgan Hoffmann,103,36.5,"58,841.000","1,612",Under
126,127,Chris Stroud,88,36.5,"47,004.417","1,289",Under
126,127,Henrik Stenson,56,36.5,"24,786.083",679,Under
126,130,Jimmy Walker,98,36.5,"47,616.750","1,305",1 Under
130,130,Tim Wilkinson,86,36.583333333333336,"46,665.417","1,275",Even
130,130,Daniel Summerhays,98,36.583333333333336,"57,683.750","1,575",Under
130,130,Johnson Wagner,69,36.583333333333336,"37,795.333","1,033",Over
130,130,Hunter Mahan,88,36.583333333333336,"46,996.833","1,285",Under
134,135,Gonzalo Fernandez-Castaño,83,36.666666666666664,"45,066.917","1,228",Over
134,135,Will MacKenzie,82,36.666666666666664,"48,033.750","1,311",Under
134,135,Michael Putnam,106,36.666666666666664,"59,731.250","1,628",Under
134,135,Jonathan Byrd,76,36.666666666666664,"42,517.750","1,160",Over
134,135,J.J. Henry,91,36.666666666666664,"51,313.333","1,398",Over
134,135,Charlie Wi,72,36.666666666666664,"42,771.833","1,166",Over
140,127,Geoff Ogilvy,84,36.75,"47,998.417","1,305",Over
141,143,Brian Davis,93,36.833333333333336,"53,577.250","1,456",Under
141,143,Y.E. Yang,79,36.833333333333336,"40,153.583","1,091",Over
141,143,Jeff Overton,80,36.833333333333336,"43,531.000","1,181",Under
141,143,Jamie Lovemark,64,36.833333333333336,"30,849.750",838,Over
141,142,Gary Woodland,93,36.833333333333336,"48,161.500","1,307",Under
146,150,Russell Henley,92,36.916666666666664,"49,359.000","1,337",Under
146,147,Spencer Levin,59,36.916666666666664,"33,077.083",897,Over
146,147,Brian Gay,81,36.916666666666664,"41,631.750","1,128",Over
149,150,Troy Matteson,62,37.0,"32,515.083",878,Over
149,150,William McGirt,96,37.0,"55,548.833","1,503",Under
151,153,Martin Laird,66,37.083333333333336,"36,477.583",983,Under
151,153,Brice Garnett,92,37.083333333333336,"51,711.750","1,394",Under
153,155,Justin Leonard,75,37.166666666666664,"41,328.833","1,111",Over
153,155,Erik Compton,88,37.166666666666664,"49,975.167","1,344",Over
153,155,Sean O'Hair,77,37.166666666666664,"44,539.583","1,199",Over
156,158,Charl Schwartzel,64,37.333333333333336,"36,113.167",967,Under
156,158,Bronson La'Cassie,51,37.333333333333336,"24,084.500",645,Over
