RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Ben Crane,85,.849,51.778,61
2,2,Stewart Cink,93,.789,57.589,73
3,3,Rod Pampling,89,.759,49.332,65
4,6,Jim Furyk,89,.743,50.539,68
5,4,Brad Faxon,78,.726,53.012,73
6,5,Richard Johnson,94,.725,61.593,85
7,7,Jesper Parnevik,84,.699,51.007,73
8,8,Dean Wilson,115,.661,61.488,93
9,11,Brett Quigley,109,.642,60.365,94
10,10,David Howell,52,.637,19.096,30
11,11,Steve Stricker,64,.614,31.920,52
12,13,Aaron Baddeley,78,.595,40.446,68
13,14,Daniel Chopra,110,.585,52.636,90
14,15,Nathan Green,108,.577,54.263,94
15,16,Len Mattiace,59,.556,28.890,52
16,18,Brian Gay,107,.548,54.848,100
17,19,Tom Pernice Jr.,108,.541,47.062,87
18,9,Luke Donald,66,.532,22.873,43
19,17,Geoff Ogilvy,76,.473,24.601,52
20,20,Stephen Ames,63,.462,20.307,44
21,21,Tiger Woods,55,.461,17.042,37
22,22,Michael Allen,84,.414,29.777,72
23,24,Mark O'Meara,52,.413,14.864,36
24,25,José María Olazábal,62,.375,14.640,39
25,27,Vaughn Taylor,88,.366,28.148,77
26,28,Vance Veazey,59,.364,19.654,54
27,29,Larry Mize,53,.363,14.872,41
28,26,Carl Pettersson,95,.361,27.089,75
29,30,Brent Geiberger,99,.360,32.401,90
30,31,Stephen Leaney,84,.347,26.747,77
31,22,David Toms,76,.338,20.968,62
32,32,Tag Ridings,103,.327,29.470,90
33,33,Freddie Jacobson,56,.319,17.225,54
34,34,Paul Azinger,87,.315,25.184,80
35,35,Bernhard Langer,77,.300,17.698,59
36,36,Kent Jones,103,.299,26.333,88
37,37,Todd Fischer,101,.297,26.718,90
37,37,Ryan Moore,68,.297,17.240,58
39,42,Mark Wilson,79,.269,19.349,72
40,43,Phil Mickelson,74,.268,12.573,47
41,39,Davis Love III,85,.266,15.181,57
41,44,Greg Chalmers,71,.266,15.180,57
43,40,K.J. Choi,93,.255,20.157,79
44,45,Olin Browne,108,.248,21.314,86
45,46,David McKenzie,82,.246,16.942,69
46,50,Corey Pavin,74,.226,12.863,57
47,51,Jimmy Walker,60,.223,12.498,56
48,52,Jonathan Byrd,66,.221,11.924,54
49,53,Tim Clark,80,.220,12.758,58
49,49,Stuart Appleby,83,.220,14.101,64
