RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,1,Dustin Johnson,75,317.7,"45,109",142
2,2,Bubba Watson,71,315.2,"40,351",128
3,3,Jason Day,75,313.7,"45,166",144
4,4,Adam Scott,51,311.6,"27,425",88
5,5,J.B. Holmes,89,309.9,"47,731",154
6,6,Charlie Beljan,76,309.8,"41,516",134
7,7,Tony Finau,106,309.0,"64,897",210
8,8,Brooks Koepka,84,308.2,"49,312",160
9,9,Patrick Rodgers,57,307.7,"31,997",104
10,10,Keegan Bradley,87,306.1,"48,362",158
11,11,Jason Kokrak,88,305.6,"53,789",176
12,12,Gary Woodland,81,305.5,"39,709",130
13,13,Ryan Palmer,80,305.2,"43,955",144
14,14,Justin Rose,69,303.5,"37,636",124
15,15,Justin Thomas,106,303.2,"63,667",210
16,16,Brendan Steele,88,302.9,"50,277",166
17,17,Charles Howell III,105,302.7,"62,968",208
18,19,Steven Bowditch,103,302.1,"59,213",196
18,17,Daniel Berger,97,302.1,"58,001",192
20,21,Robert Garrigus,70,301.7,"39,218",130
21,20,Jimmy Walker,89,301.6,"48,854",162
22,22,Phil Mickelson,70,300.5,"42,068",140
22,22,Martin Laird,77,300.5,"45,672",152
24,24,Charl Schwartzel,67,300.4,"32,438",108
25,26,Lee Westwood,56,300.0,"26,404",88
25,26,Sergio Garcia,59,300.0,"28,802",96
27,28,Jhonattan Vegas,90,299.9,"48,585",162
28,30,Ángel Cabrera,53,299.7,"31,763",106
29,29,Charley Hoffman,97,298.9,"55,596",186
29,31,Hudson Swafford,97,298.9,"56,192",188
31,32,Louis Oosthuizen,68,298.8,"35,261",118
32,34,Graham DeLaet,65,298.7,"38,236",128
33,35,Carlos Ortiz,100,298.4,"54,309",182
33,32,Harris English,105,298.4,"60,286",202
35,36,Paul Casey,87,297.8,"46,450",156
36,40,Russell Henley,87,297.1,"46,941",158
36,38,Robert Streb,110,297.1,"65,357",220
38,42,Lucas Glover,79,296.9,"46,911",158
39,43,Martin Flores,95,296.8,"53,430",180
39,38,Rickie Fowler,76,296.8,"40,367",136
41,40,Scott Piercy,90,296.7,"53,410",180
42,44,Will Wilcox,58,296.6,"29,064",98
43,37,Henrik Stenson,63,296.4,"33,202",112
44,45,Shawn Stefani,94,296.3,"55,704",188
45,46,Morgan Hoffmann,85,296.1,"47,382",160
46,47,Matt Jones,89,296.0,"45,585",154
47,49,Andres Romero,69,295.3,"38,683",131
47,49,Sean O'Hair,86,295.3,"50,792",172
49,51,Alex Prugh,84,295.2,"46,642",158
50,52,James Hahn,94,295.1,"52,523",178
50,52,Hunter Mahan,88,295.1,"46,626",158
50,52,Derek Ernst,75,295.1,"41,308",140
53,55,Billy Horschel,99,295.0,"51,924",176
54,57,Jamie Donaldson,50,294.9,"25,363",86
55,58,Marc Leishman,74,294.8,"35,962",122
56,59,Davis Love III,51,294.7,"27,703",94
57,55,Hideki Matsuyama,95,294.5,"48,885",166
57,60,Andres Gonzales,90,294.5,"50,069",170
59,61,Max Homa,78,294.2,"42,957",146
60,62,Aaron Baddeley,76,294.1,"42,941",146
61,63,Nick Watney,91,294.0,"52,919",180
62,64,Jim Herman,88,293.8,"51,121",174
62,64,Greg Owen,58,293.8,"33,492",114
64,67,Geoff Ogilvy,50,293.7,"27,608",94
65,68,Stewart Cink,77,293.6,"42,869",146
65,68,Roger Sloan,56,293.6,"29,946",102
67,70,Kevin Chappell,86,293.5,"48,133",164
68,71,Sam Saunders,83,293.2,"47,492",162
69,64,Patrick Reed,103,292.9,"53,893",184
70,72,Seung-Yul Noh,65,292.7,"35,705",122
71,73,Retief Goosen,81,292.6,"42,725",146
72,74,J.J. Henry,94,292.3,"52,035",178
72,74,Nick Taylor,91,292.3,"53,198",182
74,76,Camilo Villegas,83,292.2,"48,512",166
74,76,Tom Hoge,83,292.2,"45,576",156
76,79,Boo Weekley,79,292.0,"43,223",148
77,80,Byron Smith,59,291.9,"31,521",108
78,81,Scott Stallings,60,291.8,"30,351",104
78,76,Jordan Spieth,91,291.8,"48,431",166
80,82,Ernie Els,57,291.7,"30,925",106
81,83,Carl Pettersson,106,291.6,"61,245",210
82,84,Bill Haas,89,290.7,"47,675",164
82,85,Johnson Wagner,68,290.7,"38,958",134
82,85,Chesson Hadley,101,290.7,"56,398",194
85,87,Vijay Singh,78,290.6,"44,760",154
86,88,Padraig Harrington,60,290.5,"34,857",120
87,90,Jason Gore,76,290.4,"41,522",143
88,91,Scott Pinckney,88,290.3,"50,510",174
89,92,John Senden,80,290.2,"38,303",132
90,93,Cameron Percy,72,290.0,"40,016",138
90,93,Rory Sabbatini,81,290.0,"44,074",152
92,88,Sangmoon Bae,98,289.8,"53,911",186
93,95,Kevin Streelman,95,289.5,"48,052",166
93,95,Oscar Fraustro,58,289.5,"30,691",106
93,95,Bo Van Pelt,81,289.5,"45,159",156
93,95,David Lingmerth,90,289.5,"49,223",170
97,99,Webb Simpson,81,289.4,"45,146",156
98,100,Michael Thompson,83,289.3,"46,280",160
98,100,Gonzalo Fernandez-Castaño,81,289.3,"43,974",152
100,103,Ryo Ishikawa,90,289.2,"48,578",168
101,105,Derek Fathauer,81,288.8,"43,903",152
101,105,Michael Putnam,87,288.8,"46,210",160
103,108,Blayne Barber,76,288.6,"42,718",148
104,100,Matt Kuchar,97,288.5,"53,658",186
105,110,Erik Compton,86,288.4,"49,020",170
105,105,Brandt Snedeker,98,288.4,"51,920",180
107,111,Steve Wheatcroft,87,288.3,"47,276",164
108,112,Scott Brown,97,288.2,"55,336",192
108,112,Adam Hadwin,95,288.2,"53,029",184
110,114,Ben Martin,93,288.1,"51,851",180
110,114,John Peterson,84,288.1,"48,402",168
112,116,Kyle Reifers,96,288.0,"52,407",182
113,117,Brian Harman,90,287.9,"51,255",178
114,109,Kevin Kisner,104,287.8,"59,862",208
115,118,Bill Lunde,50,287.7,"25,893",90
116,119,Jonas Blixt,78,287.6,"37,389",130
117,120,Jonathan Byrd,69,287.5,"34,782",121
118,121,Jonathan Randolph,72,287.2,"40,203",140
119,122,Andrew Svoboda,80,287.1,"44,207",154
119,122,Brice Garnett,81,287.1,"43,070",150
121,124,Jason Dufner,76,286.7,"36,692",128
121,124,Ian Poulter,68,286.7,"34,978",122
123,126,Matt Every,73,286.6,"35,534",124
124,127,Eric Axley,57,286.4,"30,932",108
125,128,Chez Reavie,56,286.3,"31,494",110
126,129,George McNeill,93,286.2,"53,225",186
127,130,Nicholas Thompson,90,286.0,"46,912",164
128,131,Chris Kirk,76,285.8,"39,439",138
129,132,Tyrone Van Aswegen,58,285.6,"30,277",106
130,133,Brendon de Jonge,106,285.3,"57,635",202
131,134,Chad Campbell,97,285.2,"55,327",194
131,134,Troy Merritt,91,285.2,"49,623",174
133,136,John Merrick,78,285.0,"41,606",146
134,137,Jeff Overton,94,284.8,"49,554",174
135,138,Pat Perez,96,284.6,"52,364",184
136,139,Russell Knox,96,284.4,"54,605",192
137,141,Daniel Summerhays,101,284.0,"57,365",202
138,142,Luke Guthrie,84,283.9,"43,727",154
139,143,Sung Joon Park,79,283.7,"43,126",152
139,143,Spencer Levin,99,283.7,"54,461",192
141,146,Jim Renner,68,283.3,"36,827",130
141,146,Ricky Barnes,82,283.3,"41,926",148
141,146,Alex Cejka,94,283.3,"52,119",184
144,149,Fabián Gómez,83,283.2,"46,448",164
145,145,Danny Lee,120,283.1,"65,103",230
146,150,Chris Stroud,84,283.0,"45,275",160
147,152,Robert Allenby,63,282.7,"30,534",108
148,151,Zach Johnson,90,282.6,"48,615",172
148,153,Ryan Moore,81,282.6,"39,568",140
150,154,Whee Kim,71,282.4,"38,976",138
151,155,Jim Furyk,71,281.9,"36,084",128
152,156,Cameron Tringale,96,281.8,"54,114",192
153,158,Francesco Molinari,56,281.6,"29,849",106
154,159,Greg Chalmers,58,281.5,"27,583",98
155,160,D.A. Points,72,280.8,"38,744",138
156,161,David Hearn,97,280.6,"54,445",194
157,162,Scott Langley,94,280.5,"51,323",183
158,163,William McGirt,103,280.4,"57,762",206
159,164,Kevin Na,98,280.1,"48,732",174
160,165,Roberto Castro,54,279.8,"25,185",90
160,165,John Huh,102,279.8,"56,527",202
162,167,Mark Wilson,89,279.2,"47,456",170
163,168,Tim Wilkinson,73,279.1,"36,840",132
164,169,Andrew Putnam,68,278.7,"35,114",126
165,170,Mark Hubbard,79,278.5,"42,325",152
166,171,Chad Collins,79,278.4,"43,438",156
167,172,Steven Alker,62,278.3,"33,396",120
168,173,Ken Duke,93,278.1,"48,946",176
169,174,Bryce Molder,91,277.9,"48,359",174
170,176,Jerry Kelly,79,277.2,"43,515",157
171,177,Jason Bohn,95,277.1,"52,655",190
172,178,Luke Donald,71,277.0,"37,123",134
173,179,Colt Knost,90,276.6,"47,030",170
174,180,Brian Stuard,97,276.5,"48,666",176
174,180,K.J. Choi,66,276.5,"32,070",116
176,182,Brendon Todd,96,276.4,"48,638",176
177,183,Heath Slocum,57,275.8,"26,480",96
178,184,Brian Davis,86,275.5,"42,983",156
179,185,Jon Curran,83,273.5,"43,209",158
180,186,Zac Blair,108,273.1,"56,528",207
181,187,Billy Hurley III,83,271.9,"40,778",150
182,188,Justin Leonard,61,271.6,"33,131",122
183,189,Ben Crane,62,271.0,"30,893",114
184,190,David Toms,62,270.0,"31,315",116
