RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,1,Tim Clark,84,30.75,"38,814.250","1,262",Under
2,1,Fred Funk,97,31.166666666666668,"45,852.667","1,472",Under
3,3,Justin Rose,77,31.833333333333332,"35,290.417","1,109",Under
4,3,David Toms,80,32.0,"32,929.250","1,030",Under
5,5,Scott Hoch,52,32.5,"26,032.333",801,Under
5,5,Heath Slocum,92,32.5,"48,005.083","1,478",Under
7,7,Tom Lehman,70,32.75,"33,626.083","1,026",Under
7,7,Joe Durant,85,32.75,"44,415.583","1,356",Under
9,9,Scott Verplank,92,33.083333333333336,"39,974.000","1,209",1 Under
10,10,Olin Browne,92,33.166666666666664,"46,687.250","1,409",Under
11,11,Jay Williamson,100,33.25,"53,589.750","1,611",Under
12,12,Bob Estes,73,33.333333333333336,"30,094.167",902,Under
13,13,John Cook,57,33.416666666666664,"28,739.667",861,Under
14,16,Stephen Ames,97,33.5,"47,760.417","1,424",1 Under
14,14,Justin Leonard,90,33.5,"38,414.917","1,148",Under
16,14,K.J. Choi,83,33.583333333333336,"37,550.333","1,118",Under
17,17,Omar Uresti,85,33.666666666666664,"45,276.250","1,346",Under
17,17,Jeff Sluman,98,33.666666666666664,"48,972.500","1,454",Under
17,17,Robert Gamez,103,33.666666666666664,"54,042.000","1,604",Under
20,20,Bart Bryant,73,33.75,"39,389.333","1,166",Under
20,20,Kirk Triplett,88,33.75,"39,043.167","1,157",Under
20,20,Duffy Waldorf,79,33.75,"35,411.833","1,050",Under
20,20,Brian Gay,96,33.75,"52,692.000","1,561",Under
24,26,Loren Roberts,81,33.833333333333336,"41,208.917","1,219",Under
24,26,Lee Janzen,84,33.833333333333336,"42,273.000","1,248",Under
26,20,Jay Haas,84,33.916666666666664,"36,834.500","1,087",Under
26,28,Tom Byrum,83,33.916666666666664,"43,842.000","1,294",Under
26,28,Joey Sindelar,100,33.916666666666664,"53,455.500","1,578",Under
29,31,Jeff Maggert,60,34.0,"30,366.667",894,Under
29,31,Hidemichi Tanaka,89,34.0,"47,347.083","1,392",Under
29,28,Vijay Singh,112,34.0,"53,186.500","1,566",2 Under
29,31,Vaughn Taylor,84,34.0,"46,280.750","1,361",Under
33,34,Jerry Kelly,113,34.083333333333336,"52,916.750","1,554",1 Under
34,36,Dudley Hart,60,34.166666666666664,"27,711.750",812,Under
34,34,Chad Campbell,100,34.166666666666664,"46,622.083","1,365",Under
36,38,Danny Briggs,85,34.25,"45,544.000","1,330",Under
36,38,Geoff Ogilvy,91,34.25,"45,504.917","1,328",Under
36,38,Briny Baird,100,34.25,"48,969.000","1,431",Under
39,41,Bernhard Langer,59,34.416666666666664,"25,971.250",754,Under
39,41,Craig Bowden,83,34.416666666666664,"45,648.750","1,326",Over
39,41,Robert Allenby,93,34.416666666666664,"43,985.333","1,278",Under
42,36,Kenny Perry,79,34.5,"37,903.833","1,099",Under
43,44,Mark Calcavecchia,79,34.583333333333336,"36,567.583","1,057",Under
43,52,Retief Goosen,56,34.583333333333336,"24,243.250",701,Under
43,44,David Branshaw,84,34.583333333333336,"44,228.083","1,280",Over
43,44,Ted Purdy,114,34.583333333333336,"62,783.917","1,817",Under
47,47,Mark Wilson,62,34.666666666666664,"35,356.667","1,020",Under
47,47,John Huston,62,34.666666666666664,"27,280.000",786,Under
49,49,Russ Cochran,61,34.75,"33,529.500",964,Under
49,49,J.L. Lewis,106,34.75,"54,207.000","1,561",Under
49,49,Nick Price,51,34.75,"22,435.417",645,Under
52,52,Frank Lickliter II,89,34.833333333333336,"47,703.000","1,368",Under
53,57,Sergio Garcia,65,34.916666666666664,"31,332.000",898,Under
54,57,Arron Oberholser,77,35.083333333333336,"38,337.000","1,092",Under
54,55,Zach Johnson,109,35.083333333333336,"55,540.583","1,583",Under
54,57,Cameron Beckman,99,35.083333333333336,"54,092.333","1,543",Under
54,61,Shigeki Maruyama,93,35.083333333333336,"47,919.250","1,365",Under
54,57,Bob Burns,88,35.083333333333336,"48,357.417","1,378",Over
59,63,Tiger Woods,78,35.166666666666664,"33,279.833",946,1 Under
60,63,Craig Barlow,80,35.25,"43,329.083","1,230",Under
60,56,Stewart Cink,103,35.25,"49,974.250","1,418",1 Under
60,63,Tommy Armour III,87,35.25,"47,276.500","1,342",Over
60,63,Billy Andrade,104,35.25,"57,309.417","1,624",Under
60,63,Steve Elkington,64,35.25,"35,034.333",993,Under
65,69,Woody Austin,94,35.333333333333336,"52,361.667","1,482",Under
65,52,Adam Scott,55,35.333333333333336,"24,761.750",701,Under
67,70,Kevin Na,100,35.416666666666664,"54,318.833","1,532",Under
67,70,John Rollins,90,35.416666666666664,"45,114.083","1,273",Under
67,78,Mike Weir,75,35.416666666666664,"34,393.583",971,Under
67,78,Ernie Els,62,35.416666666666664,"25,305.833",715,Under
71,61,Chris DiMarco,105,35.5,"48,743.917","1,372",Under
71,63,Phil Mickelson,83,35.5,"34,025.417",958,Under
71,72,Robert Damron,92,35.5,"52,716.417","1,486",Over
74,73,Todd Fischer,104,35.583333333333336,"57,944.250","1,630",Under
74,73,Rod Pampling,98,35.583333333333336,"48,985.583","1,378",Under
74,73,Dean Wilson,99,35.583333333333336,"57,322.917","1,611",Under
74,73,Neal Lancaster,106,35.583333333333336,"58,880.333","1,654",Under
74,73,Corey Pavin,83,35.583333333333336,"42,272.083","1,188",Under
79,78,David Peoples,82,35.666666666666664,"47,885.917","1,344",Under
79,78,John Riegger,53,35.666666666666664,"31,000.583",869,Under
79,78,José María Olazábal,56,35.666666666666664,"26,796.583",752,Under
79,78,Mark O'Meara,58,35.666666666666664,"26,186.000",734,Over
79,78,Kent Jones,99,35.666666666666664,"55,065.083","1,545",Under
79,78,Matt Gogel,86,35.666666666666664,"44,228.500","1,239",Under
79,91,Mark Hensby,97,35.666666666666664,"52,326.750","1,468",Under
86,86,Roland Thatcher,66,35.75,"38,316.583","1,071",Under
86,86,Carl Pettersson,100,35.75,"49,588.333","1,387",Under
86,86,J.P. Hayes,79,35.75,"40,644.167","1,137",Over
86,86,Stuart Appleby,84,35.75,"37,205.417","1,041",Under
86,86,Michael Allen,87,35.75,"48,649.667","1,362",Under
91,91,Luke Donald,72,35.833333333333336,"39,385.833","1,100",Under
92,93,Arjun Atwal,85,35.916666666666664,"47,403.667","1,320",Over
92,93,Joe Ogilvie,104,35.916666666666664,"53,673.333","1,495",Under
92,93,Tim Herron,84,35.916666666666664,"42,389.750","1,179",Under
92,93,Craig Perks,75,35.916666666666664,"40,485.583","1,128",Over
96,97,Stephen Leaney,84,36.0,"36,832.083","1,024",Over
96,97,Bob Tway,90,36.0,"41,858.333","1,162",Under
96,97,Billy Mayfair,109,36.0,"59,466.583","1,652",Over
96,97,Blaine McCallister,68,36.0,"38,790.250","1,078",Over
96,97,Jason Bohn,98,36.0,"56,070.250","1,557",Under
101,102,Pat Perez,102,36.083333333333336,"54,924.750","1,522",Under
101,102,Lucas Glover,95,36.083333333333336,"53,539.583","1,484",Under
101,102,Alex Cejka,76,36.083333333333336,"36,937.417","1,024",Under
101,102,David Frost,78,36.083333333333336,"47,532.417","1,316",Over
101,102,Carlos Franco,99,36.083333333333336,"57,731.000","1,600",Under
101,102,Pat Bates,99,36.083333333333336,"57,393.833","1,592",Under
101,102,Brian Bateman,84,36.083333333333336,"46,823.917","1,298",Under
108,110,José Coceres,68,36.166666666666664,"38,842.333","1,074",Under
108,110,Steve Stricker,81,36.166666666666664,"43,721.500","1,209",Under
108,110,Harrison Frazar,86,36.166666666666664,"45,677.167","1,264",Under
111,113,Shaun Micheel,93,36.25,"44,816.667","1,237",Under
111,113,Fred Couples,54,36.25,"27,892.417",769,Under
111,113,Skip Kendall,99,36.25,"51,127.667","1,409",Under
111,113,Brent Geiberger,94,36.25,"53,898.917","1,487",Under
111,113,Glen Day,101,36.25,"56,708.333","1,563",Under
116,118,Deane Pappas,72,36.333333333333336,"40,565.583","1,116",Under
116,118,Chris Riley,78,36.333333333333336,"34,178.250",940,Under
116,118,Scott Simpson,55,36.333333333333336,"33,079.583",911,Over
116,118,Patrick Sheehan,113,36.333333333333336,"64,766.250","1,783",Under
116,118,Bo Van Pelt,107,36.333333333333336,"52,811.667","1,454",Under
116,118,Ryan Palmer,103,36.333333333333336,"57,819.333","1,591",Under
122,124,Rich Barcelo,67,36.416666666666664,"37,943.833","1,042",Over
122,124,Peter Lonard,68,36.416666666666664,"35,254.500",968,Over
122,124,Andre Stolz,53,36.416666666666664,"30,779.667",846,Over
125,128,Tripp Isenhour,55,36.5,"30,799.833",843,Over
125,124,Steve Flesch,109,36.5,"52,786.583","1,447",Under
125,128,Brad Faxon,94,36.5,"45,412.167","1,243",Under
128,130,Steve Lowery,91,36.583333333333336,"48,114.000","1,316",Even
128,130,Tom Pernice Jr.,103,36.583333333333336,"55,845.417","1,527",Under
128,143,Rory Sabbatini,89,36.583333333333336,"47,936.000","1,310",Under
131,132,Kevin Muncrief,50,36.666666666666664,"29,357.750",801,Over
131,132,Daniel Chopra,108,36.666666666666664,"60,021.500","1,637",Under
131,132,Steve Allan,102,36.666666666666664,"57,264.167","1,562",Under
131,136,John Daly,79,36.666666666666664,"43,608.833","1,190",Under
131,132,Danny Ellis,81,36.666666666666664,"44,280.000","1,208",Under
136,136,Jason Dufner,79,36.75,"46,774.417","1,272",Under
137,138,Jonathan Byrd,85,36.833333333333336,"47,434.167","1,289",Under
137,138,Freddie Jacobson,83,36.833333333333336,"40,879.333","1,111",Under
137,138,Cliff Kresge,89,36.833333333333336,"48,724.500","1,323",Over
137,138,Kevin Sutherland,86,36.833333333333336,"43,627.750","1,184",Under
137,138,Spike McRoy,93,36.833333333333336,"50,305.083","1,366",Over
137,102,Todd Hamilton,92,36.833333333333336,"46,306.250","1,258",Under
