RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS
1,1,Henrik Stenson,60,.960,42.239,44
2,2,Keegan Bradley,98,.888,71.055,80
3,3,Tiger Woods,68,.883,52.110,59
4,4,Justin Thomas,91,.844,57.413,68
5,5,Dustin Johnson,77,.829,51.411,62
6,13,Hideki Matsuyama,75,.727,41.422,57
7,7,Stewart Cink,87,.698,46.796,67
8,9,Adam Scott,78,.639,38.324,60
9,10,Chesson Hadley,103,.606,53.932,89
10,6,Francesco Molinari,73,.593,33.825,57
11,12,Paul Casey,74,.586,28.729,49
12,11,Bryson DeChambeau,93,.556,43.375,78
13,8,Phil Mickelson,90,.555,38.816,70
14,14,Scott Piercy,84,.553,37.586,68
15,15,Daniel Berger,81,.543,33.635,62
16,16,Ryan Moore,78,.532,35.095,66
17,25,Justin Rose,70,.526,27.861,53
18,17,Chris Kirk,108,.518,49.695,96
19,22,Patrick Cantlay,87,.509,34.121,67
20,19,Tony Finau,105,.500,40.540,81
21,20,Rickie Fowler,74,.494,30.130,61
22,23,Rafa Cabrera Bello,75,.487,23.381,48
23,21,Webb Simpson,95,.486,39.357,81
24,17,Gary Woodland,96,.484,33.882,70
25,24,Tyler Duncan,97,.476,38.546,81
26,26,Russell Henley,77,.467,27.063,58
27,27,Zach Johnson,94,.463,33.316,72
28,29,Byeong Hun An,86,.448,32.713,73
29,30,Chez Reavie,93,.437,26.242,60
30,31,Ian Poulter,73,.435,21.770,50
31,33,Kevin Streelman,94,.415,34.036,82
32,34,J.J. Spaun,85,.410,29.138,71
33,35,Jordan Spieth,81,.409,26.983,66
34,28,Tommy Fleetwood,73,.405,21.887,54
35,36,Sam Ryder,82,.399,27.957,70
36,38,Retief Goosen,60,.389,15.573,40
37,47,Patton Kizzire,92,.381,29.741,78
37,39,Joel Dahmen,93,.381,27.083,71
39,40,Andrew Putnam,97,.380,29.241,77
40,41,David Hearn,66,.379,18.931,50
41,42,Scott Stallings,96,.373,29.855,80
42,43,Bronson Burgoon,69,.371,21.162,57
43,44,Mackenzie Hughes,80,.353,24.002,68
44,50,Billy Horschel,86,.352,27.078,77
45,45,Cameron Tringale,67,.348,17.732,51
46,46,Emiliano Grillo,94,.345,25.179,73
47,48,J.J. Henry,81,.340,21.445,63
48,51,Robert Garrigus,80,.331,22.499,68
49,52,Vaughn Taylor,83,.305,21.361,70
50,53,Jimmy Walker,81,.304,20.096,66
51,57,Kyle Stanley,93,.298,19.936,67
52,55,Tom Hoge,101,.297,24.617,83
53,56,Kevin Chappell,77,.296,18.378,62
54,58,Corey Conners,97,.275,21.734,79
55,37,Kevin Na,91,.273,19.119,70
56,62,Rory McIlroy,64,.269,13.699,51
57,59,Cheng Tsung Pan,104,.267,21.897,82
58,60,Russell Knox,94,.263,19.462,74
59,61,Jason Kokrak,99,.257,22.629,88
60,63,Shane Lowry,64,.245,12.489,51
61,64,Brendan Steele,74,.243,13.103,54
62,65,John Huh,94,.240,19.685,82
63,66,Ryan Palmer,69,.236,14.144,60
64,66,Xander Schauffele,96,.235,16.938,72
65,32,Brooks Koepka,64,.232,12.527,54
66,68,Wesley Bryan,69,.222,11.305,51
67,69,Shawn Stefani,76,.220,13.227,60
68,70,Matt Kuchar,88,.216,14.072,65
68,70,Charley Hoffman,87,.216,14.694,68
70,72,Ryan Armour,109,.213,20.406,96
71,54,Marc Leishman,93,.211,15.436,73
72,73,Tyrrell Hatton,58,.202,8.503,42
73,74,Luke List,98,.194,15.147,78
74,49,Patrick Reed,94,.187,11.759,63
75,75,Jim Furyk,50,.179,8.247,46
76,76,Branden Grace,67,.174,7.675,44
77,77,Adam Hadwin,92,.166,10.930,66
78,78,Charles Howell III,104,.163,12.698,78
79,79,J.B. Holmes,77,.159,10.837,68
80,80,Nick Watney,94,.141,11.282,80
81,81,Ben Martin,64,.119,6.764,57
82,82,Aaron Baddeley,84,.117,8.159,70
83,83,Alex Noren,67,.107,5.261,49
84,84,Brian Stuard,103,.099,8.749,88
85,85,Robert Streb,78,.096,5.737,60
86,87,William McGirt,84,.091,6.797,75
87,88,Ollie Schniederjans,91,.090,6.895,77
88,89,Troy Merritt,89,.086,6.258,73
89,90,James Hahn,85,.081,5.560,69
90,91,Brett Stegmaier,67,.078,3.677,47
90,91,Johnson Wagner,75,.078,4.304,55
92,93,Talor Gooch,78,.075,4.657,62
93,94,Abraham Ancer,98,.074,6.118,83
94,95,Zac Blair,64,.072,3.295,46
95,97,Ricky Barnes,65,.059,2.671,45
96,96,Jon Rahm,71,.047,2.379,51
97,98,Graeme McDowell,67,.046,2.133,46
98,99,Jonathan Byrd,70,.043,2.088,48
99,100,Cameron Percy,56,.039,1.607,41
100,101,Kyle Thompson,50,.036,1.303,36
100,101,Brian Gay,103,.036,3.339,92
100,101,Nate Lashley,51,.036,1.276,35
103,130,Cameron Smith,85,.034,2.061,61
104,105,Kevin Tway,110,.032,2.855,90
105,106,Whee Kim,93,.030,2.213,73
106,107,Rob Oppenheim,74,.026,1.378,54
107,108,Martin Laird,73,.024,1.487,61
108,109,Kelly Kraft,94,.017,1.261,74
109,104,Aaron Wise,90,.012,.981,80
110,110,Nick Taylor,94,.011,.818,74
111,86,Bubba Watson,90,.005,.343,68
112,111,Brandon Harkins,101,-.006,-.518,85
113,112,Tyrone Van Aswegen,101,-.008,-.652,83
113,112,Conrad Shindler,60,-.008,-.368,44
115,114,Jason Dufner,71,-.009,-.478,52
116,115,Chad Campbell,87,-.010,-.693,67
117,116,Fabián Gómez,88,-.015,-1.079,71
118,117,Brian Harman,94,-.024,-1.735,72
118,117,Matt Every,79,-.024,-1.434,61
120,119,Brandt Snedeker,84,-.026,-1.906,74
121,120,Bud Cauley,55,-.032,-1.315,41
122,121,Ben Crane,65,-.038,-1.765,46
123,122,Jamie Lovemark,92,-.040,-3.151,78
123,122,Peter Uihlein,83,-.040,-2.611,65
125,124,Lanto Griffin,80,-.043,-2.570,60
125,124,Lucas Glover,65,-.043,-1.993,46
127,126,Austin Cook,107,-.045,-4.160,92
128,127,Blayne Barber,69,-.047,-2.801,60
129,128,Bill Haas,76,-.052,-3.429,66
130,129,Chris Stroud,81,-.056,-3.241,58
131,131,Steve Wheatcroft,60,-.065,-2.975,46
132,132,Sean O'Hair,67,-.073,-4.179,57
133,133,Ryan Blaum,81,-.074,-5.320,72
134,134,Harold Varner III,91,-.076,-5.629,74
135,135,Sam Saunders,80,-.081,-5.406,67
135,135,Jhonattan Vegas,92,-.081,-5.158,64
