RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,1,Joe Durant,87,28.916666666666668,"9,983.917",345,Under
2,2,John Huston,99,29.583333333333332,"12,042.250",407,Under
3,3,Fred Funk,106,30.0,"15,434.167",515,Under
4,5,Heath Slocum,96,30.166666666666668,"11,755.333",390,Under
5,4,David Toms,106,30.416666666666668,"14,279.083",469,Under
6,7,Tom Byrum,77,30.583333333333332,"10,779.667",352,Under
7,8,John Riegger,88,30.666666666666668,"13,179.000",430,Under
7,6,Jim Furyk,88,30.666666666666668,"10,336.250",337,Under
7,8,Brian Gay,117,30.666666666666668,"15,966.833",521,Under
7,8,J.P. Hayes,78,30.666666666666668,"9,651.000",315,Under
11,11,Tim Clark,76,31.0,"11,498.667",371,Under
12,14,Blaine McCallister,75,31.333333333333332,"10,624.333",339,Under
13,15,Boo Weekley,57,31.416666666666668,"8,460.500",269,Over
14,16,Chad Campbell,111,31.5,"15,831.417",503,Under
15,17,Paul Goydos,66,31.583333333333332,"10,173.333",322,Under
15,17,Tommy Armour III,82,31.583333333333332,"10,688.750",338,Under
17,19,Tom Lehman,78,31.75,"7,526.500",237,Under
18,21,Lee Janzen,101,31.833333333333332,"12,339.000",388,Under
18,21,Mark Brooks,97,31.833333333333332,"12,843.833",404,Under
18,21,Dan Forsman,83,31.833333333333332,"12,656.583",398,Under
18,21,Kirk Triplett,84,31.833333333333332,"9,867.667",310,Under
18,21,Stewart Cink,92,31.833333333333332,"11,424.750",359,Under
23,26,Hidemichi Tanaka,104,31.916666666666668,"14,237.583",446,Under
24,12,Bob Estes,93,32.0,"12,705.250",397,Under
24,27,Jay Williamson,91,32.0,"14,171.500",443,Under
26,13,K.J. Choi,93,32.083333333333336,"12,773.917",398,Under
27,29,Tom Scherrer,98,32.166666666666664,"14,252.167",443,Under
27,29,Joel Edwards,101,32.166666666666664,"15,855.417",493,Under
29,31,J.J. Henry,112,32.25,"16,097.500",499,Under
29,31,Jeff Brehaut,87,32.25,"14,466.333",449,Under
29,31,Nick Price,69,32.25,"9,328.833",289,Under
32,34,Tim Petrovic,92,32.333333333333336,"12,707.583",393,Under
32,34,Matt Gogel,79,32.333333333333336,"10,832.917",335,Over
32,34,Ian Leggatt,97,32.333333333333336,"13,705.583",424,Under
35,27,Vijay Singh,102,32.416666666666664,"14,248.500",440,Under
35,37,Stuart Appleby,97,32.416666666666664,"12,855.417",397,Under
35,37,Jeff Maggert,83,32.416666666666664,"10,599.750",327,Under
38,39,Scott Verplank,93,32.5,"11,415.333",351,Under
38,39,Robert Gamez,69,32.5,"11,331.000",349,Under
40,42,Joey Sindelar,104,32.583333333333336,"15,921.333",489,Under
41,19,Rocco Mediate,79,32.666666666666664,"10,344.250",317,Under
41,43,Michael Muehr,73,32.666666666666664,"8,921.667",273,Over
41,43,"David Berganio, Jr.",80,32.666666666666664,"12,694.250",389,Under
44,46,Jeff Gove,89,32.75,"14,981.917",457,Under
45,47,Matt Peterson,80,32.833333333333336,"13,742.167",419,Over
45,47,Mark O'Meara,68,32.833333333333336,"7,286.333",222,Under
