RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,1,Heath Slocum,89,31.916666666666668,"42,282.667","1,324",Under
2,2,Paul Goydos,81,32.0,"42,511.000","1,328",Over
3,3,Chad Campbell,99,32.166666666666664,"50,161.167","1,561",Under
4,4,Joe Durant,71,32.25,"36,973.250","1,145",Over
5,7,Shane Bertsch,62,32.583333333333336,"30,389.583",932,Under
5,6,David Toms,78,32.583333333333336,"34,498.167","1,058",1 Under
7,7,Jason Dufner,78,32.666666666666664,"37,991.583","1,162",Under
7,5,Brian Gay,90,32.666666666666664,"43,322.500","1,327",Under
9,9,Luke Donald,73,32.833333333333336,"30,569.250",930,1 Under
10,12,Jim Furyk,87,33.083333333333336,"41,573.417","1,256",Under
10,12,Alex Cejka,59,33.083333333333336,"27,633.750",835,Even
10,10,Brandt Jobe,100,33.083333333333336,"47,948.750","1,448",Under
13,10,Woody Austin,59,33.166666666666664,"29,834.750",900,Under
13,15,Chris Kirk,87,33.166666666666664,"45,713.167","1,378",Under
15,12,Davis Love III,70,33.25,"30,904.583",929,Under
16,17,Kris Blanks,92,33.416666666666664,"49,720.500","1,488",Under
17,19,Jason Bohn,74,33.5,"40,126.917","1,199",Under
18,19,Chez Reavie,92,33.583333333333336,"49,375.167","1,471",Under
18,16,Kevin Stadler,88,33.583333333333336,"43,834.583","1,304",Under
20,19,David Hearn,88,33.666666666666664,"45,861.667","1,362",Under
20,17,Stephen Ames,69,33.666666666666664,"36,105.917","1,073",Under
22,22,Steve Stricker,70,33.75,"32,146.417",953,1 Under
23,23,Zach Johnson,79,33.833333333333336,"38,921.583","1,149",Under
24,25,Ian Poulter,52,33.916666666666664,"23,784.583",702,Under
24,29,Brian Davis,105,33.916666666666664,"55,915.250","1,649",Under
24,25,David Mathis,83,33.916666666666664,"42,379.000","1,251",Under
24,29,Webb Simpson,98,33.916666666666664,"50,540.000","1,490",1 Under
24,25,Scott Stallings,84,33.916666666666664,"41,999.500","1,238",Under
29,29,Rickie Fowler,84,34.0,"40,068.833","1,178",Under
29,29,Matt Kuchar,94,34.0,"43,215.667","1,271",1 Under
29,23,Briny Baird,60,34.0,"29,821.167",878,Under
29,25,Chris DiMarco,93,34.0,"50,064.333","1,471",Under
33,33,Vijay Singh,79,34.083333333333336,"44,012.333","1,290",Under
33,34,John Rollins,85,34.083333333333336,"43,781.917","1,285",Under
35,36,Y.E. Yang,63,34.25,"25,623.083",748,Under
35,36,K.J. Choi,77,34.25,"35,616.417","1,041",Under
35,36,Chris Stroud,88,34.25,"47,786.333","1,396",Under
38,42,Andres Gonzales,60,34.333333333333336,"28,217.667",821,Over
38,34,Alex Prugh,82,34.333333333333336,"43,474.417","1,267",Over
38,39,Brendon de Jonge,105,34.333333333333336,"56,423.667","1,643",Under
38,39,Nick O'Hern,89,34.333333333333336,"46,777.167","1,362",Under
38,39,Geoff Ogilvy,69,34.333333333333336,"33,224.750",968,Under
43,42,Vaughn Taylor,89,34.416666666666664,"51,088.000","1,484",Under
43,42,Brandt Snedeker,85,34.416666666666664,"41,271.250","1,200",Under
45,47,Lucas Glover,74,34.5,"37,619.667","1,091",Under
45,47,Mark Wilson,89,34.5,"43,198.333","1,253",Under
45,47,Tom Gillis,55,34.5,"30,779.583",893,Over
45,47,Dean Wilson,62,34.5,"35,184.917","1,020",Over
45,47,Pat Perez,76,34.5,"43,327.417","1,255",Under
45,47,Tommy Gainey,104,34.5,"56,252.417","1,632",Under
45,47,Spencer Levin,113,34.5,"58,211.417","1,686",Under
45,47,Brendan Steele,89,34.5,"47,514.250","1,378",Under
53,59,Aron Price,58,34.583333333333336,"30,494.083",882,Under
53,,Retief Goosen,50,34.583333333333336,"24,727.500",715,Under
53,56,Stewart Cink,72,34.583333333333336,"32,130.083",929,Under
53,47,Ben Curtis,66,34.583333333333336,"38,447.167","1,113",Under
57,59,Justin Leonard,82,34.666666666666664,"45,962.750","1,325",Over
57,59,Ernie Els,71,34.666666666666664,"36,753.583","1,059",Under
57,59,Ricky Barnes,78,34.666666666666664,"39,766.250","1,148",Under
57,56,Boo Weekley,66,34.666666666666664,"35,419.000","1,021",Under
57,42,Kevin Chappell,78,34.666666666666664,"37,650.333","1,086",Over
62,64,Dustin Johnson,72,34.75,"33,289.417",959,Under
62,64,Kyle Stanley,98,34.75,"49,674.917","1,429",Under
62,64,Carl Pettersson,95,34.75,"56,063.583","1,613",Under
65,68,D.J. Trahan,91,34.833333333333336,"51,743.417","1,487",Under
65,68,Bryce Molder,82,34.833333333333336,"44,265.333","1,271",Under
65,68,Graeme McDowell,50,34.833333333333336,"22,982.000",659,Under
68,68,Marc Turnesa,54,34.916666666666664,"28,808.667",825,Over
68,68,Robert Garrigus,83,34.916666666666664,"42,921.250","1,229",Under
68,74,Michael Thompson,79,34.916666666666664,"43,207.250","1,236",Under
71,64,George McNeill,69,35.0,"36,425.333","1,041",Under
71,78,Michael Connell,76,35.0,"45,078.333","1,289",Over
71,68,Kevin Streelman,90,35.0,"44,603.917","1,274",Under
71,76,Nick Watney,80,35.0,"38,910.667","1,113",1 Under
71,59,Michael Bradley,74,35.0,"36,971.667","1,056",Under
71,76,Jerry Kelly,85,35.0,"42,566.083","1,217",Under
71,74,Chris Riley,76,35.0,"42,620.000","1,219",Under
78,78,Matt McQuillan,59,35.083333333333336,"30,291.833",863,Under
78,92,Sung Kang,63,35.083333333333336,"32,156.167",916,Over
80,80,Phil Mickelson,79,35.166666666666664,"36,467.750","1,037",Under
80,80,Billy Mayfair,94,35.166666666666664,"53,645.750","1,525",Under
80,80,Troy Matteson,91,35.166666666666664,"50,953.250","1,449",Under
83,85,Kent Jones,76,35.25,"42,362.917","1,201",Over
83,83,Rory Sabbatini,85,35.25,"38,607.917","1,095",Under
83,83,Harrison Frazar,58,35.25,"26,394.667",749,Over
86,92,Justin Hicks,60,35.333333333333336,"27,660.667",783,Over
86,85,Lee Janzen,62,35.333333333333336,"31,692.750",898,Over
86,87,John Merrick,71,35.333333333333336,"38,024.667","1,076",Under
89,87,Cameron Beckman,71,35.416666666666664,"40,635.833","1,147",Over
89,87,Ben Crane,76,35.416666666666664,"39,385.417","1,111",Under
89,92,John Senden,94,35.416666666666664,"51,336.667","1,449",Under
92,87,Bill Lunde,92,35.5,"49,044.917","1,382",Under
92,92,Justin Rose,79,35.5,"40,112.000","1,129",Under
92,92,Jim Herman,69,35.5,"36,260.250","1,021",Under
92,92,Gary Woodland,93,35.5,"44,488.167","1,253",Under
92,108,Jim Renner,65,35.5,"33,598.833",946,Under
97,99,Keegan Bradley,91,35.583333333333336,"48,920.333","1,375",Under
97,99,Bo Van Pelt,92,35.583333333333336,"45,320.750","1,273",Under
97,99,Sean O'Hair,71,35.583333333333336,"38,309.083","1,077",Over
97,99,Robert Allenby,84,35.583333333333336,"44,742.500","1,257",Under
97,108,J.P. Hayes,56,35.583333333333336,"30,533.167",858,Over
97,87,Scott Piercy,78,35.583333333333336,"40,058.833","1,126",Under
97,99,Ryan Moore,79,35.583333333333336,"38,348.333","1,077",Under
104,104,Chris Couch,73,35.666666666666664,"43,251.833","1,213",Under
104,92,David Duval,67,35.666666666666664,"37,055.583","1,040",Over
104,104,Sergio Garcia,61,35.666666666666664,"28,769.833",806,Under
107,108,Adam Scott,60,35.75,"28,737.417",804,Under
107,108,Jonathan Byrd,83,35.75,"46,180.417","1,291",Under
107,108,Charley Hoffman,93,35.75,"47,173.250","1,318",Under
107,108,Freddie Jacobson,92,35.75,"44,827.000","1,254",Under
107,108,Camilo Villegas,69,35.75,"36,526.833","1,021",Under
