RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,Tiger Woods,55,74.15,694,936,-0.34
2,2,Jeff Gove,91,72.03,"1,128","1,566",-0.22
3,3,John Senden,96,71.15,"1,191","1,674",-0.25
4,4,Jim Furyk,89,70.71,"1,120","1,584",-0.29
5,5,Briny Baird,81,70.20,973,"1,386",-0.26
6,6,Joe Durant,101,69.75,"1,268","1,818",-0.26
7,7,David Branshaw,98,69.67,"1,229","1,764",-0.24
8,8,Steve Elkington,52,69.61,639,918,-0.21
8,8,Jonathan Byrd,66,69.61,827,"1,188",-0.30
10,10,Chris Smith,67,69.32,836,"1,206",-0.23
11,11,Arron Oberholser,82,69.27,985,"1,422",-0.26
12,12,Adam Scott,70,69.12,846,"1,224",-0.28
13,13,Bob May,65,69.09,771,"1,116",-0.25
14,14,Trevor Immelman,86,69.06,"1,069","1,548",-0.28
15,15,Kenny Perry,73,68.75,891,"1,296",-0.22
16,16,Bart Bryant,87,68.67,"1,063","1,548",-0.22
17,17,Joey Sindelar,90,68.64,"1,112","1,620",-0.23
18,18,Greg Owen,79,68.54,950,"1,386",-0.25
19,20,Jonathan Kaye,95,68.42,"1,133","1,656",-0.21
20,21,Kevin Sutherland,100,68.29,"1,180","1,728",-0.25
21,22,Phil Mickelson,74,68.28,848,"1,242",-0.34
22,24,J.J. Henry,96,68.16,"1,141","1,674",-0.26
23,19,K.J. Choi,93,68.12,"1,128","1,656",-0.25
24,26,Steve Stricker,64,68.01,759,"1,116",-0.30
25,27,Will MacKenzie,91,67.99,"1,077","1,584",-0.25
26,28,Frank Lickliter II,99,67.98,"1,187","1,746",-0.27
26,28,Mark Wilson,79,67.98,930,"1,368",-0.27
28,30,Charles Warren,93,67.96,"1,101","1,620",-0.25
29,31,Justin Rose,98,67.89,"1,161","1,710",-0.29
29,31,Robert Allenby,79,67.89,941,"1,386",-0.30
31,37,Vijay Singh,103,67.83,"1,221","1,800",-0.29
31,23,Brett Quigley,109,67.83,"1,282","1,890",-0.26
33,25,Brett Wetterich,82,67.82,"1,001","1,476",-0.30
34,33,Heath Slocum,96,67.80,"1,135","1,674",-0.25
35,34,Alex Cejka,93,67.70,"1,109","1,638",-0.26
36,36,Shaun Micheel,96,67.62,"1,132","1,674",-0.26
37,38,Sergio Garcia,59,67.47,668,990,-0.26
38,35,Chad Campbell,91,67.43,"1,056","1,566",-0.25
