RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,1,Hank Kuehne,91,314.4,"55,959",178
2,2,Scott Hend,81,312.6,"49,389",158
3,3,John Daly,79,306.0,"48,347",158
4,4,Mike Heinen,53,305.2,"32,351",106
5,5,Chris Smith,105,304.0,"63,533",209
6,6,Lucas Glover,95,303.4,"55,212",182
7,7,Geoff Ogilvy,91,303.3,"52,776",174
8,8,Chris Couch,55,302.1,"33,230",110
9,9,Tiger Woods,78,301.9,"43,476",144
10,10,J.J. Henry,103,301.3,"61,762",205
11,11,Steve Allan,102,301.2,"59,631",198
12,13,Tag Ridings,53,301.0,"30,103",100
13,12,Vijay Singh,112,300.8,"66,184",220
14,14,Davis Love III,85,300.1,"45,012",150
14,14,Dennis Paulson,71,300.1,"42,613",142
16,16,Kris Cox,73,299.1,"42,475",142
17,17,Brenden Pappas,111,298.9,"64,570",216
18,18,Harrison Frazar,86,298.8,"48,995",164
19,19,Ernie Els,62,298.0,"34,569",116
20,20,Andre Stolz,53,297.9,"31,574",106
21,21,Roger Tambellini,81,297.8,"46,450",156
22,22,Rich Beem,81,296.7,"45,696",154
23,23,John Senden,99,296.6,"56,950",192
24,24,Tom Carter,113,296.5,"65,234",220
25,27,Dan Olsen,75,296.0,"43,213",146
26,25,Kenny Perry,79,295.9,"44,979",152
26,28,Daniel Chopra,108,295.9,"62,721",212
28,29,Jonathan Byrd,85,295.8,"49,102",166
29,31,Ryan Palmer,103,295.6,"59,125",200
30,25,Adam Scott,55,295.4,"30,723",104
30,30,Phil Mickelson,83,295.4,"46,670",158
32,32,Deane Pappas,72,295.3,"41,344",140
33,33,Sergio Garcia,65,295.1,"37,778",128
34,34,Robert Allenby,93,294.9,"51,894",176
35,35,Fred Couples,54,294.5,"30,628",104
36,37,Bo Van Pelt,107,294.4,"61,243",208
37,38,Brett Quigley,102,294.3,"57,675",196
38,35,Retief Goosen,56,294.2,"32,364",110
39,39,Scott McCarron,88,294.1,"50,581",172
40,40,Tim Herron,84,293.8,"48,775",166
41,42,Jason Bohn,98,293.3,"55,725",190
42,41,Stuart Appleby,84,293.2,"45,741",156
43,43,Rich Barcelo,67,293.1,"38,105",130
43,43,Roland Thatcher,66,293.1,"38,683",132
45,45,Hunter Mahan,94,293.0,"55,091",188
46,46,Vaughn Taylor,84,292.5,"47,975",164
47,47,Brian Kortan,65,292.4,"36,253",124
48,49,Rory Sabbatini,89,292.2,"50,252",172
48,48,Brian Bateman,84,292.2,"46,744",160
50,49,Mathias Grönberg,91,292.1,"50,833",174
50,49,Rod Pampling,98,292.1,"54,918",188
52,52,Neal Lancaster,106,291.6,"59,773",205
53,53,Joey Sindelar,100,291.5,"57,125",196
54,54,Peter Lonard,68,291.4,"38,461",132
54,54,Pat Perez,102,291.4,"58,278",200
