RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Ben Crane,78,.939,61.044,65
2,2,Brad Faxon,75,.799,46.343,58
3,3,Len Mattiace,86,.787,59.826,76
4,4,Bob Tway,87,.736,48.582,66
5,8,Tiger Woods,76,.659,36.252,55
6,5,Arjun Atwal,65,.657,40.064,61
7,6,José María Olazábal,55,.653,26.764,41
8,7,Steve Stricker,62,.643,37.922,59
9,9,Brian Gay,101,.584,54.334,93
10,10,Aaron Baddeley,84,.575,43.735,76
10,10,Richard Johnson,50,.575,26.428,46
12,12,Stewart Cink,98,.545,38.674,71
13,13,Loren Roberts,54,.540,25.928,48
14,14,Mark O'Meara,66,.470,24.444,52
15,16,Brenden Pappas,51,.450,22.064,49
15,15,Tim Herron,100,.450,35.127,78
17,18,Brent Geiberger,61,.449,23.369,52
18,19,Dean Wilson,86,.442,35.338,80
19,20,Phillip Price,77,.439,28.111,64
20,21,Stephen Ames,82,.426,26.001,61
21,22,Dudley Hart,84,.406,29.603,73
22,23,Kirk Triplett,55,.397,17.469,44
23,24,Jesper Parnevik,84,.386,26.252,68
24,25,Matt Gogel,78,.384,26.085,68
25,27,Corey Pavin,77,.380,23.156,61
26,28,Matt Kuchar,60,.367,20.572,56
27,16,Luke Donald,67,.362,14.491,40
28,29,Tag Ridings,93,.360,30.270,84
29,30,Charlie Wi,67,.359,21.888,61
30,26,Olin Browne,99,.354,29.777,84
31,32,Patrick Sheehan,114,.348,33.771,97
32,31,Jim Furyk,94,.347,24.957,72
33,33,Freddie Jacobson,72,.344,19.277,56
34,34,Zach Johnson,96,.330,27.422,83
35,35,Kent Jones,99,.329,28.921,88
35,35,Brett Quigley,96,.329,28.006,85
37,37,Larry Mize,54,.328,15.097,46
37,37,Bob Heintz,67,.328,20.314,62
39,40,Gavin Coles,70,.317,20.307,64
40,41,Tom Pernice Jr.,111,.308,27.414,89
41,47,David Toms,87,.305,19.493,64
42,48,Bart Bryant,91,.298,22.910,77
42,42,Billy Andrade,83,.298,22.017,74
44,39,Charles Howell III,95,.283,20.398,72
45,43,Rory Sabbatini,81,.270,16.200,60
46,44,Phil Mickelson,81,.264,13.183,50
47,45,Shigeki Maruyama,99,.261,22.218,85
48,46,Tjaart van der Walt,56,.256,13.810,54
49,49,Steve Elkington,67,.251,13.799,55
49,49,Kevin Sutherland,89,.251,18.556,74
51,51,Scott McCarron,78,.247,15.089,61
52,52,J.P. Hayes,63,.229,12.160,53
53,66,Chris DiMarco,83,.225,13.245,59
54,54,Dan Forsman,52,.205,9.625,47
55,56,Bo Van Pelt,112,.196,18.258,93
56,80,Davis Love III,80,.195,11.137,57
56,57,Todd Fischer,99,.195,17.145,88
58,58,James Driscoll,73,.193,12.147,63
59,,Padraig Harrington,50,.187,7.662,41
60,59,K.J. Choi,78,.183,9.863,54
61,60,J.L. Lewis,98,.179,14.712,82
62,61,Daniel Chopra,108,.176,16.336,93
63,62,Joe Ogilvie,103,.174,13.769,79
64,63,Jason Allred,75,.170,10.883,64
65,64,Bob Estes,92,.169,13.483,80
66,65,Darron Stiles,78,.167,11.667,70
67,55,Chad Campbell,95,.165,12.538,76
68,67,Mario Tiziani,67,.161,9.792,61
69,68,Vijay Singh,111,.159,14.030,88
70,69,Hunter Mahan,103,.153,14.216,93
71,70,Nick Watney,91,.151,12.104,80
71,70,Tom Byrum,83,.151,11.482,76
73,53,Brandt Jobe,96,.150,12.339,82
74,72,Arron Oberholser,65,.149,7.583,51
74,72,Ryan Palmer,101,.149,12.042,81
76,74,Shaun Micheel,81,.146,9.344,64
77,75,Bernhard Langer,67,.145,6.662,46
78,76,Michael Allen,90,.138,10.614,77
79,77,Hunter Haas,83,.137,9.980,73
80,78,Mark Wilson,74,.136,8.724,64
81,79,Rod Pampling,89,.134,9.404,70
82,80,Sean O'Hair,103,.133,11.408,86
83,82,Paul Azinger,66,.126,7.445,59
84,83,Geoff Ogilvy,97,.124,9.332,75
85,84,Fred Funk,102,.120,9.858,82
86,86,Ian Poulter,62,.095,3.404,36
87,123,Retief Goosen,71,.088,3.804,43
88,87,Robert Gamez,91,.086,6.977,81
89,88,Hank Kuehne,84,.077,5.773,75
90,89,Briny Baird,98,.068,6.047,89
91,90,Kevin Na,88,.063,5.031,80
92,91,Rob Rashell,65,.056,3.068,55
93,93,Carl Pettersson,109,.055,5.173,94
94,94,Scott Gutschewski,86,.044,3.181,72
95,95,Glen Day,80,.039,2.864,74
95,95,John Cook,72,.039,2.309,59
97,97,Duffy Waldorf,86,.029,2.041,71
98,98,Jason Bohn,91,.027,2.220,82
99,85,Adam Scott,72,.016,.847,52
100,99,Steve Flesch,90,.015,.940,64
101,100,Steve Lowery,100,.013,1.145,87
102,101,Jeff Sluman,94,.009,.742,85
103,102,Todd Hamilton,94,.004,.265,75
104,104,Jeff Brehaut,71,-.004,-.256,63
105,105,Jerry Kelly,101,-.008,-.578,76
106,103,Mark Calcavecchia,92,-.012,-.956,77
107,91,Justin Leonard,78,-.016,-.903,55
108,106,Stephen Leaney,89,-.019,-1.436,76
109,107,Lee Janzen,75,-.023,-1.388,60
110,108,Hidemichi Tanaka,106,-.028,-2.657,95
111,109,Jay Haas,54,-.042,-1.629,39
112,111,John Senden,101,-.046,-4.182,91
112,111,Pat Perez,89,-.046,-3.380,74
114,113,Joey Snyder III,102,-.047,-4.359,92
115,115,Cameron Beckman,96,-.052,-4.432,85
116,116,John Elliott,58,-.054,-2.822,52
117,117,Jonathan Byrd,103,-.056,-5.291,94
118,119,Marco Dawson,82,-.060,-4.752,79
119,120,Matt Davidson,53,-.062,-3.103,50
120,121,Harrison Frazar,105,-.063,-5.937,94
121,122,Kevin Stadler,96,-.064,-5.353,83
122,127,Scott Verplank,87,-.067,-4.452,66
123,110,Stuart Appleby,84,-.072,-4.532,63
124,124,Tim Petrovic,97,-.075,-6.032,80
125,125,Carlos Franco,78,-.076,-5.096,67
126,126,Heath Slocum,103,-.077,-6.955,90
127,113,Billy Mayfair,114,-.080,-8.154,102
128,129,Brian Bateman,98,-.097,-8.378,86
129,130,Ben Curtis,65,-.101,-5.056,50
129,128,Lucas Glover,88,-.101,-7.945,79
131,131,Chris Anderson,66,-.106,-6.166,58
131,131,Skip Kendall,80,-.106,-7.514,71
133,133,John Rollins,97,-.126,-10.444,83
134,135,Jeff Maggert,79,-.133,-7.976,60
135,136,Franklin Langham,91,-.138,-10.596,77
136,137,Danny Briggs,70,-.146,-9.021,62
136,137,Charles Warren,89,-.146,-11.858,81
138,139,Neal Lancaster,95,-.158,-13.551,86
138,139,Jay Williamson,53,-.158,-7.440,47
140,141,Justin Bolli,65,-.161,-9.490,59
141,142,Jonathan Kaye,77,-.164,-10.482,64
141,142,Peter Lonard,85,-.164,-10.800,66
141,118,Kenny Perry,82,-.164,-9.834,60
144,144,Steve Allan,102,-.165,-14.674,89
145,146,Tom Gillis,77,-.170,-11.722,69
145,146,Bill Glasson,54,-.170,-7.479,44
147,148,Mike Weir,71,-.171,-8.036,47
148,149,Jeff Hart,63,-.176,-10.183,58
149,144,Tim Clark,92,-.177,-11.484,65
150,150,Woody Austin,100,-.178,-16.167,91
151,151,Brendan Jones,81,-.184,-13.419,73
152,152,Vaughn Taylor,99,-.195,-17.558,90
153,153,Robert Allenby,95,-.207,-15.131,73
154,154,John Huston,90,-.214,-17.156,80
155,155,Mark Hensby,70,-.228,-11.419,50
156,156,J.J. Henry,102,-.245,-21.303,87
156,156,Justin Rose,99,-.245,-21.794,89
158,158,Tommy Armour III,103,-.246,-22.601,92
159,166,Ted Purdy,122,-.249,-24.862,100
160,159,Glen Hnatiuk,59,-.250,-12.768,51
161,160,Doug Barron,70,-.254,-16.478,65
161,160,Mathias Grönberg,60,-.254,-14.242,56
163,134,Sergio Garcia,73,-.260,-13.525,52
164,162,Paul Claxton,79,-.266,-17.568,66
165,163,Craig Barlow,81,-.270,-17.296,64
166,164,Frank Lickliter II,100,-.278,-23.895,86
167,165,Michael Long,72,-.294,-18.824,64
168,166,José Coceres,56,-.306,-16.226,53
169,168,Ryuji Imada,78,-.308,-20.622,67
170,169,Chris Smith,93,-.309,-26.609,86
171,170,D.J. Trahan,81,-.313,-22.257,71
172,171,John Daly,78,-.324,-18.121,56
173,172,Tom Lehman,69,-.332,-16.599,50
173,172,Andrew Magee,82,-.332,-23.599,71
175,174,Joey Sindelar,104,-.335,-33.201,99
176,175,Mark Brooks,72,-.357,-22.462,63
177,176,Omar Uresti,84,-.370,-27.412,74
178,177,Chris Riley,67,-.383,-16.470,43
179,178,Brian Davis,75,-.384,-24.572,64
180,179,Lee Westwood,50,-.387,-12.778,33
181,180,Greg Owen,84,-.389,-27.633,71
182,181,Rich Beem,66,-.400,-19.182,48
183,182,Paul Gow,78,-.402,-27.325,68
184,183,D.A. Points,94,-.403,-33.464,83
185,184,Dennis Paulson,63,-.427,-24.348,57
186,185,Rocco Mediate,73,-.439,-28.946,66
187,186,Brett Wetterich,76,-.440,-29.904,68
188,187,Robert Damron,89,-.450,-35.998,80
189,188,Will MacKenzie,75,-.454,-30.843,68
190,189,Steve Jones,56,-.464,-21.333,46
191,190,Scott Hend,75,-.483,-31.390,65
192,191,Bradley Hughes,52,-.527,-25.840,49
193,192,Fred Couples,72,-.546,-24.002,44
194,193,Roland Thatcher,75,-.581,-39.479,68
195,194,Hideto Tanihara,50,-.586,-26.363,45
196,195,Jim Carter,62,-.599,-32.919,55
