RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,MONEY,YTD VICTORIES
1,1,Tiger Woods,18,"$6,912,625",5
2,2,Phil Mickelson,26,"$4,311,971",2
3,5,Vijay Singh,28,"$3,756,563",2
4,4,David Toms,27,"$3,459,739",
5,3,Ernie Els,18,"$3,291,895",2
6,7,Jerry Kelly,29,"$2,946,889",2
7,6,Rich Beem,30,"$2,938,365",2
8,8,Justin Leonard,26,"$2,738,235",1
9,15,Charles Howell III,32,"$2,702,747",1
10,9,Retief Goosen,15,"$2,617,004",1
11,10,Chris DiMarco,29,"$2,606,430",1
12,11,Sergio Garcia,21,"$2,401,993",1
13,12,Fred Funk,29,"$2,383,071",
14,13,Jim Furyk,25,"$2,363,250",1
15,14,Jeff Sluman,32,"$2,250,187",1
16,16,Shigeki Maruyama,24,"$2,214,794",1
17,19,K.J. Choi,27,"$2,204,907",2
18,17,Len Mattiace,28,"$2,194,064",2
19,18,Nick Price,18,"$2,170,912",1
20,20,Robert Allenby,27,"$2,115,771",
21,24,Davis Love III,26,"$2,056,160",
22,22,Rocco Mediate,23,"$2,040,676",1
23,21,Chris Riley,28,"$2,032,979",1
24,23,José María Olazábal,20,"$1,987,027",1
25,25,John Rollins,34,"$1,956,565",1
26,29,Bob Estes,26,"$1,934,600",1
27,27,Kenny Perry,27,"$1,928,598",
28,26,Loren Roberts,25,"$1,919,047",1
29,31,Scott McCarron,28,"$1,896,714",
30,30,Steve Lowery,28,"$1,882,553",
31,28,Brad Faxon,25,"$1,814,672",
32,32,Stuart Appleby,28,"$1,729,459",
33,33,Phil Tataurangi,25,"$1,643,686",1
34,34,Craig Perks,28,"$1,632,042",1
35,35,John Cook,25,"$1,624,095",
36,36,Kevin Sutherland,28,"$1,569,529",1
37,37,Craig Parry,21,"$1,466,235",1
38,38,Scott Hoch,21,"$1,465,173",
39,39,Jonathan Byrd,32,"$1,462,713",1
40,40,Pat Perez,30,"$1,451,726",
41,41,Peter Lonard,24,"$1,413,113",
42,42,Billy Andrade,31,"$1,365,707",
43,43,Chris Smith,30,"$1,361,094",1
44,44,Dan Forsman,25,"$1,305,790",1
45,45,John Huston,26,"$1,299,053",
46,46,Stephen Ames,28,"$1,278,037",
47,47,Ian Leggatt,29,"$1,245,048",1
48,48,David Peoples,30,"$1,243,774",
49,49,Matt Kuchar,27,"$1,237,725",1
50,50,Scott Verplank,26,"$1,217,022",
51,51,Bob Burns,30,"$1,199,802",1
52,52,Steve Flesch,32,"$1,192,341",
53,53,Mark Calcavecchia,25,"$1,162,509",
54,54,Dudley Hart,26,"$1,161,080",
55,55,Bob Tway,28,"$1,160,399",
56,56,Lee Janzen,29,"$1,127,740",
57,57,Matt Gogel,25,"$1,089,482",1
58,58,Luke Donald,30,"$1,088,205",1
59,59,Steve Elkington,23,"$1,084,535",
60,60,Jonathan Kaye,27,"$1,082,803",
61,61,Joel Edwards,28,"$1,077,651",
62,62,Brandt Jobe,28,"$972,479",
63,63,Jesper Parnevik,26,"$964,304",
64,64,Geoff Ogilvy,27,"$957,184",
65,65,J.L. Lewis,31,"$957,182",
66,66,J.P. Hayes,24,"$955,271",1
67,67,Tim Herron,30,"$954,917",
68,68,Rory Sabbatini,23,"$936,664",
69,69,Brian Gay,34,"$926,735",
70,70,Ben Crane,30,"$921,076",
71,71,Duffy Waldorf,27,"$909,003",
72,72,Cameron Beckman,26,"$907,740",
73,73,Stewart Cink,27,"$894,212",
74,74,Tom Lehman,22,"$868,632",
75,75,Billy Mayfair,31,"$864,745",
76,76,Heath Slocum,32,"$864,615",
77,77,Glen Day,31,"$859,930",
78,78,Mike Weir,25,"$843,890",
79,79,Kirk Triplett,25,"$843,273",
80,80,David Duval,24,"$838,045",
81,81,Chad Campbell,34,"$825,474",
82,82,Briny Baird,33,"$817,514",
83,83,Neal Lancaster,31,"$813,230",
84,84,Jim Carter,29,"$812,346",
85,85,Robert Gamez,21,"$807,892",
86,86,Tim Petrovic,31,"$797,206",
87,87,Joey Sindelar,32,"$790,750",
88,88,Steve Stricker,22,"$789,713",
89,89,Rod Pampling,29,"$776,903",
90,90,Paul Azinger,20,"$769,926",
91,91,Esteban Toledo,32,"$766,463",
92,92,Hidemichi Tanaka,31,"$766,423",
93,93,Frank Lickliter II,30,"$740,460",
94,94,Jeff Maggert,27,"$733,198",
95,95,Mark Brooks,32,"$731,671",
96,96,Harrison Frazar,28,"$731,295",
97,97,Mark O'Meara,24,"$730,132",
98,98,Jay Haas,24,"$722,782",
99,99,Gene Sauers,11,"$715,605",1
100,100,David Gossett,29,"$676,308",
101,101,Skip Kendall,31,"$653,594",
102,102,Carlos Franco,31,"$652,147",
103,103,Fred Couples,18,"$646,703",
104,104,Tom Pernice Jr.,31,"$645,110",
105,105,Shaun Micheel,30,"$641,450",
106,106,Greg Chalmers,31,"$640,898",
107,107,Tim Clark,23,"$632,609",
108,108,Notah Begay III,26,"$624,026",
109,109,Tom Byrum,23,"$620,280",
110,110,Spike McRoy,25,"$616,814",1
111,111,Olin Browne,33,"$615,828",
112,112,John Daly,21,"$593,595",
113,113,Brent Geiberger,29,"$582,592",
114,114,John Senden,30,"$578,613",
115,115,"David Berganio, Jr.",30,"$573,151",
116,116,J.J. Henry,34,"$569,875",
117,117,Carl Paulson,28,"$568,924",
118,118,Paul Stankowski,31,"$565,294",
119,119,Bernhard Langer,16,"$559,395",
120,120,Glen Hnatiuk,28,"$558,940",
121,121,Per-Ulrik Johansson,27,"$556,064",
122,122,Andrew Magee,28,"$543,035",
123,123,Pat Bates,29,"$537,284",
124,124,Craig Barlow,22,"$528,569",
125,125,Jay Williamson,30,"$515,445",
126,126,David Frost,29,"$509,845",
127,127,Craig Stadler,22,"$505,778",
128,128,Jay Don Blake,34,"$495,066",
129,129,Deane Pappas,34,"$494,404",
130,130,Kaname Yokoo,28,"$490,473",
131,131,Kent Jones,33,"$489,879",
132,132,Mike Sposa,34,"$463,418",
133,133,Kenneth Staton,36,"$453,816",
134,134,Paul Gow,35,"$448,752",
135,135,Frank Nobilo,30,"$447,324",
136,136,Garrett Willis,29,"$444,483",
137,137,Joe Durant,28,"$427,217",
138,138,Bob May,30,"$407,778",
139,139,Paul Goydos,20,"$407,345",
140,140,Brett Quigley,32,"$404,422",
141,141,Robert Damron,28,"$391,867",
142,142,Mathew Goggin,20,"$391,852",
143,143,John Riegger,29,"$390,675",
144,144,Peter Jacobsen,21,"$389,123",
145,145,Tommy Armour III,30,"$379,191",
146,146,Brandel Chamblee,30,"$372,263",
147,147,Brad Elder,26,"$362,892",
148,148,Corey Pavin,24,"$362,012",
149,149,Steve Allan,30,"$359,655",
150,150,Tom Scherrer,34,"$356,657",
151,151,Dennis Paulson,30,"$344,121",
152,152,Grant Waite,31,"$332,947",
153,153,Hal Sutton,26,"$320,002",
154,154,Tripp Isenhour,21,"$319,210",
155,155,Bart Bryant,20,"$309,880",
156,156,Woody Austin,36,"$307,348",
157,157,José Coceres,16,"$286,552",
158,158,Brian Henninger,20,"$281,614",
159,159,Brian Bateman,31,"$281,421",
160,160,Miguel Angel Jiménez,19,"$280,568",
161,161,Jeff Brehaut,29,"$274,335",
162,162,Jeff Gove,30,"$271,652",
163,163,Jerry Smith,33,"$269,953",
164,164,Matt Peterson,27,"$266,543",
165,165,Donnie Hammond,17,"$263,366",
166,166,Mike Heinen,15,"$246,853",
167,167,Michael Clark II,33,"$239,422",
168,168,Franklin Langham,25,"$238,461",
169,169,Robin Freeman,27,"$227,179",
170,170,Edward Fryatt,34,"$225,823",
171,171,Greg Kraft,31,"$222,614",
172,172,Steve Pate,21,"$220,183",
173,173,Tommy Tolles,20,"$213,740",
174,174,Brett Wetterich,32,"$203,034",
175,175,"Jim Gallagher, Jr.",15,"$191,403",
176,176,Stephen Gangluff,27,"$187,804",
177,177,Tom Watson,4,"$180,130",
178,178,Lee Porter,32,"$179,396",
179,179,Russ Cochran,24,"$176,111",
180,180,Steve Jones,24,"$169,315",
181,181,Brian Watts,21,"$162,704",
182,182,Brent Schwarzrock,9,"$160,673",
183,183,Michael Long,27,"$157,723",
184,184,Paul Claxton,29,"$156,696",
185,185,Jess Daley,27,"$154,675",
186,186,Kelly Gibson,14,"$154,459",
187,187,David Morland IV,21,"$154,115",
188,188,Jason Hill,24,"$150,860",
189,189,Scott Dunlap,30,"$144,454",
190,190,Dicky Pride,16,"$142,556",
191,191,Bo Van Pelt,28,"$139,357",
192,192,Bob Heintz,28,"$127,346",
193,193,John Morse,8,"$125,260",
194,194,Blaine McCallister,27,"$123,349",
195,195,Scott Simpson,25,"$122,115",
196,196,Eduardo Herrera,23,"$109,953",
197,197,Michael Allen,29,"$108,777",
198,198,Pete Jordan,30,"$101,330",
199,199,Michael Muehr,27,"$97,531",
200,200,Boo Weekley,24,"$95,206",
201,201,Fulton Allem,26,"$92,379",
202,202,David Edwards,11,"$89,285",
203,203,Jim McGovern,16,"$86,862",
204,204,Willie Wood,16,"$85,871",
205,205,Bradley Hughes,22,"$85,450",
206,206,Brenden Pappas,25,"$83,519",
207,207,Guy Boros,11,"$82,852",
208,208,Danny Ellis,17,"$73,340",
209,209,Brad Lardon,23,"$71,511",
210,210,Gabriel Hjertstedt,17,"$69,186",
211,211,Mike Standly,11,"$68,210",
212,212,David Sutherland,11,"$63,052",
213,213,Mike Springer,12,"$59,193",
214,214,Tom Kite,5,"$54,350",
215,215,Richard Zokol,20,"$53,437",
216,216,Joe Ogilvie,20,"$47,696",
217,217,Mike Hulbert,20,"$46,148",
218,218,Gary Nicklaus,26,"$41,969",
219,219,D.A. Weibring,10,"$41,045",
220,220,Kevin Wentworth,4,"$32,400",
221,221,Stan Utley,7,"$28,423",
222,222,Dave Barr,5,"$28,395",
223,223,Sandy Lyle,9,"$28,163",
224,224,Trevor Dodds,6,"$27,352",
225,225,Dave Rummells,4,"$27,349",
226,226,Dan Pohl,3,"$24,570",
227,227,Scott Gump,8,"$23,610",
228,228,Jay Delsing,6,"$22,430",
229,229,Jeff Gallagher,15,"$21,711",
230,230,Wayne Grady,5,"$20,880",
231,231,Michael Bradley,7,"$18,363",
232,232,Ted Tryba,9,"$17,706",
233,233,Fred Wadsworth,18,"$16,854",
234,234,Curtis Strange,11,"$16,207",
235,235,Jerry Pate,5,"$15,372",
236,236,Ronnie Black,12,"$14,219",
237,237,Brian Claar,9,"$13,757",
238,238,Ken Green,4,"$10,995",
239,239,Brad Bryant,5,"$10,226",
240,240,Mark Carnevale,5,"$9,372",
241,241,Jack Nicklaus,1,"$8,910",
242,242,Ty Tryon,6,"$8,620",
243,243,Doug Tewell,1,"$8,080",
244,244,Larry Mize,10,"$7,634",
245,245,Nolan Henke,3,"$6,240",
246,246,Greg Twiggs,1,"$5,171",
247,247,Larry Rinker,5,"$4,628",
248,248,Bill Glasson,13,"$4,599",
