RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,1,José María Olazábal,71,64.89,61,94,+13.00
2,2,Brett Quigley,93,63.13,101,160,+29.00
3,3,Bryce Molder,65,61.26,68,111,+36.00
4,4,Brian Watts,58,60.75,65,107,+23.00
5,8,Davis Love III,92,60.45,81,134,+16.00
6,5,Miguel Angel Jiménez,60,59.81,64,107,+20.00
7,15,Len Mattiace,106,59.24,93,157,+37.00
8,7,Pat Perez,89,59.15,97,164,+49.00
9,12,Shigeki Maruyama,87,59.06,88,149,+47.00
9,6,Scott McCarron,106,59.06,101,171,+49.00
11,10,Brian Gay,117,58.64,112,191,+51.00
12,11,Joel Edwards,101,58.62,85,145,+26.00
13,13,Tripp Isenhour,68,58.25,60,103,+30.00
14,16,Paul Azinger,69,57.97,80,138,+32.00
15,9,Tiger Woods,69,57.95,51,88,+9.00
16,17,Brad Faxon,93,57.76,93,161,+48.00
17,18,Rory Sabbatini,69,57.45,54,94,+19.00
18,20,Cameron Beckman,87,57.36,74,129,+32.00
19,21,Richard Zokol,53,57.29,55,96,+36.00
20,18,Ernie Els,68,57.28,59,103,+26.00
21,22,José Coceres,51,56.90,66,116,+40.00
22,25,Jeff Sluman,118,56.80,96,169,+36.00
23,23,John Riegger,88,56.64,64,113,+29.00
24,24,Dudley Hart,88,56.49,87,154,+39.00
25,29,Retief Goosen,56,56.47,48,85,+18.00
26,14,Nick Price,69,56.35,71,126,+31.00
26,26,Jay Haas,83,56.35,71,126,+36.00
28,28,David Peoples,105,56.21,86,153,+42.00
29,27,K.J. Choi,93,56.02,93,166,+46.00
30,30,Steve Flesch,110,55.96,108,193,+43.00
31,31,Steve Elkington,82,55.80,77,138,+37.00
32,32,Mark Calcavecchia,84,55.56,65,117,+36.00
32,32,Greg Chalmers,94,55.56,85,153,+39.00
34,34,Matt Gogel,79,55.22,74,134,+53.00
35,35,Craig Perks,91,55.19,85,154,+44.00
36,36,Woody Austin,102,55.14,102,185,+59.00
37,37,Geoff Ogilvy,90,55.06,98,178,+48.00
38,38,Craig Parry,69,54.93,78,142,+38.00
39,39,Billy Andrade,100,54.88,90,164,+40.00
40,47,Fred Funk,106,54.82,91,166,+40.00
41,40,John Huston,99,54.78,86,157,+39.00
42,41,Bernhard Langer,55,54.76,46,84,+25.00
42,41,Kirk Triplett,84,54.76,69,126,+32.00
44,43,Skip Kendall,103,54.72,116,212,+67.00
45,60,Phil Mickelson,97,54.65,94,172,+38.00
46,44,Rod Pampling,98,54.64,106,194,+45.00
47,45,J.P. Hayes,78,54.62,65,119,+44.00
48,46,Matt Kuchar,82,54.55,84,154,+49.00
49,48,Tom Byrum,77,54.46,55,101,+28.00
50,50,Justin Leonard,97,54.41,74,136,+47.00
50,49,Kevin Sutherland,96,54.41,74,136,+31.00
52,51,David Frost,90,54.39,93,171,+69.00
53,52,Donnie Hammond,60,54.35,50,92,+28.00
54,53,Dan Forsman,83,54.31,63,116,+30.00
55,54,Tim Clark,76,54.26,51,94,+35.00
56,55,Jesper Parnevik,85,54.25,83,153,+41.00
57,56,Scott Simpson,61,54.21,58,107,+31.00
58,57,Dennis Paulson,89,54.20,71,131,+29.00
59,59,Chris DiMarco,111,54.17,78,144,+33.00
60,85,Robert Allenby,96,53.91,69,128,+31.00
61,61,Bob Burns,99,53.90,76,141,+55.00
62,62,Billy Mayfair,99,53.85,77,143,+46.00
63,63,Mike Weir,94,53.80,85,158,+44.00
64,58,Chris Riley,104,53.50,84,157,+38.00
65,64,Tim Herron,102,53.48,100,187,+47.00
66,65,David Duval,78,53.39,63,118,+36.00
67,66,Tom Pernice Jr.,101,53.33,88,165,+60.00
68,67,Esteban Toledo,106,53.30,97,182,+65.00
69,69,Scott Hoch,71,53.13,51,96,+28.00
69,69,Jonathan Byrd,96,53.13,85,160,+41.00
71,82,David Toms,106,53.10,77,145,+28.00
72,68,Sergio Garcia,79,52.94,72,136,+40.00
73,71,Jerry Kelly,99,52.91,91,172,+37.00
74,104,Vijay Singh,102,52.50,84,160,+34.00
75,72,Mike Sposa,111,52.38,99,189,+52.00
76,73,Peter Lonard,93,52.29,80,153,+36.00
77,74,Neal Lancaster,101,52.15,85,163,+55.00
78,75,Gary Nicklaus,66,52.10,62,119,+44.00
79,93,Jim Furyk,88,51.89,55,106,+28.00
80,76,Craig Stadler,72,51.75,74,143,+40.00
81,77,Grant Waite,98,51.59,81,157,+42.00
81,77,Stewart Cink,92,51.59,65,126,+49.00
83,79,John Cook,85,51.54,67,130,+49.00
84,80,Pete Jordan,78,51.52,68,132,+58.00
84,80,Bob Heintz,68,51.52,68,132,+51.00
86,83,Bob May,91,51.43,72,140,+39.00
87,87,Kenny Perry,98,51.39,74,144,+29.00
88,86,Olin Browne,107,51.12,91,178,+73.00
89,88,Brian Henninger,66,51.06,48,94,+20.00
90,83,Bob Estes,93,50.88,58,114,+41.00
91,89,Scott Verplank,93,50.77,66,130,+51.00
91,89,Franklin Langham,72,50.77,66,130,+49.00
93,91,Jim Carter,98,50.68,75,148,+55.00
94,92,Hidemichi Tanaka,104,50.65,78,154,+45.00
95,94,Michael Muehr,73,50.47,54,107,+45.00
96,95,Mark O'Meara,68,50.45,56,111,+42.00
97,96,Paul Goydos,66,50.43,58,115,+52.00
98,97,Tommy Armour III,82,50.42,60,119,+27.00
99,98,Kenneth Staton,104,50.34,75,149,+39.00
100,99,Jay Williamson,91,50.32,78,155,+56.00
101,100,Paul Gow,99,50.30,84,167,+48.00
102,101,Fred Couples,64,50.00,51,102,+29.00
103,102,Tom Scherrer,98,49.70,82,165,+57.00
104,103,Heath Slocum,96,49.68,77,155,+75.00
105,105,Kaname Yokoo,74,49.63,67,135,+56.00
106,106,Tim Petrovic,92,49.62,65,131,+46.00
107,107,Edward Fryatt,94,49.45,90,182,+59.00
108,108,Chad Campbell,111,49.40,82,166,+54.00
109,109,David Gossett,95,49.35,76,154,+55.00
110,110,Michael Allen,76,49.24,65,132,+45.00
111,111,Stephen Ames,89,49.22,63,128,+48.00
112,117,Steve Lowery,98,49.07,79,161,+53.00
112,112,Steve Allan,93,49.07,79,161,+50.00
114,113,Brenden Pappas,62,49.02,50,102,+42.00
115,114,Pat Bates,94,48.95,70,143,+46.00
116,115,Brandel Chamblee,85,48.92,68,139,+47.00
117,116,Per-Ulrik Johansson,87,48.91,67,137,+47.00
118,118,Greg Kraft,86,48.57,68,140,+74.00
118,118,Robert Gamez,69,48.57,51,105,+44.00
120,120,J.L. Lewis,98,48.45,78,161,+46.00
121,122,Notah Begay III,76,48.25,55,114,+34.00
122,123,Carlos Franco,107,48.15,91,189,+49.00
122,123,Luke Donald,106,48.15,65,135,+45.00
124,125,Stuart Appleby,97,48.09,88,183,+52.00
125,126,Ben Crane,91,48.00,84,175,+77.00
126,127,Andrew Magee,91,47.93,81,169,+62.00
127,128,"David Berganio, Jr.",80,47.86,67,140,+46.00
128,129,Paul Stankowski,100,47.80,76,159,+57.00
129,130,Glen Day,107,47.74,74,155,+55.00
130,156,John Rollins,124,47.62,90,189,+67.00
131,131,Craig Barlow,62,47.56,39,82,+22.00
132,132,Ian Leggatt,97,47.53,77,162,+58.00
132,132,Lee Janzen,101,47.53,77,162,+57.00
134,134,Corey Pavin,78,47.52,67,141,+61.00
135,135,Russ Cochran,68,47.33,62,131,+53.00
136,121,Loren Roberts,93,47.24,60,127,+57.00
137,136,Frank Nobilo,94,47.16,83,176,+69.00
138,137,Phil Tataurangi,88,46.97,62,132,+48.00
138,137,Jeff Brehaut,87,46.97,62,132,+34.00
140,139,Shaun Micheel,100,46.92,61,130,+41.00
141,140,Mark Brooks,97,46.86,82,175,+78.00
142,141,Brett Wetterich,89,46.82,81,173,+63.00
143,142,Steve Stricker,68,46.72,57,122,+48.00
143,142,Glen Hnatiuk,95,46.72,64,137,+33.00
145,144,Briny Baird,110,46.63,76,163,+59.00
146,145,Mike Hulbert,55,46.58,34,73,+26.00
147,146,Brent Geiberger,95,46.50,73,157,+70.00
147,146,Harrison Frazar,88,46.50,73,157,+53.00
149,149,Michael Clark II,97,46.34,76,164,+55.00
149,149,Jess Daley,76,46.34,57,123,+53.00
151,151,Brandt Jobe,94,46.30,75,162,+59.00
152,152,Duffy Waldorf,90,46.22,55,119,+43.00
153,153,Lee Porter,91,46.20,73,158,+70.00
154,148,Rocco Mediate,79,46.09,53,115,+36.00
155,154,J.J. Henry,112,45.96,74,161,+56.00
156,155,John Senden,96,45.83,66,144,+21.00
157,157,Michael Long,71,45.63,47,103,+34.00
158,158,Jay Don Blake,107,45.55,87,191,+92.00
159,159,Carl Paulson,84,45.22,71,157,+70.00
160,160,Scott Dunlap,74,45.00,63,140,+52.00
161,161,Paul Claxton,83,44.62,58,130,+50.00
162,162,Bradley Hughes,60,44.55,45,101,+53.00
163,163,Hal Sutton,74,44.35,55,124,+47.00
164,164,Fulton Allem,64,44.34,47,106,+49.00
165,165,Kent Jones,105,44.31,74,167,+66.00
166,166,Robert Damron,85,44.12,75,170,+79.00
167,167,Jonathan Kaye,83,44.09,56,127,+42.00
168,168,Stephen Gangluff,75,44.00,44,100,+47.00
169,169,John Daly,62,43.97,51,116,+47.00
170,170,Garrett Willis,80,43.51,67,154,+77.00
171,171,Joe Durant,87,43.48,50,115,+54.00
172,172,Jeff Gove,89,43.07,59,137,+47.00
173,173,David Morland IV,58,43.01,40,93,+44.00
174,174,Bob Tway,103,42.77,68,159,+50.00
175,175,Steve Pate,64,42.70,38,89,+37.00
176,176,Jeff Maggert,83,42.47,62,146,+77.00
177,177,Robin Freeman,79,42.31,55,130,+45.00
178,178,Eduardo Herrera,59,42.27,41,97,+46.00
179,179,Bart Bryant,69,41.67,40,96,+38.00
180,180,Jerry Smith,91,41.61,67,161,+67.00
181,181,Brad Elder,76,41.46,51,123,+60.00
182,182,Boo Weekley,57,41.43,29,70,+41.00
183,183,Brian Bateman,94,41.36,67,162,+70.00
184,184,Tommy Tolles,64,41.32,50,121,+42.00
185,185,Tom Lehman,78,41.05,39,95,+39.00
186,186,Peter Jacobsen,67,41.03,48,117,+50.00
187,187,Blaine McCallister,75,40.68,48,118,+46.00
188,188,Mathew Goggin,64,40.63,39,96,+44.00
189,189,Frank Lickliter II,94,40.28,58,144,+66.00
190,190,Deane Pappas,90,40.25,64,159,+71.00
191,191,Spike McRoy,69,40.00,34,85,+36.00
191,191,Joe Ogilvie,50,40.00,30,75,+35.00
193,195,Charles Howell III,118,39.56,72,182,+77.00
194,193,Rich Beem,99,39.55,70,177,+69.00
195,194,Joey Sindelar,104,38.79,64,165,+72.00
196,196,Steve Jones,71,38.53,42,109,+55.00
197,197,Dicky Pride,51,36.23,25,69,+25.00
198,198,Brad Lardon,59,35.85,38,106,+50.00
199,199,Bo Van Pelt,78,35.67,56,157,+71.00
200,200,Matt Peterson,80,33.33,39,117,+55.00
201,201,Jason Hill,59,31.11,28,90,+53.00
202,202,Chris Smith,103,29.68,46,155,+75.00
