RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS
1,2,Aaron Baddeley,84,.595,41.618,70
2,3,Patrick Reed,94,.545,34.343,63
3,4,Jamie Lovemark,92,.519,40.476,78
4,5,Alex Cejka,77,.495,29.700,60
5,1,Jason Day,75,.479,23.488,49
6,6,Justin Rose,70,.450,23.868,53
7,7,Zach Johnson,94,.425,30.634,72
8,8,Louis Oosthuizen,62,.408,18.779,46
9,9,Wesley Bryan,69,.407,20.759,51
10,11,Zac Blair,64,.394,18.112,46
11,12,Tiger Woods,68,.385,22.732,59
12,10,Kevin Na,91,.373,26.100,70
13,13,Webb Simpson,95,.370,30.006,81
14,14,Bill Haas,76,.368,24.268,66
15,15,Luke List,98,.349,27.204,78
16,17,Jonathan Byrd,70,.339,16.250,48
17,18,Francesco Molinari,73,.327,18.614,57
18,16,Rory McIlroy,64,.322,16.420,51
19,19,Brandt Snedeker,84,.318,23.537,74
20,21,Justin Thomas,91,.311,21.127,68
21,23,Tommy Fleetwood,73,.296,15.982,54
22,20,Marc Leishman,93,.292,21.350,73
23,22,Si Woo Kim,108,.291,22.694,78
24,24,Ryan Moore,78,.273,18.042,66
25,25,Adam Hadwin,92,.267,17.622,66
26,27,Ricky Barnes,65,.257,11.566,45
27,29,Peter Malnati,87,.255,19.125,75
28,30,Brian Gay,103,.253,23.286,92
29,31,Tyrrell Hatton,58,.252,10.591,42
30,32,Ollie Schniederjans,91,.250,19.217,77
31,27,Rickie Fowler,74,.242,14.783,61
32,34,Bud Cauley,55,.239,9.786,41
33,33,Dustin Johnson,77,.238,14.785,62
34,35,Jim Furyk,50,.235,10.811,46
35,36,Rory Sabbatini,91,.234,17.547,75
36,37,Johnson Wagner,75,.226,12.456,55
37,26,Tony Finau,105,.222,17.967,81
38,42,Cameron Smith,85,.218,13.307,61
39,38,Matt Kuchar,88,.211,13.726,65
40,39,Cameron Percy,56,.210,8.616,41
41,40,Martin Laird,73,.209,12.751,61
42,43,Jonas Blixt,67,.196,9.412,48
43,44,Ryan Armour,109,.194,18.623,96
43,44,William McGirt,84,.194,14.532,75
45,46,Matt Jones,70,.192,9.018,47
46,47,Chris Kirk,108,.190,18.204,96
47,48,Tyrone Van Aswegen,101,.187,15.543,83
47,48,Andrew Putnam,97,.187,14.377,77
49,50,Jordan Spieth,81,.184,12.114,66
49,50,Ben Crane,65,.184,8.461,46
51,52,Austin Cook,107,.179,16.464,92
