RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Fred Funk,106,81.24,"1,204","1,482"
2,2,Scott Verplank,93,78.52,958,"1,220"
3,3,Heath Slocum,96,77.64,993,"1,279"
4,3,Jim Furyk,88,77.60,904,"1,165"
5,5,Fulton Allem,64,77.47,681,879
6,6,Glen Day,107,77.36,"1,107","1,431"
7,7,Olin Browne,107,77.06,"1,115","1,447"
8,8,Glen Hnatiuk,95,76.93,994,"1,292"
9,9,Nick Price,69,76.38,663,868
10,10,Joe Durant,87,75.59,867,"1,147"
11,11,Bart Bryant,69,75.44,691,916
12,12,Corey Pavin,78,75.35,755,"1,002"
13,13,Jeff Maggert,83,75.11,830,"1,105"
14,14,Tom Byrum,77,75.07,804,"1,071"
15,15,Kirk Triplett,84,74.89,823,"1,099"
16,16,John Cook,85,74.87,840,"1,122"
17,17,Pat Bates,94,74.78,949,"1,269"
18,19,Hidemichi Tanaka,104,74.56,"1,058","1,419"
19,20,Paul Goydos,66,74.48,683,917
20,18,Rocco Mediate,79,74.37,737,991
21,21,Tim Clark,76,74.35,739,994
22,22,Notah Begay III,76,74.30,769,"1,035"
23,23,Matt Peterson,80,74.28,826,"1,112"
24,24,Justin Leonard,97,73.69,930,"1,262"
25,25,Billy Mayfair,99,73.46,944,"1,285"
26,26,Donnie Hammond,60,73.25,608,830
27,29,Loren Roberts,93,73.03,907,"1,242"
28,27,Matt Kuchar,82,72.83,812,"1,115"
29,31,John Rollins,124,72.78,"1,219","1,675"
29,28,Lee Porter,91,72.78,893,"1,227"
31,30,Blaine McCallister,75,72.74,758,"1,042"
32,32,Pete Jordan,78,72.44,786,"1,085"
33,33,Joel Edwards,101,72.26,"1,021","1,413"
34,34,Paul Claxton,83,72.25,833,"1,153"
35,35,Chad Campbell,111,72.18,"1,095","1,517"
36,36,Robert Damron,85,72.00,823,"1,143"
37,37,Luke Donald,106,71.96,"1,024","1,423"
38,38,Hal Sutton,74,71.77,712,992
39,39,Peter Jacobsen,67,71.69,666,929
40,40,Briny Baird,110,71.68,"1,081","1,508"
41,41,John Riegger,88,71.53,839,"1,173"
42,42,Jim Carter,98,71.52,939,"1,313"
43,43,David Gossett,95,71.23,926,"1,300"
44,44,Esteban Toledo,106,71.22,975,"1,369"
45,45,Per-Ulrik Johansson,87,71.20,863,"1,212"
46,48,Bradley Hughes,60,71.07,592,833
47,49,Frank Nobilo,94,71.05,930,"1,309"
