RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
48,47,Jerry Kelly,99,71.01,931,"1,311"
49,45,Robert Allenby,96,70.98,927,"1,306"
50,50,José Coceres,51,70.85,486,686
51,51,Mark Brooks,97,70.83,918,"1,296"
52,52,Robert Gamez,69,70.80,679,959
53,53,Bob Burns,99,70.73,945,"1,336"
54,54,David Toms,106,70.65,970,"1,373"
55,55,Skip Kendall,103,70.60,992,"1,405"
56,61,Chris Riley,104,70.51,947,"1,343"
57,56,Bob Estes,93,70.50,822,"1,166"
58,57,Craig Stadler,72,70.16,663,945
59,58,Jay Williamson,91,70.13,890,"1,269"
60,59,Brian Gay,117,70.07,"1,124","1,604"
61,60,David Morland IV,58,70.01,565,807
62,62,Garrett Willis,80,69.84,762,"1,091"
63,63,Scott Hoch,71,69.81,645,924
64,65,Brad Lardon,59,69.50,572,823
65,66,Dan Forsman,83,69.42,781,"1,125"
66,71,Charles Howell III,118,69.31,"1,082","1,561"
67,67,Jay Don Blake,107,69.24,"1,013","1,463"
68,68,Craig Parry,69,69.19,649,938
69,69,Jeff Brehaut,87,69.17,839,"1,213"
70,70,John Huston,99,69.06,924,"1,338"
71,72,Lee Janzen,101,69.03,885,"1,282"
71,72,Tim Petrovic,92,69.03,836,"1,211"
73,77,J.J. Henry,112,68.86,"1,037","1,506"
74,78,Chris Smith,103,68.76,920,"1,338"
75,64,Len Mattiace,106,68.75,981,"1,427"
76,79,Duffy Waldorf,90,68.74,794,"1,155"
76,79,Cameron Beckman,87,68.74,818,"1,190"
78,81,Miguel Angel Jiménez,60,68.71,538,783
79,82,David Peoples,105,68.67,"1,004","1,462"
80,74,Retief Goosen,56,68.61,483,704
81,86,Jeff Sluman,118,68.56,"1,121","1,635"
82,84,Chris DiMarco,111,68.46,979,"1,430"
83,83,Steve Jones,71,68.43,609,890
84,87,Steve Lowery,98,68.33,876,"1,282"
85,76,Sergio Garcia,79,68.31,653,956
86,85,Kent Jones,105,68.29,980,"1,435"
87,92,Kenny Perry,98,68.22,906,"1,328"
88,88,Mike Sposa,111,68.18,"1,037","1,521"
89,90,Tom Lehman,78,68.14,648,951
90,91,Kaname Yokoo,74,68.10,683,"1,003"
91,93,Pat Perez,89,68.07,825,"1,212"
92,94,Peter Lonard,93,67.98,847,"1,246"
92,94,Frank Lickliter II,94,67.98,830,"1,221"
94,96,Stephen Ames,89,67.93,788,"1,160"
95,97,Jonathan Kaye,83,67.90,751,"1,106"
96,98,John Senden,96,67.84,850,"1,253"
97,99,Carl Paulson,84,67.83,776,"1,144"
97,89,Vijay Singh,102,67.83,892,"1,315"
99,100,Kenneth Staton,104,67.82,963,"1,420"
100,101,Brad Faxon,93,67.81,790,"1,165"
101,102,Scott Dunlap,74,67.79,682,"1,006"
102,103,Steve Flesch,110,67.76,992,"1,464"
103,104,Brandel Chamblee,85,67.75,790,"1,166"
104,105,Brian Bateman,94,67.64,857,"1,267"
105,106,Jonathan Byrd,96,67.62,879,"1,300"
106,107,"David Berganio, Jr.",80,67.61,741,"1,096"
107,75,Tiger Woods,69,67.52,607,899
108,108,Boo Weekley,57,67.51,534,791
109,109,Bernhard Langer,55,67.43,472,700
110,110,Brandt Jobe,94,67.40,883,"1,310"
111,111,David Frost,90,67.36,846,"1,256"
112,112,Shaun Micheel,100,67.33,911,"1,353"
113,113,Bob Tway,103,67.29,893,"1,327"
114,114,Joey Sindelar,104,67.18,952,"1,417"
115,115,J.L. Lewis,98,67.15,918,"1,367"
116,116,Greg Kraft,86,67.10,783,"1,167"
117,117,Steve Pate,64,67.03,557,831
118,119,Brent Geiberger,95,66.93,856,"1,279"
119,120,Michael Clark II,97,66.92,884,"1,321"
120,121,Rod Pampling,98,66.84,875,"1,309"
121,122,Tommy Armour III,82,66.67,750,"1,125"
122,123,Tom Pernice Jr.,101,66.57,922,"1,385"
123,124,Mark Calcavecchia,84,66.54,698,"1,049"
124,125,Jeff Gove,89,66.51,824,"1,239"
125,126,Russ Cochran,68,66.42,619,932
126,127,Kevin Sutherland,96,66.40,816,"1,229"
127,128,J.P. Hayes,78,66.35,702,"1,058"
127,128,Franklin Langham,72,66.35,637,960
129,117,Phil Mickelson,97,66.27,833,"1,257"
130,130,Mike Weir,94,66.18,816,"1,233"
131,131,Brian Henninger,66,66.16,606,916
132,137,Davis Love III,92,66.09,770,"1,165"
133,132,Spike McRoy,69,66.02,616,933
134,133,Mark O'Meara,68,66.01,571,865
135,134,Dudley Hart,88,66.00,757,"1,147"
136,135,Bob May,91,65.97,818,"1,240"
137,136,Jay Haas,83,65.91,725,"1,100"
138,137,Ben Crane,91,65.83,815,"1,238"
139,139,Tripp Isenhour,68,65.82,622,945
139,139,Matt Gogel,79,65.82,699,"1,062"
141,142,Edward Fryatt,94,65.58,842,"1,284"
142,143,Jerry Smith,91,65.57,794,"1,211"
143,144,Carlos Franco,107,65.55,959,"1,463"
144,145,Robin Freeman,79,65.42,681,"1,041"
145,141,Scott McCarron,106,65.38,861,"1,317"
146,149,K.J. Choi,93,65.21,791,"1,213"
147,146,Scott Simpson,61,65.10,554,851
148,153,Shigeki Maruyama,87,65.06,756,"1,162"
149,148,Rich Beem,99,64.91,860,"1,325"
150,147,Brad Elder,76,64.88,665,"1,025"
151,149,Ian Leggatt,97,64.82,842,"1,299"
152,151,Craig Barlow,62,64.73,523,808
153,152,Gary Nicklaus,66,64.71,594,918
154,154,Paul Stankowski,100,64.64,883,"1,366"
155,156,Woody Austin,102,64.46,887,"1,376"
155,156,Dicky Pride,51,64.46,457,709
157,158,Brian Watts,58,64.45,484,751
157,158,Bo Van Pelt,78,64.45,698,"1,083"
159,160,Harrison Frazar,88,64.28,790,"1,229"
160,161,Paul Gow,99,64.25,859,"1,337"
161,162,Richard Zokol,53,64.17,455,709
162,163,Stephen Gangluff,75,64.05,668,"1,043"
163,155,Ernie Els,68,64.04,520,812
164,164,Neal Lancaster,101,64.03,865,"1,351"
165,165,Grant Waite,98,63.94,853,"1,334"
166,166,Stewart Cink,92,63.88,748,"1,171"
167,167,Stuart Appleby,97,63.83,803,"1,258"
167,167,Brett Wetterich,89,63.83,773,"1,211"
169,169,Steve Elkington,82,63.45,665,"1,048"
170,170,Billy Andrade,100,63.39,831,"1,311"
171,171,Joe Ogilvie,50,62.91,436,693
172,172,Jess Daley,76,62.80,665,"1,059"
173,173,Jason Hill,59,62.68,514,820
174,174,Tom Scherrer,98,62.52,829,"1,326"
175,175,Mathew Goggin,64,62.34,553,887
176,176,David Duval,78,62.15,619,996
177,177,Craig Perks,91,62.02,720,"1,161"
177,177,Geoff Ogilvy,90,62.02,743,"1,198"
179,179,Paul Azinger,69,61.98,546,881
180,180,Andrew Magee,91,61.93,758,"1,224"
181,181,Bryce Molder,65,61.87,542,876
182,182,Jesper Parnevik,85,61.85,694,"1,122"
183,183,Michael Muehr,73,61.84,611,988
184,184,Steve Allan,93,61.82,787,"1,273"
185,185,Phil Tataurangi,88,61.66,722,"1,171"
186,186,Rory Sabbatini,69,61.28,546,891
187,187,Michael Long,71,61.07,604,989
188,188,Fred Couples,64,60.93,510,837
189,189,Steve Stricker,68,59.83,493,824
190,190,Eduardo Herrera,59,59.76,490,820
191,192,Greg Chalmers,94,59.67,756,"1,267"
192,193,Tommy Tolles,64,59.06,525,889
192,193,Dennis Paulson,89,59.06,717,"1,214"
194,195,Brett Quigley,93,58.41,747,"1,279"
195,196,John Daly,62,58.32,480,823
196,197,Tim Herron,102,58.23,803,"1,379"
197,198,Deane Pappas,90,57.97,702,"1,211"
198,191,José María Olazábal,71,57.79,501,867
199,199,Michael Allen,76,57.07,589,"1,032"
200,200,Brenden Pappas,62,55.40,477,861
201,201,Mike Hulbert,55,53.93,398,738
202,202,Bob Heintz,68,50.37,477,947
