RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,1,Tim Clark,88,30.25,"36,737.000","1,216",Under
2,2,Jay Williamson,76,30.75,"33,630.917","1,093",Under
3,3,Joe Durant,67,31.583333333333332,"32,320.250","1,024",Under
4,,Cliff Kresge,50,32.0,"25,843.250",807,Over
5,4,Omar Uresti,74,32.166666666666664,"35,195.083","1,094",Over
6,5,K.J. Choi,82,32.333333333333336,"35,427.750","1,095",Under
7,7,Steve Stricker,73,32.5,"32,611.167","1,004",1 Under
7,6,Brendon de Jonge,114,32.5,"53,124.083","1,634",Under
9,8,Chad Campbell,94,32.666666666666664,"47,453.667","1,452",Under
9,8,David Toms,86,32.666666666666664,"41,068.500","1,257",Under
11,11,Rickie Fowler,98,32.75,"48,583.000","1,485",Under
11,10,Heath Slocum,97,32.75,"42,915.917","1,309",Under
13,13,Brian Gay,101,32.833333333333336,"48,345.167","1,471",Under
14,12,Dean Wilson,54,32.916666666666664,"27,732.417",843,Under
15,13,Kenny Perry,69,33.0,"33,125.750","1,005",Under
15,13,Rocco Mediate,71,33.0,"35,968.917","1,091",Under
17,13,Tom Pernice Jr.,74,33.083333333333336,"34,334.833","1,039",Under
17,17,Spencer Levin,110,33.083333333333336,"58,160.583","1,757",Under
19,18,Jeff Quinney,91,33.166666666666664,"47,387.000","1,429",Under
20,18,Ben Crane,85,33.25,"39,219.833","1,180",Under
20,18,Alex Cejka,81,33.25,"40,236.500","1,209",Under
20,18,Boo Weekley,88,33.25,"43,970.583","1,323",Under
23,23,Paul Goydos,78,33.333333333333336,"39,303.250","1,178",Under
23,24,Davis Love III,79,33.333333333333336,"39,487.167","1,184",Under
25,27,John Mallinger,78,33.5,"38,944.417","1,162",Under
25,25,Luke Donald,71,33.5,"31,870.667",951,Under
27,27,Briny Baird,87,33.583333333333336,"47,655.250","1,418",Under
28,29,Geoff Ogilvy,62,33.666666666666664,"30,198.250",896,Under
28,29,Robert Garrigus,71,33.666666666666664,"36,668.500","1,089",Under
28,18,Pat Perez,90,33.666666666666664,"49,989.583","1,486",Under
31,32,Jim Furyk,76,33.75,"36,370.083","1,077",Under
31,25,Jason Bohn,84,33.75,"44,786.500","1,326",Under
31,29,Brent Delahoussaye,57,33.75,"28,472.500",843,Over
31,32,Justin Rose,78,33.75,"42,277.750","1,254",Under
35,34,Bob Estes,79,33.833333333333336,"42,959.333","1,271",Under
35,39,Charles Warren,64,33.833333333333336,"33,219.417",981,Under
35,34,Phil Mickelson,76,33.833333333333336,"34,355.083","1,015",Under
35,34,Brandt Snedeker,89,33.833333333333336,"45,353.250","1,342",Under
39,37,Woody Austin,93,33.916666666666664,"50,410.500","1,486",Under
40,39,Michael Connell,89,34.0,"46,962.000","1,382",Under
40,45,Billy Mayfair,78,34.0,"39,533.333","1,162",Over
40,39,Cameron Beckman,68,34.0,"36,009.833","1,059",Over
40,37,Vijay Singh,75,34.0,"34,754.750","1,022",Under
44,52,John Senden,103,34.083333333333336,"53,106.417","1,557",Under
44,39,Chris Riley,73,34.083333333333336,"38,337.750","1,124",Under
44,45,Adam Scott,70,34.083333333333336,"31,852.417",935,Under
44,45,Kevin Na,94,34.083333333333336,"46,456.917","1,362",1 Under
44,45,Richard Johnson,90,34.083333333333336,"44,640.667","1,309",Under
44,39,Troy Matteson,84,34.083333333333336,"47,600.833","1,398",Under
50,45,Kris Blanks,91,34.166666666666664,"45,383.167","1,328",Under
