RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION,GIR RANK
1,2,John Huston,76,1.713,"1,591",929,33.87,
2,1,Justin Leonard,80,1.718,"1,508",878,33.03,
3,3,Chris DiMarco,98,1.723,"1,935","1,123",33.75,
3,5,Aaron Baddeley,71,1.723,"1,258",730,34.80,
5,8,Paul Goydos,86,1.728,"1,664",963,32.22,
5,8,Stewart Cink,104,1.728,"2,029","1,174",32.96,
7,6,Scott Verplank,97,1.729,"2,014","1,165",32.62,
7,10,David Frost,80,1.729,"1,556",900,31.14,
9,11,Greg Chalmers,98,1.731,"1,823","1,053",32.79,
10,4,Tiger Woods,74,1.732,"1,455",840,35.05,
11,6,Mike Weir,80,1.733,"1,541",889,32.66,
12,13,Glen Day,103,1.735,"2,118","1,221",30.95,
12,13,Skip Kendall,110,1.735,"2,257","1,301",31.21,
14,12,Jim Furyk,104,1.736,"2,218","1,278",31.08,
14,16,Phil Mickelson,87,1.736,"1,601",922,34.20,
16,18,Robert Gamez,114,1.740,"2,359","1,356",33.65,
16,18,J.P. Hayes,79,1.740,"1,630",937,30.70,
18,21,Scott McCarron,86,1.741,"1,612",926,33.48,
18,13,Vijay Singh,106,1.741,"2,199","1,263",35.21,
20,22,Deane Pappas,75,1.742,"1,413",811,33.79,
20,22,Rod Pampling,87,1.742,"1,698",975,32.82,
22,24,Todd Fischer,97,1.743,"1,888","1,083",30.75,
22,24,Stephen Ames,91,1.743,"1,905","1,093",33.00,
22,24,Tim Petrovic,108,1.743,"2,119","1,216",31.46,
25,30,Chris Riley,96,1.744,"1,739",997,31.86,
26,17,Tim Herron,102,1.745,"2,047","1,173",32.79,
26,18,Jay Haas,89,1.745,"1,679",962,30.66,
26,27,Fred Couples,71,1.745,"1,347",772,33.55,
26,27,Carl Pettersson,80,1.745,"1,586",909,32.01,
30,30,Mark Calcavecchia,84,1.747,"1,691",968,33.75,
30,30,Billy Andrade,100,1.747,"1,995","1,142",31.64,
