RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,MONEY,YTD VICTORIES
1,1,Tiger Woods,15,"$9,941,563",8
2,2,Jim Furyk,24,"$7,213,316",2
3,6,Adam Scott,19,"$4,978,858",1
4,3,Vijay Singh,27,"$4,602,416",1
5,5,Geoff Ogilvy,20,"$4,354,969",2
6,4,Phil Mickelson,19,"$4,256,505",2
7,7,Trevor Immelman,24,"$3,844,189",1
8,8,Stuart Appleby,23,"$3,470,457",2
9,9,Luke Donald,18,"$3,177,408",1
10,10,Brett Wetterich,25,"$3,023,185",1
11,11,David Toms,22,"$2,911,187",1
12,12,Rory Sabbatini,24,"$2,861,751",1
13,23,Joe Durant,28,"$2,811,139",1
14,13,Chad Campbell,25,"$2,811,067",1
15,14,Stewart Cink,26,"$2,755,911",
16,15,Davis Love III,23,"$2,747,206",1
17,17,Rod Pampling,24,"$2,664,673",1
18,16,Carl Pettersson,28,"$2,647,982",1
19,25,Retief Goosen,18,"$2,617,453",
20,18,Brett Quigley,33,"$2,617,419",
21,21,Lucas Glover,31,"$2,587,982",
22,20,Dean Wilson,34,"$2,509,857",1
23,22,Arron Oberholser,23,"$2,467,772",1
24,24,Zach Johnson,27,"$2,452,250",
25,30,Tom Pernice Jr.,33,"$2,396,548",
26,19,Stephen Ames,21,"$2,395,155",1
27,26,K.J. Choi,26,"$2,376,548",1
28,27,Ernie Els,18,"$2,326,220",
29,28,J.J. Henry,28,"$2,301,480",1
30,29,Ben Curtis,26,"$2,256,326",2
31,31,José María Olazábal,18,"$2,120,422",
32,32,Tim Clark,22,"$1,974,931",
33,33,Mike Weir,24,"$1,883,724",
34,34,Steve Stricker,17,"$1,811,811",
35,35,Vaughn Taylor,26,"$1,783,945",
36,36,Troy Matteson,32,"$1,778,597",1
37,37,Tim Herron,27,"$1,776,142",1
38,38,Camilo Villegas,29,"$1,742,112",
39,39,Jerry Kelly,31,"$1,737,800",
40,40,Scott Verplank,25,"$1,729,319",
41,41,Nathan Green,30,"$1,700,803",
42,42,Tom Lehman,20,"$1,692,081",
43,43,Jason Bohn,29,"$1,676,893",
44,44,Frank Lickliter II,29,"$1,655,678",
45,45,John Senden,28,"$1,650,674",1
46,46,Shaun Micheel,29,"$1,632,842",
47,47,Justin Rose,28,"$1,629,288",
48,48,Fred Funk,29,"$1,579,837",
49,49,Sergio Garcia,17,"$1,560,733",
50,50,Richard Johnson,29,"$1,555,376",
51,51,Ian Poulter,15,"$1,553,906",
52,52,Charles Howell III,30,"$1,553,105",
53,53,Chris DiMarco,26,"$1,537,926",
54,54,Daniel Chopra,33,"$1,530,455",
55,55,Aaron Baddeley,25,"$1,516,513",1
56,56,Robert Allenby,22,"$1,503,581",
57,57,John Rollins,28,"$1,498,828",1
58,58,Ben Crane,26,"$1,489,093",
59,59,J.B. Holmes,26,"$1,487,604",1
60,60,Jeff Maggert,26,"$1,430,376",1
61,61,Steve Flesch,33,"$1,417,615",
62,62,Sean O'Hair,30,"$1,411,387",
63,63,Jonathan Byrd,20,"$1,408,418",
64,64,Bo Van Pelt,28,"$1,389,927",
65,65,Billy Mayfair,29,"$1,367,998",
66,66,Chris Couch,27,"$1,356,731",1
67,67,Bob Estes,25,"$1,340,244",
68,68,Padraig Harrington,15,"$1,339,675",
69,69,Greg Owen,24,"$1,316,685",
70,70,Bart Bryant,26,"$1,316,131",
71,71,Jesper Parnevik,24,"$1,308,310",
72,72,Corey Pavin,23,"$1,308,084",1
73,73,Eric Axley,29,"$1,274,580",1
74,74,Jeff Sluman,29,"$1,252,025",
75,75,Nick Watney,29,"$1,243,816",
76,76,Ted Purdy,33,"$1,216,428",
77,77,Heath Slocum,30,"$1,180,681",
