RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,1,Luke List,65,306.3,"37,365",122
2,3,Dustin Johnson,71,305.8,"42,809",140
3,2,Nicolas Colsaerts,50,305.7,"28,736",94
4,4,Gary Woodland,94,303.8,"54,376",179
5,5,Bubba Watson,76,303.7,"44,030",145
6,6,Jason Kokrak,78,303.2,"47,298",156
7,7,Robert Garrigus,69,302.4,"39,315",130
8,8,Rory McIlroy,56,302.2,"33,240",110
9,9,Eric Meierdierks,48,301.9,"27,773",92
10,10,Ryan Palmer,79,301.5,"47,329",157
11,11,Keegan Bradley,88,300.6,"52,302",174
12,12,Martin Flores,83,300.4,"49,874",166
13,13,Steven Bowditch,67,300.2,"39,029",130
14,14,Sean O'Hair,56,299.7,"33,561",112
15,15,Tag Ridings,69,299.6,"38,944",130
16,16,Jason Day,86,299.3,"47,589",159
17,17,Jim Herman,59,299.2,"32,913",110
18,18,Seung-Yul Noh,71,298.8,"40,045",134
19,22,Graham DeLaet,94,298.6,"55,832",187
20,19,Jimmy Walker,84,298.5,"50,147",168
21,20,Scott Piercy,78,298.2,"44,430",149
22,21,Kyle Stanley,71,298.1,"42,332",142
23,24,Adam Scott,61,297.8,"35,733",120
24,22,Robert Streb,75,297.7,"42,270",142
25,25,Shawn Stefani,63,297.2,"37,452",126
26,27,Brad Fritsch,81,297.0,"45,743",154
27,30,Justin Rose,62,296.6,"35,301",119
28,28,Bobby Gates,49,296.2,"26,654",90
29,26,Charl Schwartzel,69,296.1,"40,271",136
30,29,Scott Stallings,79,295.7,"46,720",158
31,30,John Rollins,77,295.6,"43,152",146
32,32,Morgan Hoffmann,64,295.4,"37,807",128
32,32,Charlie Beljan,62,295.4,"36,630",124
34,34,Peter Hanson,45,295.3,"25,099",85
35,35,Harris English,95,295.2,"56,092",190
36,36,Henrik Norlander,70,295.0,"40,114",136
37,37,Charles Howell III,87,294.8,"50,109",170
38,38,Steve LeBrun,66,294.1,"36,471",124
38,38,Troy Matteson,68,294.1,"38,818",132
40,40,Charley Hoffman,84,294.0,"49,394",168
40,40,Ángel Cabrera,73,294.0,"42,922",146
42,51,Billy Horschel,96,293.8,"56,406",192
43,42,Josh Teater,86,293.7,"48,173",164
43,42,Lucas Glover,65,293.7,"38,183",130
45,45,Cameron Percy,68,293.6,"38,751",132
46,46,D.J. Trahan,48,293.4,"26,992",92
46,46,Martin Laird,68,293.4,"39,903",136
48,48,James Hahn,78,293.3,"43,407",148
49,42,Tiger Woods,61,293.2,"35,187",120
50,49,Rory Sabbatini,86,293.1,"48,064",164
50,49,Andres Romero,63,293.1,"34,588",118
52,52,Kevin Chappell,80,292.9,"46,861",160
53,53,Greg Owen,73,292.8,"41,575",142
54,54,Erik Compton,74,292.7,"43,318",148
55,55,Jeff Overton,78,292.4,"45,618",156
56,56,Matt Jones,83,292.3,"48,223",165
57,57,Brandt Jobe,62,292.1,"33,887",116
58,58,Patrick Reed,83,292.0,"48,472",166
59,59,Camilo Villegas,79,291.8,"43,763",150
60,60,Nicholas Thompson,99,291.6,"57,738",198
61,61,Derek Ernst,58,291.5,"33,813",116
62,63,Ryo Ishikawa,72,291.3,"40,206",138
63,65,Nick Watney,88,291.2,"50,093",172
64,69,Sergio Garcia,65,291.0,"36,666",126
64,66,Tommy Gainey,84,291.0,"48,888",168
66,63,Henrik Stenson,65,290.9,"37,239",128
66,67,Boo Weekley,100,290.9,"58,180",200
68,67,Brendan Steele,86,290.7,"47,680",164
69,70,Lee Westwood,70,290.3,"39,775",137
70,71,Carl Pettersson,82,290.2,"46,429",160
