RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,David Toms,64,75.49,653,865
2,2,Tim Clark,75,74.02,775,"1,047"
3,3,Justin Hicks,103,73.46,"1,013","1,379"
4,4,Jim Furyk,84,73.18,816,"1,115"
5,5,Heath Slocum,71,72.41,698,964
6,6,Zach Johnson,97,70.51,949,"1,346"
7,7,Billy Hurley III,86,70.44,846,"1,201"
8,8,Ken Duke,80,70.18,765,"1,090"
9,9,Ryan Moore,86,69.92,825,"1,180"
10,10,Boo Weekley,73,69.57,702,"1,009"
11,11,"Ted Potter, Jr.",68,69.56,658,946
12,12,Graeme McDowell,66,69.20,600,867
13,13,Jeff Maggert,54,68.83,519,754
14,14,Henrik Stenson,56,68.78,520,756
15,15,John Merrick,87,68.62,796,"1,160"
16,16,Kevin Streelman,79,68.04,743,"1,092"
17,18,Brendon de Jonge,109,67.87,"1,033","1,522"
18,20,Russell Knox,92,67.60,866,"1,281"
19,21,David Hearn,97,67.48,913,"1,353"
20,17,Matt Kuchar,91,67.37,830,"1,232"
21,22,Brian Davis,93,67.23,872,"1,297"
22,23,Nicholas Thompson,85,67.08,756,"1,127"
23,19,Billy Horschel,92,67.04,846,"1,262"
24,24,Mark Wilson,69,67.00,607,906
25,25,John Huh,87,66.87,775,"1,159"
26,26,Scott Brown,100,66.55,931,"1,399"
27,27,Jerry Kelly,80,66.49,740,"1,113"
28,28,D.H. Lee,54,66.47,462,695
29,29,Ben Crane,81,66.40,749,"1,128"
30,30,Daniel Summerhays,98,66.30,905,"1,365"
31,31,Andrew Svoboda,77,66.14,711,"1,075"
31,31,Brian Stuard,91,66.14,803,"1,214"
33,33,William McGirt,96,65.94,883,"1,339"
34,34,Y.E. Yang,79,65.41,711,"1,087"
35,36,Chad Campbell,57,65.36,483,739
36,35,Hunter Mahan,88,65.10,774,"1,189"
37,37,Danny Lee,84,65.05,726,"1,116"
38,38,Justin Leonard,75,65.04,679,"1,044"
39,39,Jason Bohn,81,64.95,732,"1,127"
40,40,Spencer Levin,59,64.92,533,821
41,41,Kevin Chappell,100,64.90,869,"1,339"
42,44,Brendon Todd,108,64.85,976,"1,505"
43,42,Ben Curtis,77,64.80,659,"1,017"
44,46,Will MacKenzie,82,64.50,736,"1,141"
45,47,Derek Ernst,80,64.41,686,"1,065"
46,48,J.J. Henry,91,64.39,781,"1,213"
47,49,Ben Martin,80,64.34,718,"1,116"
48,43,Kevin Na,94,64.32,842,"1,309"
49,50,Kevin Stadler,90,64.28,799,"1,243"
49,50,Hudson Swafford,75,64.28,637,991
51,45,John Senden,99,64.25,886,"1,379"
52,52,K.J. Choi,80,64.22,716,"1,115"
53,54,Shawn Stefani,60,64.17,539,840
54,55,Lucas Glover,68,64.02,589,920
55,56,John Peterson,62,64.00,535,836
56,58,Nick Watney,80,63.97,671,"1,049"
57,59,Chris Stroud,88,63.93,787,"1,231"
58,57,Cameron Tringale,111,63.87,988,"1,547"
59,60,Jason Dufner,57,63.76,482,756
60,61,Brandt Snedeker,89,63.70,774,"1,215"
60,61,Briny Baird,50,63.70,444,697
62,53,Russell Henley,92,63.67,822,"1,291"
63,65,Roberto Castro,76,62.95,649,"1,031"
64,68,Bill Haas,107,62.94,924,"1,468"
