RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,1,Olin Browne,99,31.583333333333332,"47,067.500","1,492",Under
2,1,Loren Roberts,54,31.666666666666668,"27,318.500",863,Under
3,3,Luke Donald,67,32.333333333333336,"23,131.250",716,Under
4,4,Jim Furyk,94,32.5,"41,588.167","1,281",1 Under
5,5,Adam Scott,72,32.583333333333336,"30,233.167",929,Under
6,5,Bill Glasson,54,32.666666666666664,"25,736.333",787,Over
7,7,Fred Funk,102,32.75,"48,217.583","1,474",Under
8,8,Kenny Perry,82,33.0,"35,529.333","1,076",Under
8,9,Tommy Armour III,103,33.0,"53,922.750","1,636",Under
10,10,Darron Stiles,78,33.083333333333336,"41,107.917","1,243",Under
10,10,Fred Couples,72,33.083333333333336,"25,644.333",776,Under
12,12,Shigeki Maruyama,99,33.333333333333336,"50,869.750","1,526",Under
12,12,Alex Cejka,84,33.333333333333336,"41,458.250","1,243",Over
14,14,Jeff Hart,63,33.416666666666664,"34,412.667","1,029",Over
15,16,Phillip Price,77,33.583333333333336,"38,228.250","1,137",Under
16,15,David Toms,87,33.75,"38,259.167","1,135",Under
17,18,J.P. Hayes,63,33.833333333333336,"32,139.917",950,Under
17,18,Omar Uresti,84,33.833333333333336,"44,499.333","1,314",Under
17,18,Heath Slocum,103,33.833333333333336,"54,737.250","1,617",Under
20,21,Kirk Triplett,55,34.0,"26,763.833",787,Under
21,22,Chad Campbell,95,34.083333333333336,"46,170.917","1,353",Under
22,17,Justin Leonard,78,34.25,"33,404.500",976,Under
22,22,Robert Gamez,91,34.25,"49,284.000","1,439",Under
22,22,Bob Estes,92,34.25,"48,832.250","1,426",Under
22,22,Jeff Maggert,79,34.25,"36,711.250","1,073",Under
26,31,Tim Clark,92,34.416666666666664,"39,728.917","1,154",Under
26,26,Justin Rose,99,34.416666666666664,"54,572.917","1,584",Under
28,27,Arron Oberholser,65,34.5,"31,454.333",912,Under
28,27,Bo Van Pelt,112,34.5,"57,394.333","1,663",Under
28,27,Joey Sindelar,104,34.5,"60,869.167","1,765",Under
28,27,Dudley Hart,84,34.5,"44,487.000","1,291",Under
32,31,Marco Dawson,82,34.583333333333336,"48,441.250","1,400",Under
32,31,Jeff Brehaut,71,34.583333333333336,"39,205.833","1,133",Under
32,31,Brendan Jones,81,34.583333333333336,"44,751.500","1,293",Under
32,31,Craig Barlow,81,34.583333333333336,"39,142.000","1,132",Under
32,31,Stewart Cink,98,34.583333333333336,"43,917.000","1,269",Under
32,46,Stuart Appleby,84,34.583333333333336,"39,008.500","1,129",Under
38,37,Doug Barron,70,34.666666666666664,"39,877.000","1,150",Under
38,37,Jerry Kelly,101,34.666666666666664,"47,197.750","1,360",Under
38,37,Glen Hnatiuk,59,34.666666666666664,"31,115.333",897,Over
38,37,Rocco Mediate,73,34.666666666666664,"40,342.667","1,165",Under
38,37,Jeff Sluman,94,34.666666666666664,"52,496.583","1,514",Under
38,37,Woody Austin,100,34.666666666666664,"56,011.750","1,614",Under
38,46,Scott Verplank,87,34.666666666666664,"41,104.417","1,185",Under
38,46,Mark Calcavecchia,92,34.666666666666664,"47,408.667","1,367",Under
46,43,K.J. Choi,78,34.75,"33,607.417",968,Under
46,43,Geoff Ogilvy,97,34.75,"46,126.167","1,328",Under
46,43,Mark Wilson,74,34.75,"39,410.500","1,135",Under
49,64,Sergio Garcia,73,34.833333333333336,"32,449.500",931,Under
