RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,1,Bubba Watson,76,314.3,"40,863",130
2,3,Dustin Johnson,58,311.0,"32,970",106
3,2,Rory McIlroy,66,310.5,"37,261",120
4,4,Andrew Loupe,65,308.0,"37,576",122
4,4,J.B. Holmes,86,308.0,"52,979",172
6,6,Brooks Koepka,56,307.0,"34,389",112
7,7,Robert Garrigus,80,306.1,"48,974",160
8,8,Jhonattan Vegas,77,304.8,"45,726",150
9,9,Charles Howell III,106,304.1,"62,028",204
9,9,Gary Woodland,93,304.1,"53,218",175
11,11,Charlie Beljan,76,303.8,"43,741",144
12,12,Ángel Cabrera,69,303.7,"41,915",138
13,13,Adam Scott,68,303.5,"41,275",136
14,13,Graham DeLaet,80,303.4,"42,781",141
14,13,Jason Kokrak,65,303.4,"39,447",130
16,16,Jamie Lovemark,64,302.4,"36,292",120
17,17,Keegan Bradley,89,302.2,"48,344",160
18,19,Jason Day,54,301.2,"28,914",96
19,18,Jimmy Walker,98,301.0,"52,978",176
20,20,Lucas Glover,68,300.6,"37,276",124
21,21,Louis Oosthuizen,50,300.5,"25,240",84
21,21,Sean O'Hair,77,300.5,"46,271",154
23,24,Ryan Palmer,85,300.4,"48,665",162
23,23,Scott Stallings,77,300.4,"43,257",144
25,25,Robert Streb,75,300.0,"42,598",142
26,26,Harris English,95,299.2,"52,660",176
26,26,Charley Hoffman,93,299.2,"53,254",178
28,28,Brendan Steele,89,298.9,"48,417",162
29,29,Steven Bowditch,93,298.1,"55,447",186
30,30,Charl Schwartzel,64,297.8,"36,930",124
31,31,Shawn Stefani,60,297.7,"35,723",120
32,32,Marc Leishman,81,297.6,"45,239",152
33,33,Hudson Swafford,75,297.5,"42,248",142
33,33,Kyle Stanley,87,297.5,"47,008",158
33,37,Rickie Fowler,91,297.5,"45,808",154
36,35,Will Wilcox,51,297.3,"29,133",98
37,36,Martin Laird,66,297.2,"34,477",116
38,37,Derek Ernst,80,297.0,"42,770",144
39,39,Troy Matteson,62,296.7,"34,422",116
40,40,Seung-Yul Noh,92,296.5,"54,555",184
41,41,Davis Love III,74,296.3,"42,664",144
41,41,Matt Jones,83,296.3,"46,823",158
43,43,Kevin Chappell,100,296.2,"54,493",184
44,44,Martin Flores,85,296.0,"47,957",162
45,45,Nick Watney,80,295.8,"39,636",134
45,45,Hunter Mahan,88,295.8,"50,294",170
47,47,Carl Pettersson,91,295.5,"53,784",182
48,47,Morgan Hoffmann,103,295.4,"58,486",198
49,49,Justin Rose,70,295.1,"37,779",128
50,49,Martin Kaymer,65,294.9,"35,391",120
51,49,Hideki Matsuyama,82,294.8,"44,217",150
52,52,Jim Herman,62,294.7,"34,181",116
53,53,Josh Teater,90,294.6,"49,496",168
