RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Greg Chalmers,77,.857,59.966,70
2,3,Steve Stricker,51,.720,25.185,35
3,4,Stephen Ames,49,.713,31.372,44
4,5,Brandt Snedeker,79,.692,40.150,58
5,2,Phil Mickelson,78,.661,37.669,57
5,6,Aaron Baddeley,68,.661,38.976,59
7,7,James Driscoll,76,.650,40.948,63
8,8,Russell Henley,80,.609,40.206,66
9,9,Bryce Molder,82,.594,42.205,71
10,11,Sergio Garcia,65,.591,27.798,47
11,10,Richard Lee,81,.564,40.621,72
12,13,Doug LaBelle II,72,.545,32.180,59
13,12,Luke Donald,60,.528,24.266,46
14,15,Peter Hanson,45,.484,15.973,33
14,15,David Hearn,88,.484,35.344,73
16,17,Harris English,95,.477,39.119,82
17,19,Chris Kirk,89,.456,36.956,81
18,20,Freddie Jacobson,63,.449,20.669,46
19,21,Charles Howell III,87,.438,35.056,80
20,22,Colt Knost,69,.435,25.252,58
21,23,David Lynn,70,.432,24.168,56
22,24,Brian Gay,79,.428,30.362,71
23,14,Tiger Woods,61,.426,18.333,43
24,25,Rickie Fowler,75,.425,25.099,59
25,27,Aaron Watkins,46,.402,14.068,35
26,18,Matt Kuchar,93,.398,27.495,69
27,26,Hunter Mahan,91,.382,25.964,68
28,29,Billy Horschel,96,.381,31.619,83
29,30,Sangmoon Bae,83,.371,26.740,72
30,35,Jason Day,86,.370,22.546,61
31,30,Zach Johnson,84,.365,24.485,67
32,33,Stuart Appleby,88,.353,27.895,79
33,34,Patrick Reed,83,.350,25.875,74
34,35,Justin Leonard,86,.348,26.068,75
35,37,Chris Stroud,88,.340,26.558,78
36,38,Shawn Stefani,63,.338,16.905,50
37,39,K.J. Choi,85,.337,21.244,63
38,40,Bob Estes,66,.335,20.768,62
39,41,Ryan Palmer,79,.333,22.968,69
40,42,Jeff Overton,78,.315,23.314,74
41,48,Webb Simpson,92,.313,21.939,70
42,43,Jonas Blixt,76,.312,20.883,67
43,28,Charl Schwartzel,69,.301,16.246,54
44,45,Mike Weir,60,.288,13.544,47
45,46,Jimmy Walker,84,.276,20.687,75
46,47,Johnson Wagner,64,.271,14.096,52
47,32,Bill Haas,85,.266,18.348,69
48,49,Casey Wittenberg,72,.254,15.516,61
49,50,Keegan Bradley,88,.250,18.002,72
50,51,"Ted Potter, Jr.",65,.247,13.565,55
51,44,Kevin Streelman,86,.246,16.735,68
52,52,Erik Compton,74,.234,15.213,65
53,53,Brian Davis,91,.232,19.228,83
54,54,William McGirt,75,.229,16.251,71
55,55,Daniel Summerhays,83,.221,17.267,78
56,56,Ben Curtis,59,.211,9.689,46
57,57,Jerry Kelly,75,.198,12.687,64
58,58,Morgan Hoffmann,64,.193,10.240,53
59,59,Jason Bohn,70,.185,12.192,66
60,77,Jordan Spieth,82,.182,12.183,67
61,60,Ian Poulter,59,.177,6.906,39
62,61,Charlie Wi,75,.176,11.630,66
63,62,Tom Gillis,69,.173,10.396,60
64,63,Brian Harman,89,.147,11.191,76
65,64,J.J. Henry,83,.146,10.780,74
65,64,Scott Stallings,79,.146,9.620,66
67,66,Matt Jones,83,.145,10.147,70
68,67,Martin Kaymer,61,.137,5.770,42
69,68,Graeme McDowell,53,.136,5.027,37
70,70,Charley Hoffman,84,.128,9.350,73
71,71,Fabián Gómez,65,.124,6.947,56
72,72,Cameron Percy,68,.121,6.908,57
73,73,Andres Romero,63,.117,6.092,52
74,75,Cameron Tringale,80,.104,7.766,75
75,76,Vaughn Taylor,50,.103,4.118,40
76,69,Graham DeLaet,94,.100,8.078,81
77,74,Jim Furyk,80,.092,5.901,64
78,78,Tommy Gainey,84,.089,6.682,75
79,79,Marc Leishman,77,.080,5.144,64
79,79,Martin Flores,83,.080,6.065,76
81,81,Ángel Cabrera,73,.069,3.943,57
82,82,Andrew Svoboda,46,.067,2.342,35
82,82,Brian Stuard,78,.067,4.232,63
84,84,John Merrick,79,.063,4.317,68
85,85,Gary Woodland,94,.062,5.105,83
86,86,Tim Clark,64,.058,2.497,43
87,87,Tag Ridings,69,.053,3.080,58
88,88,Ben Kohles,75,.051,3.144,62
89,89,Scott Langley,79,.040,2.580,64
90,90,Justin Bolli,59,.038,1.744,46
91,92,D.H. Lee,65,.037,2.134,58
92,90,Brendon de Jonge,110,.030,2.936,97
93,93,Brendan Steele,86,.028,2.119,77
94,94,Ben Crane,62,.024,1.321,55
95,95,Josh Teater,86,.022,1.368,61
96,96,Bobby Gates,49,.011,.401,38
97,104,Nick Watney,88,.006,.445,73
98,122,Henrik Stenson,65,.004,.171,44
99,97,Troy Matteson,68,.003,.196,59
100,98,James Hahn,78,.002,.153,67
101,99,Robert Streb,75,.000,-.003,62
102,100,Brandt Jobe,62,-.002,-.080,53
103,101,Chez Reavie,72,-.009,-.584,67
103,101,David Lingmerth,68,-.009,-.526,57
105,103,Dicky Pride,71,-.011,-.652,59
106,106,Alistair Presnell,59,-.020,-.909,46
107,107,Ken Duke,87,-.026,-1.917,75
108,108,Jin Park,52,-.027,-1.140,43
108,105,Adam Scott,61,-.027,-1.174,44
110,109,George McNeill,68,-.028,-1.807,64
110,109,Carl Pettersson,82,-.028,-1.797,64
110,109,Ryan Moore,72,-.028,-1.568,57
113,112,Pat Perez,69,-.039,-2.515,64
114,113,Tim Herron,45,-.041,-1.816,44
115,114,Steven Bowditch,67,-.046,-2.675,58
116,118,Y.E. Yang,56,-.069,-2.827,41
117,119,Matt Every,89,-.092,-7.372,80
118,120,Rory McIlroy,56,-.093,-3.796,41
119,121,Bubba Watson,76,-.096,-5.642,59
120,117,Dustin Johnson,71,-.101,-5.140,51
121,123,Jason Kokrak,78,-.119,-8.601,72
122,124,Michael Thompson,66,-.120,-6.336,53
123,125,Martin Laird,68,-.127,-6.723,53
124,126,Padraig Harrington,52,-.131,-4.584,35
125,127,Ernie Els,63,-.136,-6.547,48
126,128,John Senden,79,-.138,-8.416,61
127,130,Camilo Villegas,79,-.149,-9.556,64
128,131,Henrik Norlander,70,-.160,-9.458,59
129,129,D.A. Points,87,-.161,-10.919,68
130,132,Bo Van Pelt,72,-.181,-9.773,54
130,132,Steve LeBrun,66,-.181,-9.599,53
132,134,Scott Piercy,78,-.184,-11.378,62
133,148,Justin Rose,62,-.188,-8.662,46
134,135,Charlie Beljan,62,-.205,-11.257,55
134,135,Luke Guthrie,82,-.205,-13.313,65
136,137,Mark Wilson,56,-.210,-10.499,50
137,138,Brad Fritsch,81,-.212,-14.429,68
138,139,Derek Ernst,58,-.216,-10.569,49
139,140,Scott Brown,65,-.217,-11.954,55
140,141,Justin Hicks,79,-.219,-14.424,66
141,142,John Huh,88,-.227,-17.011,75
142,143,Jim Herman,59,-.229,-10.081,44
143,154,Jason Dufner,78,-.231,-14.069,61
144,144,Stewart Cink,71,-.238,-13.337,56
145,145,John Rollins,77,-.243,-16.518,68
146,146,D.J. Trahan,48,-.247,-9.373,38
147,147,Chad Campbell,78,-.249,-17.935,72
148,149,Luke List,65,-.267,-13.865,52
149,150,Rory Sabbatini,86,-.274,-19.700,72
150,151,Sean O'Hair,56,-.277,-14.131,51
151,152,Nicholas Thompson,99,-.281,-24.131,86
152,153,Kevin Stadler,83,-.284,-19.575,69
153,155,Jeff Maggert,63,-.316,-18.022,57
154,156,Scott Gardiner,61,-.330,-17.179,52
155,157,Robert Allenby,58,-.337,-17.531,52
155,157,Robert Karlsson,56,-.337,-12.462,37
155,157,Geoff Ogilvy,57,-.337,-14.174,42
158,160,Kevin Chappell,80,-.338,-22.660,67
159,161,Trevor Immelman,73,-.365,-22.637,62
160,162,David Toms,49,-.379,-12.112,32
161,163,Darron Stiles,51,-.427,-17.952,42
161,163,Lee Williams,62,-.427,-21.752,51
163,165,Robert Garrigus,69,-.437,-21.395,49
164,167,David Mathis,71,-.448,-27.791,62
165,168,Michael Bradley,56,-.450,-19.368,43
166,169,Seung-Yul Noh,71,-.463,-28.715,62
167,166,Roberto Castro,97,-.465,-39.019,84
168,170,Lee Westwood,70,-.484,-24.676,51
169,171,Rod Pampling,46,-.564,-19.740,35
170,172,Bud Cauley,67,-.570,-31.917,56
171,173,Nicolas Colsaerts,50,-.579,-20.830,36
172,174,Ricky Barnes,74,-.584,-37.979,65
173,176,Greg Owen,73,-.669,-44.163,66
174,175,Boo Weekley,100,-.676,-56.094,83
175,177,Kyle Stanley,71,-.683,-41.004,60
175,177,Ryo Ishikawa,72,-.683,-37.580,55
177,179,Will Claxton,67,-.709,-39.696,56
178,181,Lucas Glover,65,-.851,-44.265,52
179,182,Vijay Singh,61,-.876,-42.025,48
180,183,Eric Meierdierks,48,-.978,-36.175,37
