RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,1,Rory McIlroy,51,317.2,"27,917",88
2,2,Dustin Johnson,77,315.0,"41,576",132
3,3,Brandon Hagy,85,312.7,"48,162",154
4,4,Luke List,102,311.5,"61,046",196
4,4,Ryan Brehm,83,311.5,"47,965",154
6,6,Andrew Loupe,55,311.3,"32,371",104
7,7,Brooks Koepka,88,311.1,"47,293",152
8,8,Justin Thomas,86,309.7,"43,977",142
9,8,Trey Mullinax,88,309.6,"50,778",164
10,11,Kevin Tway,96,309.2,"54,421",176
10,10,Tony Finau,106,309.2,"61,842",200
12,12,Grayson Murray,94,308.2,"55,483",180
13,13,Gary Woodland,94,307.6,"49,827",162
14,13,J.B. Holmes,83,307.5,"44,286",144
15,15,Adam Scott,58,307.0,"30,697",100
16,16,Xander Schauffele,96,306.8,"56,449",184
17,16,Jason Kokrak,95,306.4,"55,771",182
18,18,Patrick Rodgers,76,306.3,"42,884",140
19,21,Jason Day,71,306.2,"40,421",132
20,19,Bubba Watson,71,305.8,"36,086",118
20,20,Jon Rahm,90,305.8,"50,767",166
22,22,Hudson Swafford,94,305.1,"52,477",172
23,25,Kevin Chappell,95,305.0,"50,022",164
24,23,Jamie Lovemark,98,304.9,"56,102",184
25,24,Smylie Kaufman,76,304.8,"40,842",134
26,26,Hideki Matsuyama,83,303.3,"41,247",136
27,27,Ryan Palmer,61,303.2,"32,140",106
28,28,Matt Jones,64,302.6,"33,891",112
29,29,Harold Varner III,101,302.4,"57,462",190
30,31,Harris English,84,301.9,"45,890",152
30,32,Sergio Garcia,65,301.9,"32,604",108
32,33,Tag Ridings,67,301.6,"35,583",118
33,30,Jhonattan Vegas,95,301.3,"49,414",164
34,34,Graham DeLaet,82,301.1,"45,769",152
35,35,Nick Watney,75,300.9,"41,521",138
35,36,Justin Rose,66,300.9,"38,517",128
37,37,Robert Garrigus,78,300.7,"43,307",144
37,37,Ollie Schniederjans,92,300.7,"52,321",174
39,39,Martin Flores,88,300.6,"48,705",162
40,40,Brendan Steele,89,300.4,"48,061",160
41,41,Byeong Hun An,77,300.3,"38,443",128
