RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,1,Dan Forsman,79,62.32,86,138,+31.00
2,3,José Coceres,68,61.72,79,128,+23.00
3,4,Dennis Paulson,71,61.11,77,126,+28.00
4,5,Geoff Ogilvy,91,61.03,83,136,+26.00
5,6,Len Mattiace,75,60.16,74,123,+41.00
6,7,David Frost,78,60.14,86,143,+42.00
7,9,Loren Roberts,81,59.35,73,123,+37.00
8,10,Hank Kuehne,91,59.31,86,145,+32.00
9,2,Adam Scott,55,59.30,51,86,+25.00
10,11,Rod Pampling,98,58.88,116,197,+52.00
11,12,Nick Price,51,58.65,61,104,+36.00
12,14,Greg Chalmers,70,57.66,64,111,+34.00
13,15,Corey Pavin,83,57.39,66,115,+27.00
14,16,Omar Uresti,85,56.83,79,139,+44.00
15,21,Phil Mickelson,83,56.39,75,133,+25.00
15,17,Rich Beem,81,56.39,75,133,+39.00
17,18,Jay Williamson,100,56.28,103,183,+49.00
18,29,Jay Haas,84,56.12,78,139,+39.00
19,13,Stewart Cink,103,56.07,97,173,+39.00
20,19,Jonathan Byrd,85,55.97,89,159,+58.00
21,20,John Huston,62,55.88,57,102,+17.00
22,30,David Toms,80,55.65,64,115,+32.00
23,21,Brenden Pappas,111,55.56,95,171,+40.00
24,23,Tom Pernice Jr.,103,55.41,87,157,+27.00
25,25,Craig Parry,52,55.32,52,94,+35.00
26,26,Stephen Leaney,84,55.30,73,132,+40.00
27,24,John Daly,79,54.81,74,135,+28.00
28,30,Retief Goosen,56,54.64,53,97,+13.00
29,27,Fred Funk,97,54.60,89,163,+49.00
30,28,Stephen Ames,97,54.55,84,154,+54.00
31,32,Heath Slocum,92,54.26,70,129,+49.00
32,33,Justin Leonard,90,54.01,74,137,+36.00
33,37,Mark Hensby,97,53.98,95,176,+45.00
34,34,Danny Ellis,81,53.97,68,126,+38.00
35,35,Ben Crane,92,53.79,78,145,+44.00
36,51,Mike Weir,75,53.68,73,136,+43.00
36,36,Mark O'Meara,58,53.68,51,95,+45.00
38,41,Tiger Woods,78,53.47,54,101,+26.00
39,38,Kevin Sutherland,86,53.33,72,135,+41.00
39,38,Matt Gogel,86,53.33,72,135,+57.00
41,40,Tim Clark,84,53.28,65,122,+42.00
