RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
160,163,Johnson Wagner,81,282.2,"43,455",154
161,164,Bryce Molder,82,282.0,"45,119",160
161,159,David Mathis,83,282.0,"43,422",154
163,162,Heath Slocum,89,281.9,"49,612",176
164,166,Jim Furyk,87,281.4,"48,401",172
165,165,Nate Smith,66,281.2,"33,743",120
166,168,Tim Petrovic,88,280.5,"47,118",168
167,169,Alex Cejka,59,280.3,"33,076",118
168,169,Justin Leonard,82,280.1,"45,944",164
168,171,Shane Bertsch,62,280.1,"31,370",112
170,173,Kevin Na,84,279.8,"47,009",168
171,167,Garrett Willis,71,279.7,"38,598",138
172,171,Greg Chalmers,88,279.6,"48,090",172
173,173,Michael Connell,76,279.5,"42,484",152
174,175,Chris Riley,76,279.3,"40,221",144
175,176,David Toms,78,279.1,"41,302",148
176,177,Colt Knost,80,279.0,"41,291",148
177,179,Zach Johnson,79,278.2,"43,396",156
178,178,Chris DiMarco,93,277.9,"49,475",178
179,183,Dean Wilson,62,276.8,"34,319",124
180,182,Ben Curtis,66,276.7,"36,522",132
181,181,Richard Johnson,64,276.6,"32,087",116
182,180,Nick O'Hern,89,276.3,"46,965",170
183,184,Jerry Kelly,85,275.6,"44,091",160
184,185,Rocco Mediate,53,275.5,"29,208",106
185,186,Paul Goydos,81,274.8,"44,523",162
186,187,Brian Gay,90,269.8,"46,410",172
