RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,1,Pat Perez,89,62.96,85,135,+25.00
2,2,Tim Clark,92,62.70,79,126,+18.00
3,3,Stephen Ames,82,61.42,78,127,+38.00
4,5,Brett Quigley,96,60.87,98,161,+36.00
5,6,Mike Weir,71,60.83,73,120,+36.00
6,4,Davis Love III,80,60.78,62,102,+22.00
7,7,Kevin Sutherland,89,60.00,75,125,+21.00
8,10,Ben Crane,78,59.83,70,117,+35.00
9,7,Luke Donald,67,59.77,52,87,+26.00
10,9,Joe Ogilvie,103,59.65,102,171,+45.00
11,12,Jim Furyk,94,58.68,71,121,+21.00
12,11,Richard Johnson,50,58.18,32,55,+7.00
13,18,Vijay Singh,111,57.42,89,155,+12.00
14,13,Rory Sabbatini,81,57.38,70,122,+36.00
15,14,Phil Mickelson,81,57.26,67,117,+23.00
16,15,Geoff Ogilvy,97,57.23,91,159,+43.00
17,16,Phillip Price,77,56.91,70,123,+40.00
18,19,Lee Janzen,75,56.60,60,106,+41.00
19,20,José María Olazábal,55,56.58,43,76,+22.00
20,21,Robert Damron,89,56.46,83,147,+48.00
21,22,Gavin Coles,70,56.30,67,119,+45.00
22,23,Brent Geiberger,61,56.25,45,80,+30.00
22,23,Kirk Triplett,55,56.25,36,64,+21.00
22,23,Carl Pettersson,109,56.25,90,160,+40.00
25,27,Brian Gay,101,55.90,90,161,+60.00
26,28,Jeff Sluman,94,55.76,92,165,+52.00
27,29,Ryuji Imada,78,55.64,74,133,+35.00
28,30,Mark Wilson,74,55.45,61,110,+32.00
29,31,Tjaart van der Walt,56,55.42,46,83,+21.00
30,32,Freddie Jacobson,72,55.38,72,130,+47.00
31,26,Justin Leonard,78,55.36,62,112,+27.00
32,33,Omar Uresti,84,55.28,68,123,+39.00
33,34,Brian Davis,75,55.24,58,105,+31.00
34,35,Fred Couples,72,55.21,53,96,+18.00
35,36,Shigeki Maruyama,99,55.19,85,154,+48.00
36,37,Daniel Chopra,108,55.03,93,169,+48.00
37,39,Steve Flesch,90,54.89,73,133,+36.00
38,40,Loren Roberts,54,54.69,35,64,+28.00
39,41,Chris Riley,67,54.64,53,97,+42.00
40,42,Dean Wilson,86,54.62,65,119,+37.00
41,50,Mark Calcavecchia,92,54.61,83,152,+43.00
42,17,Retief Goosen,71,54.55,36,66,+20.00
43,43,Larry Mize,54,54.43,43,79,+25.00
44,44,Stewart Cink,98,54.41,74,136,+46.00
45,45,Justin Rose,99,54.38,87,160,+38.00
46,38,Tiger Woods,76,54.21,58,107,+25.00
47,47,Mark O'Meara,66,54.08,53,98,+45.00
48,48,James Driscoll,73,54.03,67,124,+32.00
49,49,Charlie Wi,67,53.98,61,113,+35.00
50,51,Stephen Leaney,89,53.49,69,129,+42.00
50,46,Scott Verplank,87,53.49,69,129,+43.00
