RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,1,Ben Crane,65,66.00,66,100,+20.00
2,3,Louis Oosthuizen,62,64.29,72,112,+25.00
3,4,Webb Simpson,95,62.91,95,151,+31.00
4,2,Jason Day,75,62.50,85,136,+32.00
5,6,Whee Kim,93,61.82,102,165,+37.00
6,7,Zac Blair,64,61.63,53,86,+24.00
7,5,Kevin Na,91,61.49,91,148,+30.00
8,12,Justin Rose,70,61.16,74,121,+22.00
9,8,Seamus Power,86,60.94,78,128,+29.00
10,9,Matt Kuchar,88,60.81,90,148,+40.00
11,11,Rory Sabbatini,91,60.67,108,178,+28.00
12,10,Rickie Fowler,74,60.50,72,119,+21.00
13,13,Rob Oppenheim,74,60.00,66,110,+29.00
14,15,Alex Cejka,77,59.35,73,123,+34.00
15,14,Phil Mickelson,90,58.60,92,157,+39.00
16,16,Ben Martin,64,57.69,75,130,+34.00
17,17,D.A. Points,63,57.66,64,111,+45.00
18,18,Jonathan Byrd,70,57.65,49,85,+21.00
19,19,Bill Haas,76,57.26,71,124,+27.00
20,20,Aaron Baddeley,84,57.04,77,135,+35.00
21,21,Rafa Cabrera Bello,75,56.90,66,116,+35.00
22,22,Peter Malnati,87,56.69,89,157,+57.00
23,30,Patrick Reed,94,56.68,106,187,+38.00
24,23,Brandt Snedeker,84,56.67,85,150,+48.00
25,24,Cameron Smith,85,56.52,91,161,+41.00
26,25,Charles Howell III,104,55.76,92,165,+45.00
27,26,Scott Stallings,96,55.63,89,160,+40.00
28,27,Danny Lee,88,55.62,99,178,+41.00
29,28,Henrik Stenson,60,55.56,40,72,+21.00
29,28,Nick Taylor,94,55.56,75,135,+38.00
31,31,Emiliano Grillo,94,54.84,85,155,+40.00
32,32,Cameron Percy,56,54.79,40,73,+24.00
33,33,Tyrrell Hatton,58,54.65,47,86,+33.00
34,34,J.B. Holmes,77,54.55,84,154,+30.00
35,49,Paul Casey,74,54.46,55,101,+34.00
36,35,Bud Cauley,55,54.37,56,103,+29.00
37,36,Justin Thomas,91,54.29,76,140,+27.00
38,37,Peter Uihlein,83,54.24,64,118,+36.00
39,39,Beau Hossler,104,54.19,97,179,+40.00
40,40,Abraham Ancer,98,54.12,92,170,+33.00
41,41,Jonathan Randolph,71,54.03,67,124,+44.00
42,42,Chris Kirk,108,54.01,101,187,+38.00
43,38,Patrick Cantlay,87,53.91,62,115,+23.00
44,57,Brooks Koepka,64,53.76,50,93,+23.00
45,43,Austin Cook,107,53.45,93,174,+54.00
46,44,Brandon Harkins,101,53.42,86,161,+53.00
46,44,Chris Stroud,81,53.42,78,146,+47.00
48,46,Jimmy Walker,81,53.33,80,150,+49.00
48,46,Jamie Lovemark,92,53.33,96,180,+43.00
50,48,William McGirt,84,53.28,73,137,+42.00
51,50,Brian Gay,103,53.10,77,145,+55.00
52,51,Zach Johnson,94,52.98,80,151,+38.00
53,52,Cameron Tringale,67,52.81,47,89,+32.00
54,53,Johnson Wagner,75,52.75,48,91,+16.00
55,54,Blayne Barber,69,52.73,58,110,+38.00
56,55,Ryan Armour,109,52.54,93,177,+59.00
57,56,Daniel Summerhays,51,52.44,43,82,+38.00
58,63,Rory McIlroy,64,52.43,54,103,+26.00
59,59,Luke List,98,52.22,94,180,+35.00
60,60,Russell Knox,94,52.21,71,136,+38.00
61,58,Dustin Johnson,77,52.17,48,92,+24.00
62,62,Jonas Blixt,67,52.13,49,94,+26.00
63,63,Hideki Matsuyama,75,52.04,51,98,+40.00
64,65,Harold Varner III,91,51.95,80,154,+33.00
65,66,Joel Dahmen,93,51.85,70,135,+31.00
65,66,Alex Noren,67,51.85,56,108,+28.00
67,68,Sam Saunders,80,51.75,74,143,+46.00
68,90,Billy Horschel,86,51.72,60,116,+37.00
68,69,Patrick Rodgers,97,51.72,75,145,+40.00
70,70,Si Woo Kim,108,51.67,108,209,+65.00
70,60,Tommy Fleetwood,73,51.67,62,120,+46.00
72,71,Ricky Barnes,65,51.65,47,91,+30.00
73,72,Lucas Glover,65,51.61,64,124,+36.00
74,73,Hudson Swafford,73,51.52,51,99,+27.00
74,73,Talor Gooch,78,51.52,68,132,+37.00
76,75,Ollie Schniederjans,91,51.48,87,169,+64.00
77,76,Anirban Lahiri,82,51.46,88,171,+55.00
78,77,Matt Jones,70,51.38,56,109,+38.00
79,78,Jordan Spieth,81,51.33,58,113,+29.00
80,79,Kyle Thompson,50,51.28,40,78,+24.00
81,80,"Ted Potter, Jr.",87,51.27,81,158,+60.00
82,81,Sean O'Hair,67,51.09,70,137,+47.00
83,82,Jason Dufner,71,50.94,54,106,+31.00
84,83,Shane Lowry,64,50.54,47,93,+26.00
85,84,Martin Laird,73,50.48,53,105,+31.00
86,85,Greg Chalmers,56,50.44,57,113,+50.00
87,86,Lanto Griffin,80,50.43,59,117,+46.00
88,87,Ian Poulter,73,50.42,60,119,+49.00
89,88,Adam Scott,78,50.38,67,133,+50.00
90,89,Sung Kang,89,50.34,75,149,+64.00
91,90,Chad Campbell,87,50.00,71,142,+57.00
91,90,Roberto Díaz,72,50.00,68,136,+49.00
91,90,J.T. Poston,73,50.00,56,112,+40.00
94,94,Tom Lovelady,87,49.65,71,143,+48.00
95,95,Wesley Bryan,69,49.58,59,119,+48.00
96,96,Kevin Tway,110,49.44,89,180,+46.00
97,97,Tom Hoge,101,49.36,77,156,+51.00
98,98,Stewart Cink,87,49.29,69,140,+49.00
99,99,Charl Schwartzel,65,49.26,67,136,+42.00
100,100,Xinjun Zhang,81,49.23,64,130,+44.00
101,102,Tyrone Van Aswegen,101,49.01,74,151,+47.00
102,103,Billy Hurley III,70,48.96,47,96,+35.00
103,104,Byeong Hun An,86,48.85,64,131,+44.00
104,105,Matt Every,79,48.84,63,129,+53.00
104,105,Michael Kim,74,48.84,63,129,+45.00
106,101,Marc Leishman,93,48.81,82,168,+55.00
107,107,Andrew Putnam,97,48.80,61,125,+39.00
108,108,Cody Gribble,71,48.72,57,117,+47.00
109,135,Bryson DeChambeau,93,48.67,73,150,+47.00
110,109,Keith Mitchell,99,48.61,70,144,+42.00
110,109,Michael Thompson,62,48.61,35,72,+22.00
112,111,Nate Lashley,51,48.57,34,70,+21.00
113,121,Jon Rahm,71,48.54,50,103,+25.00
114,112,James Hahn,85,48.48,64,132,+41.00
115,113,Troy Merritt,89,48.47,79,163,+49.00
116,114,David Lingmerth,82,48.41,61,126,+51.00
117,122,Xander Schauffele,96,48.40,91,188,+49.00
118,115,Brett Stegmaier,67,48.28,28,58,+20.00
119,149,Tiger Woods,68,48.15,52,108,+33.00
119,116,Conrad Shindler,60,48.15,39,81,+32.00
121,118,Brian Stuard,103,48.03,73,152,+67.00
122,119,Brendan Steele,74,48.00,48,100,+34.00
123,120,Trey Mullinax,75,47.97,59,123,+41.00
124,116,Aaron Wise,90,47.92,69,144,+47.00
125,141,Francesco Molinari,73,47.90,57,119,+37.00
126,123,Steve Wheatcroft,60,47.73,42,88,+35.00
127,124,Vaughn Taylor,83,47.65,71,149,+65.00
128,125,David Hearn,66,47.62,40,84,+30.00
128,125,Martin Piller,79,47.62,70,147,+63.00
130,127,Shawn Stefani,76,47.50,57,120,+42.00
131,128,Branden Grace,67,47.46,56,118,+38.00
132,129,Graeme McDowell,67,47.37,54,114,+36.00
133,130,Adam Hadwin,92,47.34,80,169,+47.00
134,131,Daniel Berger,81,47.33,62,131,+50.00
135,132,Kevin Streelman,94,47.24,77,163,+52.00
136,133,Brian Harman,94,47.22,68,144,+42.00
137,134,Pat Perez,82,47.20,59,125,+48.00
138,136,Ryan Moore,78,47.14,66,140,+43.00
139,137,John Huh,94,47.06,72,153,+62.00
140,138,Stephan Jaeger,81,46.97,62,132,+56.00
141,139,Kiradech Aphibarnrat,51,46.88,45,96,+39.00
142,156,Patton Kizzire,92,46.83,59,126,+43.00
143,140,Zecheng Dou,53,46.51,40,86,+30.00
144,142,Jim Furyk,50,46.25,37,80,+37.00
145,148,Kyle Stanley,93,46.20,73,158,+49.00
146,143,Ryan Palmer,69,46.15,60,130,+42.00
146,143,Denny McCarthy,71,46.15,42,91,+31.00
148,145,Chesson Hadley,103,46.10,71,154,+59.00
149,146,Bronson Burgoon,69,45.95,51,111,+32.00
150,147,Matt Atkins,56,45.65,42,92,+35.00
151,151,Keegan Bradley,98,45.20,80,177,+64.00
152,152,Charley Hoffman,87,45.14,65,144,+60.00
153,153,Robert Streb,78,45.00,63,140,+70.00
154,154,Scott Piercy,84,44.96,58,129,+49.00
155,155,Kelly Kraft,94,44.94,71,158,+70.00
156,157,Dominic Bozzelli,65,44.80,56,125,+54.00
157,158,Ben Silverman,90,44.67,67,150,+61.00
157,158,Harris English,84,44.67,67,150,+44.00
159,160,Tony Finau,105,44.38,75,169,+50.00
160,161,Corey Conners,97,44.27,58,131,+46.00
161,150,Bubba Watson,90,44.20,61,138,+46.00
162,162,Kevin Chappell,77,44.07,52,118,+49.00
163,163,Kevin Kisner,89,44.00,55,125,+47.00
164,164,Nicholas Lindheim,77,43.96,40,91,+36.00
165,165,Grayson Murray,72,43.93,76,173,+67.00
166,166,J.J. Spaun,85,43.90,54,123,+52.00
167,167,Nick Watney,94,43.79,74,169,+51.00
168,168,Derek Fathauer,84,43.62,65,149,+68.00
169,169,Sam Ryder,82,43.48,50,115,+36.00
170,170,Richy Werenski,98,43.33,65,150,+69.00
171,171,Fabián Gómez,88,43.20,54,125,+53.00
171,171,Rod Pampling,62,43.20,54,125,+53.00
171,171,Robert Garrigus,80,43.20,54,125,+41.00
174,174,Chez Reavie,93,43.06,62,144,+62.00
175,175,Scott Brown,102,42.86,69,161,+68.00
176,177,Andrew Landry,82,42.64,55,129,+47.00
177,178,Russell Henley,77,42.54,57,134,+58.00
178,179,Adam Schenk,86,42.36,61,144,+51.00
179,180,J.J. Henry,81,42.22,38,90,+37.00
180,181,Cheng Tsung Pan,104,42.07,61,145,+52.00
181,182,Retief Goosen,60,41.89,31,74,+31.00
182,183,Mackenzie Hughes,80,41.74,48,115,+50.00
183,184,Ryan Blaum,81,41.54,54,130,+48.00
184,185,Gary Woodland,96,41.49,78,188,+70.00
185,186,Brice Garnett,99,41.43,58,140,+52.00
186,187,Hunter Mahan,67,40.95,43,105,+43.00
187,188,Jason Kokrak,99,40.88,65,159,+60.00
188,189,Martin Flores,92,40.65,63,155,+73.00
189,190,Jhonattan Vegas,92,39.64,67,169,+83.00
190,191,Satoshi Kodaira,51,39.53,34,86,+45.00
191,192,Ethan Tracy,72,34.86,38,109,+51.00
192,193,Andrew Yun,51,34.33,23,67,+37.00
193,194,Tyler Duncan,97,32.43,48,148,+67.00
