RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,2,Tiger Woods,78,.853,46.067,54
2,1,Adam Scott,55,.824,32.950,40
3,3,Stewart Cink,103,.683,53.928,79
4,5,Greg Chalmers,70,.651,42.290,65
5,4,Shigeki Maruyama,93,.630,49.165,78
6,6,Loren Roberts,81,.629,42.762,68
7,7,Aaron Baddeley,87,.579,43.993,76
8,9,Zach Johnson,109,.577,51.383,89
9,10,Brad Faxon,94,.535,37.441,70
10,11,Freddie Jacobson,83,.531,33.427,63
11,12,Jesper Parnevik,86,.522,38.607,74
12,13,Steve Stricker,81,.521,35.960,69
13,14,Brent Geiberger,94,.512,43.034,84
14,15,José María Olazábal,56,.483,20.291,42
15,7,Darren Clarke,54,.467,16.343,35
16,16,Richard Johnson,102,.461,42.898,93
17,17,Bob Tway,90,.443,29.269,66
18,18,Patrick Sheehan,113,.439,43.914,100
19,22,Stephen Ames,97,.438,35.078,80
20,19,Len Mattiace,75,.411,28.786,70
21,20,Matt Gogel,86,.404,28.263,70
22,21,Mark O'Meara,58,.369,15.112,41
23,23,Brian Bateman,84,.364,26.553,73
24,24,Brian Gay,96,.361,31.792,88
25,25,Ben Crane,92,.357,28.892,81
26,26,Tommy Tolles,67,.351,21.385,61
27,27,Bo Van Pelt,107,.346,28.331,82
28,28,Tag Ridings,53,.329,14.785,45
29,29,David Peoples,82,.328,24.635,75
30,30,Brenden Pappas,111,.322,31.836,99
31,36,Mark Hensby,97,.320,26.251,82
32,31,Tom Byrum,83,.318,22.869,72
33,32,Tim Petrovic,111,.315,27.402,87
34,33,Corey Pavin,83,.310,20.752,67
35,34,Dan Forsman,79,.293,19.321,66
36,35,David Frost,78,.292,21.863,75
37,38,Hunter Mahan,94,.280,23.279,83
38,39,Harrison Frazar,86,.277,19.662,71
39,40,Nick Price,51,.275,9.889,36
40,68,Mike Weir,75,.271,14.909,55
40,41,Frank Lickliter II,89,.271,21.120,78
40,41,Dean Wilson,99,.271,24.687,91
43,43,Scott McCarron,88,.269,20.167,75
44,44,Geoff Ogilvy,91,.264,20.034,76
45,49,Jerry Kelly,113,.255,22.461,88
46,45,Tom Carter,113,.254,24.351,96
47,46,Glen Day,101,.252,22.191,88
47,46,Jonathan Byrd,85,.252,18.377,73
49,48,Carl Pettersson,100,.247,19.509,79
50,36,Todd Hamilton,92,.233,16.283,70
51,50,David Morland IV,73,.230,14.233,62
52,51,Stephen Leaney,84,.228,13.016,57
53,52,José Coceres,68,.222,13.518,61
53,66,Retief Goosen,56,.222,8.876,40
55,53,Duffy Waldorf,79,.221,13.066,59
56,54,Skip Kendall,99,.220,17.604,80
57,61,Scott Verplank,92,.216,14.665,68
58,56,Michael Allen,87,.208,16.020,77
