RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Jerry Kelly,84,73.00,814,"1,115"
2,2,Heath Slocum,93,71.69,851,"1,187"
3,3,Tim Clark,60,71.60,600,838
4,4,Jim Furyk,85,70.71,828,"1,171"
5,6,Graeme McDowell,55,70.11,530,756
6,7,David Toms,60,69.75,565,810
7,5,Ben Curtis,62,69.70,566,812
8,9,Chris DiMarco,83,69.24,761,"1,099"
9,8,Gary Christian,91,68.95,817,"1,185"
10,12,Richard Lee,71,68.72,624,908
11,11,John Huh,99,68.69,950,"1,383"
12,13,Mark Wilson,84,68.62,748,"1,090"
13,10,Chez Reavie,83,68.57,792,"1,155"
14,14,Zach Johnson,95,68.53,897,"1,309"
15,17,Colt Knost,79,68.00,731,"1,075"
16,15,John Mallinger,74,67.93,661,973
17,16,Hunter Mahan,88,67.74,777,"1,147"
18,18,Brian Davis,91,67.24,815,"1,212"
19,20,Jeff Maggert,83,67.16,777,"1,157"
20,22,Russell Knox,72,67.03,618,922
21,19,Jason Dufner,83,66.90,764,"1,142"
22,21,Billy Horschel,63,66.58,512,769
23,35,Tom Gillis,75,66.09,690,"1,044"
24,23,John Senden,81,65.93,716,"1,086"
25,25,Kevin Na,80,65.91,727,"1,103"
26,26,Kris Blanks,65,65.84,586,890
27,23,Blake Adams,107,65.83,946,"1,437"
28,27,Justin Rose,69,65.82,624,948
29,28,Ryan Moore,89,65.75,816,"1,241"
30,42,Ken Duke,104,65.69,915,"1,393"
31,33,Chris Couch,61,65.49,537,820
32,34,Stuart Appleby,75,65.45,648,990
33,30,Brian Harman,101,65.44,922,"1,409"
34,37,Will Claxton,99,65.36,866,"1,325"
34,32,Roberto Castro,92,65.36,785,"1,201"
36,36,Billy Mayfair,90,65.20,783,"1,201"
37,38,Luke Donald,63,65.16,563,864
38,40,Boo Weekley,74,65.15,600,921
39,39,Ian Poulter,57,65.13,510,783
40,40,Kevin Stadler,85,65.09,701,"1,077"
41,46,Gavin Coles,72,65.08,600,922
42,43,Matt Kuchar,86,65.06,743,"1,142"
43,29,Jason Bohn,81,65.00,678,"1,043"
44,45,Bo Van Pelt,84,64.79,749,"1,156"
45,31,Scott Dunlap,57,64.66,461,713
45,44,D.A. Points,88,64.66,796,"1,231"
47,47,John Merrick,83,64.46,711,"1,103"
48,48,Rickie Fowler,84,64.43,748,"1,161"
49,54,Cameron Tringale,88,64.41,789,"1,225"
50,49,Ben Crane,73,64.36,650,"1,010"
51,50,John Rollins,81,64.25,690,"1,074"
52,51,"Ted Potter, Jr.",77,64.18,654,"1,019"
53,,Henrik Stenson,51,64.13,422,658
54,52,K.J. Choi,71,64.08,628,980
55,53,Tiger Woods,69,63.93,599,937
56,55,Bill Haas,79,63.62,696,"1,094"
57,56,Alexandre Rocha,62,63.47,497,783
58,57,Brendan Steele,77,63.44,649,"1,023"
59,59,Brendon de Jonge,115,63.42,983,"1,550"
60,62,Nick O'Hern,78,63.34,653,"1,031"
61,58,Steve Stricker,73,63.31,623,984
62,61,David Mathis,83,63.22,679,"1,074"
63,60,J.J. Henry,93,63.18,748,"1,184"
64,63,Rod Pampling,88,62.72,700,"1,116"
65,70,Kyle Thompson,51,62.65,411,656
66,66,Brandt Jobe,57,62.48,463,741
67,67,Louis Oosthuizen,65,62.41,548,878
68,65,Steve Wheatcroft,56,62.37,436,699
69,68,Pat Perez,81,62.33,685,"1,099"
70,69,Johnson Wagner,88,62.32,769,"1,234"
71,75,Chris Stroud,86,62.31,749,"1,202"
72,71,David Hearn,95,62.25,826,"1,327"
73,72,Charley Hoffman,88,62.23,763,"1,226"
74,64,Rocco Mediate,70,62.22,555,892
75,94,Roland Thatcher,55,62.19,426,685
76,73,Lee Westwood,60,62.17,470,756
77,79,Brian Gay,91,62.10,752,"1,211"
78,76,Geoff Ogilvy,73,62.01,622,"1,003"
78,81,Camilo Villegas,79,62.01,666,"1,074"
80,77,Greg Chalmers,88,62.00,752,"1,213"
81,79,Daniel Summerhays,81,61.93,667,"1,077"
82,78,Jeff Overton,101,61.91,837,"1,352"
83,82,Stephen Ames,54,61.88,448,724
84,84,Hunter Haas,69,61.82,544,880
85,74,Kyle Reifers,86,61.70,704,"1,141"
86,86,Cameron Beckman,81,61.67,663,"1,075"
87,96,Charlie Wi,86,61.65,738,"1,197"
87,87,Keegan Bradley,90,61.65,762,"1,236"
89,89,Kevin Streelman,89,61.63,747,"1,212"
90,88,Vijay Singh,99,61.62,851,"1,381"
91,89,Bryce Molder,83,61.59,680,"1,104"
92,91,Webb Simpson,77,61.47,654,"1,064"
93,92,Charl Schwartzel,56,61.41,463,754
94,98,Dicky Pride,62,61.38,464,756
95,85,D.J. Trahan,73,61.33,590,962
96,93,Josh Teater,97,61.30,795,"1,297"
97,103,Tom Pernice Jr.,62,61.26,495,808
98,97,Sergio Garcia,57,61.15,477,780
99,99,George McNeill,85,61.14,689,"1,127"
100,95,Arjun Atwal,79,61.12,621,"1,016"
101,83,Kevin Kisner,69,61.10,520,851
102,99,Y.E. Yang,64,61.06,530,868
103,102,Rory Sabbatini,84,61.04,716,"1,173"
104,110,Matt Every,80,60.89,646,"1,061"
105,105,Bob Estes,78,60.72,660,"1,087"
106,114,Vaughn Taylor,81,60.59,635,"1,048"
107,113,William McGirt,96,60.58,776,"1,281"
108,104,Billy Hurley III,70,60.56,559,923
109,106,Brandt Snedeker,81,60.50,657,"1,086"
110,107,Graham DeLaet,79,60.36,632,"1,047"
111,101,Justin Leonard,79,60.34,630,"1,044"
112,108,Bud Cauley,99,60.33,832,"1,379"
113,108,Scott Brown,65,60.22,495,822
114,116,Chad Campbell,84,60.19,706,"1,173"
115,111,Greg Owen,90,60.16,755,"1,255"
116,126,Patrick Sheehan,58,60.11,437,727
117,112,Garth Mulroy,59,60.10,479,797
118,119,Sean O'Hair,84,59.98,706,"1,177"
119,114,Tim Herron,88,59.93,736,"1,228"
120,118,Padraig Harrington,67,59.86,525,877
121,119,Trevor Immelman,76,59.70,634,"1,062"
121,129,Chris Kirk,93,59.70,745,"1,248"
123,121,Adam Scott,59,59.61,484,812
124,122,Kyle Stanley,86,59.49,699,"1,175"
125,117,Harris English,98,59.47,813,"1,367"
126,123,Michael Thompson,80,59.43,662,"1,114"
127,125,Seung-Yul Noh,105,59.34,804,"1,355"
127,127,Robert Allenby,76,59.34,629,"1,060"
129,128,Martin Laird,77,59.16,604,"1,021"
130,133,Davis Love III,64,59.11,529,895
131,136,Bill Lunde,83,59.10,617,"1,044"
132,134,Nathan Green,73,58.97,536,909
133,130,Jonas Blixt,72,58.90,576,978
134,131,Nick Watney,97,58.86,774,"1,315"
135,132,Bubba Watson,68,58.84,546,928
136,124,Brendon Todd,78,58.77,573,975
137,135,Bobby Gates,87,58.60,678,"1,157"
138,137,Erik Compton,81,58.33,595,"1,020"
139,140,Charlie Beljan,61,58.19,430,739
140,139,Scott Stallings,78,58.10,635,"1,093"
140,141,Ricky Barnes,92,58.10,714,"1,229"
142,142,Sangmoon Bae,81,58.08,622,"1,071"
143,145,Freddie Jacobson,61,57.98,487,840
144,144,Ryan Palmer,81,57.95,656,"1,132"
145,146,Jonathan Byrd,69,57.88,551,952
145,138,Miguel Angel Carballo,73,57.88,525,907
147,143,Mathew Goggin,65,57.86,493,852
148,147,Carl Pettersson,92,57.63,740,"1,284"
149,148,Sung Kang,75,57.53,569,989
150,153,Danny Lee,74,57.44,529,921
151,150,Spencer Levin,81,57.30,632,"1,103"
152,149,Tommy Biershenk,74,57.22,543,949
153,151,Ángel Cabrera,54,57.02,398,698
154,152,Kevin Chappell,91,56.73,687,"1,211"
155,154,Ernie Els,80,56.71,617,"1,088"
156,155,Rory McIlroy,60,56.61,428,756
157,159,Robert Garrigus,89,56.58,701,"1,239"
158,156,Dustin Johnson,70,56.30,527,936
159,161,Ryuji Imada,78,56.13,595,"1,060"
