RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,1,Robert Garrigus,83,312.0,"49,299",158
2,2,Bubba Watson,73,311.4,"45,471",146
3,3,Dustin Johnson,85,308.3,"51,792",168
4,4,Tag Ridings,50,307.4,"27,053",88
5,5,Gary Woodland,53,307.3,"28,889",94
6,6,Nick Watney,86,305.3,"52,505",172
7,7,J.B. Holmes,74,304.6,"45,088",148
8,8,Ángel Cabrera,55,304.1,"32,846",108
9,9,Troy Matteson,95,301.7,"54,911",182
10,10,Harrison Frazar,93,301.0,"53,582",178
11,12,Charley Hoffman,97,300.8,"58,363",194
12,11,Scott Piercy,85,300.6,"48,703",162
13,13,Phil Mickelson,66,300.1,"37,818",126
14,14,Davis Love III,89,299.9,"52,188",174
14,14,Martin Laird,72,299.9,"41,989",140
16,16,Anthony Kim,76,299.0,"44,255",148
17,18,Marc Leishman,91,298.6,"51,951",174
18,19,Andres Romero,58,298.5,"34,024",114
18,19,Sergio Garcia,59,298.5,"34,630",116
18,16,Charles Warren,63,298.5,"34,024",114
21,21,Tiger Woods,64,298.4,"36,997",124
22,22,Bill Haas,91,298.3,"51,902",174
23,23,Matt Jones,56,298.0,"29,797",100
24,24,Fred Couples,54,297.5,"32,125",108
25,25,Lucas Glover,93,297.4,"55,322",186
26,26,Ryan Palmer,78,297.1,"46,350",156
26,28,Daniel Chopra,89,297.1,"52,888",178
28,28,Hunter Mahan,94,297.0,"54,648",184
29,28,John Merrick,91,296.9,"49,288",166
30,27,Leif Olson,51,296.5,"27,869",94
30,31,Kevin Streelman,97,296.5,"55,157",186
30,31,John Rollins,92,296.5,"52,179",176
33,33,Jonathan Byrd,89,295.9,"50,307",170
33,34,Ryan Moore,89,295.9,"50,299",170
35,35,Steve Marino,98,295.7,"55,584",188
36,36,Jason Day,61,295.3,"31,307",106
37,39,Adam Scott,53,294.9,"30,667",104
38,37,Nicholas Thompson,96,294.8,"55,421",188
39,40,Stewart Cink,79,294.7,"43,025",146
40,41,John Senden,100,294.2,"58,836",200
41,43,Vijay Singh,71,293.9,"40,556",138
41,44,Jeff Overton,92,293.9,"51,724",176
43,42,Michael Letzig,96,293.8,"54,051",184
44,44,J.J. Henry,97,293.7,"54,627",186
45,44,Ted Purdy,101,293.6,"54,601",186
46,47,Sean O'Hair,80,293.3,"44,579",152
47,48,Rory Sabbatini,81,293.2,"46,911",160
48,50,Kenny Perry,92,293.1,"53,339",182
48,50,Robert Allenby,71,293.1,"41,040",140
50,53,Camilo Villegas,76,293.0,"42,778",146
50,50,Peter Tomasulo,61,293.0,"32,232",110
52,48,Matt Bettencourt,98,292.9,"57,409",196
53,54,David Duval,56,292.7,"32,784",112
53,55,Charles Howell III,99,292.7,"53,268",182
55,56,Ricky Barnes,67,292.6,"34,522",118
56,58,Bo Van Pelt,100,292.5,"53,825",184
57,57,Bill Lunde,83,292.4,"47,361",162
58,58,Retief Goosen,74,292.3,"42,679",146
59,61,Tim Herron,87,292.1,"50,819",174
59,61,Greg Owen,97,292.1,"51,997",178
61,60,George McNeill,82,292.0,"46,727",160
62,65,Boo Weekley,79,291.7,"44,920",154
63,66,James Nitties,86,291.5,"47,811",164
63,66,Geoff Ogilvy,78,291.5,"41,981",144
65,66,Joe Ogilvie,85,291.4,"48,366",166
65,63,Kris Blanks,60,291.4,"31,469",108
67,69,Y.E. Yang,83,291.3,"46,029",158
68,71,Ernie Els,70,291.2,"38,437",132
69,72,Mathew Goggin,76,291.1,"43,081",148
70,74,Chad Campbell,90,291.0,"50,050",172
70,75,Jimmy Walker,74,291.0,"39,581",136
72,69,Jason Gore,74,290.7,"40,123",138
72,76,Chris Stroud,88,290.7,"48,833",168
74,77,Steve Lowery,83,290.6,"48,237",166
75,78,Brendon de Jonge,90,290.3,"49,925",172
75,78,Kevin Stadler,65,290.3,"33,099",114
77,80,Stuart Appleby,79,290.1,"45,255",156
78,85,Will MacKenzie,69,289.4,"39,931",138
79,88,D.J. Trahan,96,289.2,"55,519",192
80,82,Michael Allen,73,289.1,"39,896",138
80,85,Kevin Sutherland,96,289.1,"54,922",190
82,90,Brad Adamonis,70,289.0,"39,303",136
83,82,Jeff Maggert,79,288.9,"45,654",158
84,85,Brian Bateman,55,288.7,"31,760",110
84,84,Matt Weibring,65,288.7,"34,062",118
86,88,Carl Pettersson,86,288.6,"49,643",172
87,92,Pat Perez,74,288.5,"41,542",144
88,91,Johnson Wagner,81,288.4,"46,720",162
89,93,Brian Vranesh,51,288.2,"27,089",94
90,96,Justin Rose,71,288.1,"40,332",140
90,94,Rod Pampling,72,288.1,"40,909",142
92,96,Aaron Baddeley,66,287.8,"37,414",130
93,96,Brett Quigley,92,287.5,"48,302",168
94,100,Stephen Ames,77,287.4,"43,107",150
