RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS
1,1,Sergio Garcia,65,1.211,60.568,50
2,2,Vijay Singh,112,1.116,99.362,89
3,4,Scott Verplank,92,.971,66.045,68
4,3,David Toms,80,.968,57.089,59
5,5,Justin Rose,77,.882,55.557,63
6,6,Tiger Woods,78,.873,47.152,54
7,7,Jay Haas,84,.862,52.561,61
8,10,Jeff Sluman,98,.760,62.321,82
9,8,Stewart Cink,103,.724,57.220,79
10,12,Scott Hoch,52,.721,33.144,46
11,18,Stephen Ames,97,.712,56.928,80
12,11,Ernie Els,62,.709,29.069,41
13,13,John Huston,62,.701,31.528,45
14,15,Lee Janzen,84,.692,48.410,70
15,16,Tim Clark,84,.691,49.042,71
16,19,Joey Sindelar,100,.679,60.427,89
17,20,Robert Allenby,93,.675,48.592,72
18,13,Chad Campbell,100,.660,50.849,77
19,24,Jerry Kelly,113,.616,54.224,88
19,22,Bernhard Langer,59,.616,25.890,42
21,33,Retief Goosen,56,.604,24.166,40
22,17,Phil Mickelson,83,.597,32.217,54
23,23,Tom Lehman,70,.596,34.586,58
24,9,Adam Scott,55,.571,22.835,40
25,26,Duffy Waldorf,79,.568,33.518,59
26,27,Luke Donald,72,.563,34.896,62
27,28,Dudley Hart,60,.557,25.625,46
28,21,Kenny Perry,79,.512,31.732,62
29,25,Chris DiMarco,105,.508,39.145,77
30,30,Shigeki Maruyama,93,.493,38.424,78
31,31,Bart Bryant,73,.484,31.442,65
32,32,Bob Estes,73,.480,24.495,51
33,33,José María Olazábal,56,.474,19.910,42
34,29,Fred Funk,97,.456,37.817,83
35,35,Joe Durant,85,.453,34.457,76
36,37,Vaughn Taylor,84,.426,32.836,77
37,36,Carlos Franco,99,.413,37.196,90
38,39,Justin Leonard,90,.379,24.616,65
39,40,Robert Gamez,103,.378,34.022,90
40,41,Briny Baird,100,.374,30.262,81
41,42,Fred Couples,54,.370,16.282,44
42,43,Cameron Beckman,99,.364,31.634,87
43,44,Robert Damron,92,.356,29.906,84
44,45,Mike Weir,75,.351,19.309,55
45,46,Woody Austin,94,.350,29.066,83
46,47,Steve Lowery,91,.339,25.072,74
47,38,K.J. Choi,83,.338,21.308,63
48,49,Rory Sabbatini,89,.322,23.838,74
48,48,Ted Purdy,114,.322,33.129,103
50,50,Jeff Maggert,60,.303,15.160,50
51,51,Danny Briggs,85,.298,22.360,75
52,52,Peter Lonard,68,.294,15.899,54
53,53,Kirk Triplett,88,.292,19.267,66
54,54,Billy Andrade,104,.291,26.808,92
55,55,J.L. Lewis,106,.285,25.356,89
56,56,Loren Roberts,81,.277,18.819,68
57,57,Ben Curtis,56,.274,11.251,41
58,58,Bob Tway,90,.269,17.732,66
59,60,Heath Slocum,92,.257,21.330,83
60,61,Alex Cejka,76,.255,14.553,57
61,62,Brad Faxon,94,.251,17.575,70
62,63,Kent Jones,99,.247,21.524,87
63,64,Rocco Mediate,53,.242,8.721,36
64,59,Steve Flesch,109,.240,19.705,82
65,65,Davis Love III,85,.232,14.169,61
65,65,Arron Oberholser,77,.232,14.393,62
67,67,John Riegger,53,.231,11.320,49
68,68,Brian Gay,96,.230,20.217,88
69,69,David Peoples,82,.225,16.890,75
70,71,Tom Pernice Jr.,103,.222,19.117,86
71,72,Tim Herron,84,.212,13.963,66
72,73,Freddie Jacobson,83,.209,13.187,63
73,74,Bo Van Pelt,107,.194,15.927,82
74,75,Chris Riley,78,.192,10.174,53
75,76,Frank Lickliter II,89,.191,14.910,78
76,77,Nick Price,51,.182,6.569,36
77,78,John Senden,99,.177,15.225,86
78,79,John Cook,57,.175,8.377,48
79,80,Tom Byrum,83,.174,12.496,72
80,81,Michael Allen,87,.160,12.312,77
81,83,Omar Uresti,85,.147,11.207,76
82,84,David Branshaw,84,.140,10.061,72
83,85,Neal Lancaster,106,.133,12.360,93
84,82,Zach Johnson,109,.128,11.410,89
85,88,Ryan Palmer,103,.120,10.817,90
86,89,Jason Bohn,98,.119,10.434,88
87,90,Kevin Na,100,.115,9.903,86
87,90,Todd Fischer,104,.115,10.615,92
89,92,Olin Browne,92,.112,8.880,79
90,93,Russ Cochran,61,.104,5.738,55
91,94,Patrick Sheehan,113,.096,9.558,100
92,69,Todd Hamilton,92,.093,6.530,70
93,95,Chris Smith,105,.082,7.629,93
94,96,Scott McCarron,88,.081,6.051,75
95,97,Jonathan Kaye,79,.080,4.986,62
96,98,Mark Calcavecchia,79,.069,4.149,60
97,86,Stuart Appleby,84,.066,3.879,59
98,99,Corey Pavin,83,.063,4.189,67
99,100,Notah Begay III,71,.060,3.788,63
99,100,Pat Perez,102,.060,5.118,86
101,102,Brett Quigley,102,.058,5.065,88
102,87,John Daly,79,.042,2.794,67
103,103,D.J. Brigman,79,.041,2.856,69
104,104,Lucas Glover,95,.036,3.061,84
105,105,Stephen Leaney,84,.032,1.818,57
106,106,Craig Barlow,80,.028,1.916,69
107,107,José Coceres,68,.022,1.367,61
108,108,Charles Howell III,104,.018,1.379,76
109,109,Rod Pampling,98,.014,1.062,78
110,110,Geoff Ogilvy,91,.008,.630,76
111,112,Hidemichi Tanaka,89,.003,.212,78
112,113,Steve Stricker,81,.002,.160,69
113,114,Shaun Micheel,93,-.008,-.589,70
114,115,Richard Johnson,102,-.028,-2.581,93
115,116,Steve Elkington,64,-.031,-1.749,56
116,117,Darren Clarke,54,-.033,-1.164,35
117,118,Craig Parry,52,-.037,-1.352,37
118,119,Carl Pettersson,100,-.040,-3.191,79
119,120,J.J. Henry,103,-.045,-4.110,91
