RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,MONEY,YTD VICTORIES
1,1,Jordan Spieth,25,"$12,030,465",5
2,2,Jason Day,20,"$9,403,330",5
3,3,Bubba Watson,19,"$6,876,797",2
4,4,Rickie Fowler,21,"$5,773,430",2
5,5,Dustin Johnson,21,"$5,509,467",1
6,6,Justin Rose,20,"$5,462,677",1
7,7,Rory McIlroy,12,"$4,863,312",2
8,8,Zach Johnson,25,"$4,801,487",1
9,10,Henrik Stenson,16,"$4,755,070",
10,9,Jimmy Walker,24,"$4,521,350",2
11,11,Charley Hoffman,28,"$4,041,089",1
12,13,J.B. Holmes,25,"$4,037,430",1
13,20,Danny Lee,36,"$3,965,933",1
14,12,Robert Streb,30,"$3,947,424",1
15,15,Hideki Matsuyama,25,"$3,758,619",
16,14,Jim Furyk,19,"$3,732,664",1
17,16,Brandt Snedeker,27,"$3,698,056",1
18,17,Patrick Reed,27,"$3,590,566",1
19,19,Brooks Koepka,23,"$3,571,900",1
20,18,Kevin Kisner,30,"$3,567,939",
21,22,Paul Casey,24,"$3,488,311",
22,21,Louis Oosthuizen,20,"$3,251,174",
23,24,Steven Bowditch,32,"$3,075,410",1
24,23,Bill Haas,25,"$3,064,024",1
25,25,Daniel Berger,31,"$3,028,901",
26,29,Kevin Na,27,"$2,820,766",
27,31,Scott Piercy,28,"$2,780,027",1
28,33,Matt Kuchar,25,"$2,774,170",
29,26,David Lingmerth,28,"$2,736,378",1
30,27,Ben Martin,27,"$2,717,305",1
31,28,Sergio Garcia,15,"$2,670,229",
32,30,Ryan Moore,24,"$2,642,306",1
33,32,Gary Woodland,24,"$2,605,083",
34,34,Sangmoon Bae,30,"$2,599,632",1
35,35,Chris Kirk,21,"$2,369,326",1
36,36,Jason Bohn,27,"$2,337,580",
37,37,Justin Thomas,30,"$2,278,564",
38,38,Phil Mickelson,19,"$2,154,200",
39,39,Russell Henley,24,"$2,110,774",
40,40,Tony Finau,31,"$2,095,186",
41,41,Troy Merritt,29,"$2,092,669",1
42,42,James Hahn,28,"$2,064,783",1
43,43,Webb Simpson,22,"$2,046,260",
44,44,Matt Jones,25,"$1,995,553",
45,45,Ryan Palmer,22,"$1,974,523",
46,48,Harris English,29,"$1,971,687",
47,46,Russell Knox,28,"$1,916,666",
48,47,Cameron Tringale,28,"$1,837,164",
49,49,David Hearn,30,"$1,817,043",
50,50,Brendon Todd,27,"$1,809,192",
51,51,Marc Leishman,23,"$1,762,267",
52,52,Brendan Steele,24,"$1,759,484",
53,53,Shawn Stefani,26,"$1,757,803",
54,54,Billy Horschel,28,"$1,735,751",
55,55,Nick Watney,28,"$1,733,873",
56,56,Ian Poulter,19,"$1,690,587",
57,57,Boo Weekley,24,"$1,689,914",
58,58,Sean O'Hair,26,"$1,662,300",
59,59,Fabián Gómez,26,"$1,651,012",1
