RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,1,Tiger Woods,55,31.583333333333332,"21,020.917",665,1 Under
1,1,Steve Stricker,64,31.583333333333332,"29,378.917",930,1 Under
3,3,Jim Furyk,89,31.666666666666668,"38,404.750","1,214",1 Under
4,4,Tim Clark,80,32.0,"33,312.083","1,041",Under
5,5,Scott Verplank,88,32.166666666666664,"39,271.667","1,221",Under
6,6,Fred Funk,106,32.25,"49,109.417","1,524",Under
6,6,Heath Slocum,96,32.25,"48,477.083","1,504",Under
6,6,Kenny Perry,73,32.25,"34,651.500","1,074",Under
9,9,Justin Rose,98,32.5,"50,037.417","1,540",Under
9,9,Kirk Triplett,58,32.5,"28,445.833",876,Under
11,11,Omar Uresti,61,32.583333333333336,"29,661.833",911,Under
12,13,Robert Gamez,94,32.75,"48,114.167","1,469",Over
13,14,Chris DiMarco,83,32.916666666666664,"35,836.583","1,090",Under
14,12,Stewart Cink,93,33.25,"43,605.917","1,311",Under
15,15,Bart Bryant,87,33.5,"42,659.500","1,275",Under
16,16,Joey Sindelar,90,33.583333333333336,"45,748.667","1,363",Over
16,16,Ian Poulter,53,33.583333333333336,"25,285.583",752,Under
16,16,Bob May,65,33.583333333333336,"32,216.583",960,Under
19,19,Jerry Smith,94,33.75,"50,921.500","1,510",Under
19,19,Brian Gay,107,33.75,"60,277.333","1,788",Under
19,19,Adam Scott,70,33.75,"30,995.250",918,Under
22,22,Jeff Sluman,101,33.833333333333336,"50,327.917","1,486",Under
22,22,J.P. Hayes,55,33.833333333333336,"30,114.833",890,Under
24,24,Briny Baird,81,33.916666666666664,"42,550.417","1,256",Under
24,24,Padraig Harrington,54,33.916666666666664,"23,101.833",681,Under
24,24,David Toms,76,33.916666666666664,"37,646.000","1,110",Under
27,27,Olin Browne,108,34.0,"52,306.500","1,537",Under
27,27,Justin Leonard,83,34.0,"39,569.583","1,163",Under
27,27,Skip Kendall,72,34.0,"35,700.167","1,049",Under
30,36,Trevor Immelman,86,34.083333333333336,"44,674.250","1,310",1 Under
30,30,John Cook,67,34.083333333333336,"33,506.750",983,Under
30,30,Zach Johnson,98,34.083333333333336,"47,096.000","1,381",Under
30,30,Corey Pavin,74,34.083333333333336,"34,928.500","1,026",Under
