RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Graeme McDowell,66,.882,40.589,46
2,2,Aaron Baddeley,74,.872,51.445,59
3,3,Greg Chalmers,85,.856,62.482,73
4,4,Matt Every,85,.733,47.669,65
5,5,Freddie Jacobson,91,.704,56.992,81
6,6,Brendon Todd,108,.664,60.431,91
7,8,Luke Donald,57,.517,22.733,44
8,9,Morgan Hoffmann,103,.506,45.523,90
9,10,Justin Leonard,75,.496,30.751,62
10,12,Daniel Summerhays,98,.492,43.275,88
11,13,Stuart Appleby,92,.487,40.874,84
12,7,Jimmy Walker,98,.479,34.989,73
13,11,John Senden,99,.476,38.587,81
14,14,Michael Thompson,74,.466,27.951,60
15,17,Matt Kuchar,91,.457,34.717,76
16,15,Richard Lee,80,.446,27.183,61
17,16,Chad Collins,78,.438,26.719,61
18,18,Sangmoon Bae,76,.418,27.179,65
19,19,Ben Curtis,77,.400,25.623,64
20,20,Jordan Spieth,102,.399,31.520,79
21,21,Kevin Kisner,85,.388,27.176,70
22,27,Chris Kirk,105,.374,32.127,86
23,23,Andres Romero,81,.353,25.399,72
24,25,Retief Goosen,94,.352,27.461,78
25,26,Andrew Loupe,65,.350,17.494,50
26,28,Russell Henley,92,.332,24.920,75
26,29,K.J. Choi,80,.332,22.255,67
28,30,Brandt Snedeker,89,.326,21.541,66
29,56,Jason Day,54,.317,10.451,33
30,31,David Hearn,97,.315,25.838,82
30,22,Kevin Na,94,.315,24.589,78
32,32,William McGirt,96,.314,26.367,84
33,33,Jonas Blixt,64,.303,13.028,43
34,23,Webb Simpson,87,.300,22.203,74
35,50,Ryan Palmer,85,.295,19.733,67
36,35,Ben Martin,80,.291,18.338,63
37,41,Rickie Fowler,91,.290,17.976,62
38,37,Brian Stuard,91,.283,20.973,74
38,37,Paul Casey,56,.283,12.446,44
40,39,Erik Compton,88,.282,21.133,75
41,45,Rory McIlroy,66,.274,13.150,48
42,40,George McNeill,79,.271,18.955,70
43,42,Brian Gay,81,.268,16.901,63
43,42,Scott Langley,95,.268,21.185,79
45,44,Charley Hoffman,93,.266,20.191,76
46,45,Mike Weir,69,.256,13.559,53
47,47,Keegan Bradley,89,.254,17.003,67
48,48,Pat Perez,84,.251,18.859,75
49,49,Bryce Molder,77,.249,15.929,64
49,55,Patrick Reed,92,.249,18.440,74
51,52,Jerry Kelly,80,.239,15.752,66
52,53,Phil Mickelson,71,.234,11.722,50
53,57,Jason Kokrak,65,.222,13.532,61
54,62,Billy Horschel,92,.220,15.210,69
54,36,Adam Scott,68,.220,12.309,56
56,58,Scott Brown,100,.211,17.502,83
57,59,Hunter Mahan,88,.207,14.888,72
58,60,Tim Wilkinson,86,.205,14.569,71
59,61,Luke Guthrie,85,.190,14.457,76
60,63,Chris Stroud,88,.182,13.118,72
61,51,Sergio Garcia,61,.167,6.662,40
62,64,Brooks Koepka,56,.162,6.783,42
63,65,Ricky Barnes,92,.157,12.237,78
64,66,Will MacKenzie,82,.154,11.273,73
65,67,Lee Westwood,57,.151,6.509,43
66,53,Bill Haas,107,.147,12.063,82
67,68,Brian Davis,93,.145,11.779,81
68,69,Matt Jones,83,.142,8.511,60
69,70,Danny Lee,84,.141,9.737,69
70,71,Ben Crane,81,.138,10.726,78
71,72,Jason Bohn,81,.126,9.201,73
72,74,James Driscoll,71,.123,7.137,58
73,75,Brendan Steele,89,.121,8.462,70
74,76,Robert Streb,75,.119,7.609,64
75,77,Brian Harman,111,.113,11.399,101
76,78,Charlie Wi,72,.112,7.308,65
77,80,Brice Garnett,92,.109,8.475,78
78,78,Cameron Tringale,111,.107,10.507,98
79,73,Zach Johnson,97,.106,8.889,84
80,82,Ryo Ishikawa,75,.092,5.682,62
81,81,Jim Furyk,84,.091,6.024,66
82,83,Sean O'Hair,77,.082,5.510,67
82,83,Dustin Johnson,58,.082,3.362,41
84,85,Justin Hicks,103,.069,6.188,90
85,86,Ian Poulter,57,.067,2.759,41
86,87,David Toms,64,.055,2.970,54
86,87,Charl Schwartzel,64,.055,2.994,54
88,89,Johnson Wagner,69,.050,2.927,58
89,90,Robert Garrigus,80,.047,3.439,73
90,91,Ryan Moore,86,.042,2.629,62
91,92,Chesson Hadley,84,.041,2.884,71
92,93,Billy Hurley III,86,.039,2.815,72
93,94,Charles Howell III,106,.037,3.549,95
94,95,Tim Clark,75,.025,1.538,62
95,96,D.H. Lee,54,.024,1.062,45
95,96,Troy Merritt,62,.024,1.325,55
97,98,Tommy Gainey,73,.019,1.140,60
98,99,Tyrone Van Aswegen,79,.017,1.074,65
98,99,Jeff Overton,80,.017,1.129,66
100,101,Ángel Cabrera,69,.007,.439,61
101,102,Kevin Streelman,79,.006,.333,60
102,104,Camilo Villegas,95,.000,-.021,84
102,104,Wes Roach,67,.000,-.015,50
104,106,Marc Leishman,81,-.017,-1.140,69
105,107,Andrew Svoboda,77,-.026,-1.704,66
106,108,Harris English,95,-.028,-2.092,74
107,109,Brendon de Jonge,109,-.032,-2.961,92
108,113,Justin Rose,70,-.040,-2.062,52
109,111,Brad Fritsch,50,-.050,-1.947,39
109,110,Bubba Watson,76,-.050,-2.812,56
111,112,Bo Van Pelt,83,-.053,-3.574,67
112,115,Y.E. Yang,79,-.073,-4.430,61
113,116,J.B. Holmes,86,-.075,-5.753,77
113,116,Nick Watney,80,-.075,-4.191,56
115,118,Heath Slocum,71,-.078,-4.862,62
116,119,David Lingmerth,80,-.087,-5.820,67
117,120,Bronson La'Cassie,51,-.088,-3.170,36
118,121,Graham DeLaet,80,-.093,-5.982,64
119,122,Spencer Levin,59,-.094,-4.683,50
120,114,Martin Kaymer,65,-.111,-5.332,48
121,123,Russell Knox,92,-.116,-9.627,83
122,124,Gonzalo Fernandez-Castaño,83,-.120,-8.265,69
123,125,Seung-Yul Noh,92,-.121,-9.089,75
124,126,Stewart Cink,91,-.131,-9.399,72
125,127,Woody Austin,63,-.137,-7.810,57
126,128,Carl Pettersson,91,-.138,-11.737,85
127,129,Martin Flores,85,-.144,-9.760,68
128,130,Shawn Stefani,60,-.146,-8.331,57
129,131,Gary Woodland,93,-.149,-10.847,73
130,132,Martin Laird,66,-.154,-8.490,55
131,133,Briny Baird,50,-.156,-7.024,45
132,134,Kevin Tway,64,-.157,-7.357,47
133,135,John Huh,87,-.159,-11.142,70
134,136,Robert Allenby,83,-.163,-11.431,70
135,137,Henrik Stenson,56,-.170,-6.447,38
136,138,Ernie Els,85,-.171,-10.756,63
137,139,J.J. Henry,91,-.187,-14.566,78
138,140,Hudson Swafford,75,-.200,-11.617,58
139,142,Will Wilcox,51,-.204,-8.141,40
140,143,"Ted Potter, Jr.",68,-.216,-12.934,60
141,144,Josh Teater,90,-.218,-16.385,75
142,145,Charlie Beljan,76,-.231,-15.491,67
143,146,John Rollins,84,-.252,-16.864,67
144,147,Jonathan Byrd,76,-.271,-17.614,65
145,148,Kevin Chappell,100,-.278,-24.167,87
146,150,Scott Stallings,77,-.305,-19.191,63
147,151,James Hahn,82,-.306,-22.332,73
148,152,Rory Sabbatini,82,-.326,-21.162,65
149,141,Geoff Ogilvy,84,-.331,-24.193,73
150,154,D.A. Points,75,-.344,-18.917,55
151,155,Davis Love III,74,-.361,-22.774,63
152,156,Jim Herman,62,-.362,-17.364,48
153,157,Jhonattan Vegas,77,-.370,-23.675,64
154,158,Roberto Castro,76,-.384,-22.671,59
155,159,Bud Cauley,56,-.389,-17.896,46
156,149,Hideki Matsuyama,82,-.393,-25.129,64
157,160,Michael Putnam,106,-.409,-37.202,91
157,160,Ken Duke,80,-.409,-26.967,66
159,162,Troy Matteson,62,-.422,-20.683,49
160,163,Louis Oosthuizen,50,-.429,-12.882,30
161,164,Chad Campbell,57,-.434,-19.952,46
162,165,Kevin Stadler,90,-.467,-30.351,65
163,166,Trevor Immelman,84,-.474,-31.780,67
164,167,Mark Wilson,69,-.539,-30.747,57
165,168,Derek Ernst,80,-.558,-35.154,63
166,169,John Merrick,87,-.568,-40.919,72
167,170,Jason Dufner,57,-.576,-24.208,42
168,171,Vijay Singh,83,-.579,-43.983,76
169,172,Steven Bowditch,93,-.581,-45.280,78
170,173,Jamie Lovemark,64,-.585,-27.518,47
171,174,Nicholas Thompson,85,-.622,-43.514,70
172,175,Jeff Maggert,54,-.652,-28.696,44
173,176,Jim Renner,61,-.792,-41.196,52
174,177,John Peterson,62,-.819,-45.067,55
175,178,Boo Weekley,73,-1.152,-64.497,56
176,179,Kyle Stanley,87,-1.385,-99.737,72
177,180,Lucas Glover,68,-1.475,-69.302,47
