RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Fred Funk,112,77.86,"1,185","1,522"
2,2,Glen Hnatiuk,92,77.74,964,"1,240"
3,4,Hal Sutton,81,75.76,844,"1,114"
4,3,Jim Furyk,104,75.65,"1,072","1,417"
5,5,Robert Damron,96,74.93,"1,001","1,336"
6,6,Mike Grob,83,74.62,841,"1,127"
7,7,Jeff Maggert,81,74.20,837,"1,128"
8,8,Skip Kendall,110,74.19,"1,124","1,515"
9,9,Peter Jacobsen,75,74.06,771,"1,041"
10,10,Joe Durant,96,73.95,988,"1,336"
10,10,Tim Clark,79,73.95,795,"1,075"
12,12,Hidemichi Tanaka,112,73.83,"1,154","1,563"
13,13,Tom Byrum,97,73.79,988,"1,339"
14,14,Olin Browne,113,73.66,"1,116","1,515"
15,15,Heath Slocum,101,73.63,"1,005","1,365"
16,16,Gavin Coles,69,73.56,676,919
17,17,Loren Roberts,87,73.27,869,"1,186"
18,18,Notah Begay III,92,73.10,916,"1,253"
19,19,Kirk Triplett,92,72.90,904,"1,240"
20,20,Corey Pavin,88,72.34,855,"1,182"
21,21,Rocco Mediate,80,72.32,768,"1,062"
22,22,Carl Paulson,101,72.28,"1,017","1,407"
23,27,Scott Verplank,97,72.21,969,"1,342"
24,23,John Riegger,55,72.13,515,714
25,24,José Coceres,62,72.11,623,864
26,25,Donnie Hammond,92,72.07,911,"1,264"
27,26,Richard Johnson,89,72.02,883,"1,226"
28,28,Pat Bates,111,71.66,"1,067","1,489"
29,29,Paul Goydos,86,71.65,829,"1,157"
30,30,Tom Gillis,71,71.41,677,948
31,31,Glen Day,103,71.40,996,"1,395"
32,32,Billy Mayfair,105,71.36,"1,044","1,463"
33,33,David Peoples,96,71.29,941,"1,320"
34,34,Jeff Klein,60,71.18,568,798
35,36,Jerry Kelly,108,71.17,"1,022","1,436"
36,35,Kent Jones,74,70.97,682,961
37,37,Jay Williamson,93,70.56,894,"1,267"
38,38,Doug Barron,90,70.51,863,"1,224"
39,39,John Senden,111,70.41,"1,040","1,477"
40,40,Luke Donald,88,70.05,863,"1,232"
41,41,Garrett Willis,97,69.96,927,"1,325"
42,42,Kenny Perry,98,69.87,932,"1,334"
43,43,Mike Heinen,89,69.78,845,"1,211"
44,44,Jeff Brehaut,110,69.51,"1,026","1,476"
45,45,Jeff Sluman,106,69.49,"1,009","1,452"
46,46,Cliff Kresge,102,69.46,969,"1,395"
47,47,Steven Alker,87,69.32,811,"1,170"
48,48,John Maginnes,87,69.29,828,"1,195"
49,49,Aaron Barber,94,69.27,897,"1,295"
50,50,John Huston,76,68.97,720,"1,044"
51,52,Arron Oberholser,80,68.94,759,"1,101"
52,55,Chad Campbell,105,68.92,980,"1,422"
53,53,Spike McRoy,103,68.87,971,"1,410"
54,54,Frank Lickliter II,94,68.85,862,"1,252"
55,56,Tommy Armour III,66,68.72,602,876
56,57,Bob Estes,92,68.68,875,"1,274"
57,58,Gene Sauers,87,68.66,815,"1,187"
58,59,Kenneth Staton,59,68.47,543,793
59,60,Bob Burns,88,68.45,805,"1,176"
60,61,Briny Baird,113,68.42,"1,040","1,520"
61,62,Joey Sindelar,93,68.25,864,"1,266"
62,51,Justin Leonard,80,68.23,715,"1,048"
63,63,Chris Anderson,96,68.13,902,"1,324"
64,64,David Gossett,92,68.11,863,"1,267"
65,65,Matt Kuchar,63,68.01,574,844
65,65,Mark Wilson,82,68.01,757,"1,113"
65,65,Alex Cejka,98,68.01,863,"1,269"
68,68,Darron Stiles,93,67.94,833,"1,226"
69,69,Esteban Toledo,109,67.88,"1,004","1,479"
70,70,Dan Forsman,98,67.86,927,"1,366"
71,71,Mark Brooks,90,67.84,812,"1,197"
72,72,Jim Carter,95,67.78,869,"1,282"
73,78,Robert Allenby,87,67.77,759,"1,120"
74,73,Duffy Waldorf,90,67.70,811,"1,198"
75,74,J.P. Hayes,79,67.69,748,"1,105"
76,75,Tim Petrovic,108,67.67,971,"1,435"
77,76,Dicky Pride,73,67.66,678,"1,002"
78,77,Rod Pampling,87,67.63,775,"1,146"
79,79,Chris DiMarco,98,67.56,881,"1,304"
