RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION,GIR RANK
1,1,Jordan Spieth,82,1.694,"1,513",893,36.29,
2,2,Andrew Putnam,81,1.701,"1,534",902,34.30,
2,4,Rory McIlroy,72,1.701,"1,427",839,36.87,
4,5,Dominic Bozzelli,73,1.709,"1,379",807,34.12,
5,6,Wyndham Clark,87,1.710,"1,725","1,009",34.99,
5,2,Justin Rose,66,1.710,"1,236",723,34.95,
7,7,Justin Thomas,75,1.716,"1,572",916,35.60,
8,9,Vaughn Taylor,93,1.718,"1,881","1,095",33.18,
9,10,Denny McCarthy,89,1.720,"1,655",962,35.03,
10,8,Patrick Cantlay,77,1.721,"1,499",871,35.17,
11,11,Aaron Baddeley,55,1.722,"1,080",627,31.79,
12,17,Webb Simpson,81,1.726,"1,595",924,32.65,
12,13,Rickie Fowler,76,1.726,"1,600",927,32.93,
14,15,Patton Kizzire,76,1.728,"1,472",852,31.56,
14,15,Nate Lashley,70,1.728,"1,427",826,31.43,
16,17,Troy Merritt,69,1.729,"1,307",756,33.33,
16,17,Si Woo Kim,87,1.729,"1,656",958,34.52,
18,20,Bud Cauley,82,1.730,"1,716",992,33.17,
19,21,Patrick Reed,93,1.731,"1,816","1,049",32.89,
20,21,Peter Malnati,87,1.732,"1,656",956,32.18,
21,14,Bryson DeChambeau,75,1.733,"1,487",858,34.54,
22,23,Aaron Wise,72,1.734,"1,477",852,35.02,
22,23,Adam Hadwin,86,1.734,"1,729",997,32.49,
24,26,Scott Langley,78,1.735,"1,433",826,30.83,
25,31,Sungjae Im,122,1.736,"2,493","1,436",32.80,
25,26,Jon Rahm,75,1.736,"1,467",845,34.36,
25,28,Ryan Moore,74,1.736,"1,576",908,31.49,
25,28,Ian Poulter,65,1.736,"1,212",698,32.81,
29,31,Chez Reavie,99,1.737,"1,954","1,125",32.17,
29,23,Dustin Johnson,73,1.737,"1,466",844,33.41,
31,30,Rory Sabbatini,97,1.738,"1,947","1,120",32.23,
32,31,Roger Sloan,88,1.739,"1,711",984,33.03,
32,31,Beau Hossler,87,1.739,"1,741","1,001",32.36,
34,35,Kelly Kraft,87,1.740,"1,583",910,31.17,
35,37,Sam Ryder,76,1.742,"1,535",881,31.89,
35,37,Curtis Luck,65,1.742,"1,155",663,31.52,
37,39,Cody Gribble,74,1.743,"1,276",732,31.27,
37,39,J.T. Poston,100,1.743,"2,013","1,155",32.03,
37,39,Brandon Harkins,91,1.743,"1,762","1,011",32.94,
40,43,Ollie Schniederjans,77,1.744,"1,481",849,31.40,
40,53,Xander Schauffele,77,1.744,"1,589",911,33.04,
40,43,Cameron Tringale,73,1.744,"1,421",815,32.15,
43,45,Anirban Lahiri,73,1.746,"1,365",782,31.20,
43,56,Adam Scott,63,1.746,"1,322",757,33.95,
43,35,Brandt Snedeker,102,1.746,"2,020","1,157",30.65,
43,45,Ryan Blaum,90,1.746,"1,674",959,30.83,
43,45,Hudson Swafford,59,1.746,"1,196",685,30.06,
48,48,Jason Day,69,1.747,"1,403",803,31.96,
48,48,Rafa Cabrera Bello,71,1.747,"1,347",771,33.85,
48,48,Sebastián Muñoz,86,1.747,"1,717",983,31.87,
51,53,Nick Taylor,97,1.748,"1,968","1,126",31.14,
51,61,Paul Casey,79,1.748,"1,675",958,30.92,
51,53,Scott Piercy,90,1.748,"1,897","1,085",31.15,
51,39,Matt Kuchar,87,1.748,"1,746",999,31.76,
55,48,Abraham Ancer,93,1.749,"1,850","1,058",31.28,
55,56,Sam Burns,80,1.749,"1,590",909,31.86,
55,56,Brian Stuard,98,1.749,"1,920","1,098",30.08,
55,56,Michael Thompson,71,1.749,"1,469",840,31.54,
59,60,David Hearn,55,1.750,999,571,28.70,
60,91,Louis Oosthuizen,71,1.751,"1,348",770,31.24,
