RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,2,Omar Uresti,74,76.08,719,945
2,1,Joe Durant,67,75.94,644,848
3,3,Brian Gay,101,74.00,"1,016","1,373"
4,4,Tim Clark,88,73.72,875,"1,187"
5,5,Craig Bowden,56,72.86,518,711
6,6,Heath Slocum,97,72.42,948,"1,309"
7,7,David Toms,86,71.88,851,"1,184"
8,8,Zach Johnson,93,71.24,914,"1,283"
9,9,Ben Crane,85,71.13,818,"1,150"
10,10,Jim Furyk,76,71.01,735,"1,035"
11,11,Richard Johnson,90,70.92,817,"1,152"
12,12,Paul Goydos,78,70.58,770,"1,091"
13,15,Jerry Kelly,99,70.50,939,"1,332"
14,14,Garrett Willis,82,70.44,765,"1,086"
15,20,Jeff Quinney,91,70.34,849,"1,207"
16,13,Alex Cejka,81,70.31,772,"1,098"
17,16,Billy Mayfair,78,70.29,686,976
18,18,Chris DiMarco,88,70.13,817,"1,165"
19,22,Ben Curtis,78,70.07,768,"1,096"
20,21,Jay Williamson,76,69.87,661,946
21,18,Skip Kendall,58,69.63,486,698
22,17,Justin Leonard,89,69.46,855,"1,231"
23,22,John Mallinger,78,69.34,735,"1,060"
24,24,Jason Dufner,87,69.24,842,"1,216"
25,25,Chad Campbell,94,69.01,895,"1,297"
26,28,Mark Wilson,87,68.85,798,"1,159"
27,29,Chris Riley,73,68.70,641,933
28,,Cliff Kresge,50,68.59,439,640
29,26,Tom Gillis,97,68.54,926,"1,351"
30,27,Steve Stricker,73,68.50,696,"1,016"
31,30,Brian Davis,101,68.35,961,"1,406"
32,31,Rocco Mediate,71,68.27,654,958
33,31,Vaughn Taylor,87,68.26,828,"1,213"
34,33,Scott Verplank,74,68.16,700,"1,027"
35,34,Steve Elkington,74,68.01,640,941
36,35,Kenny Perry,69,67.99,650,956
36,35,Ryan Moore,80,67.99,754,"1,109"
38,37,Hunter Mahan,85,67.94,801,"1,179"
39,38,Matt Kuchar,97,67.89,907,"1,336"
40,44,Jeff Maggert,76,67.55,639,946
41,39,Tim Petrovic,105,67.37,989,"1,468"
41,48,Dean Wilson,54,67.37,450,668
43,42,Scott McCarron,90,67.36,842,"1,250"
44,41,Brent Delahoussaye,57,67.28,477,709
45,45,Aron Price,70,67.23,601,894
46,49,John Senden,103,67.22,970,"1,443"
47,46,Boo Weekley,88,67.14,750,"1,117"
48,40,Tom Pernice Jr.,74,66.95,622,929
49,50,Kevin Sutherland,86,66.89,798,"1,193"
49,43,Jason Bohn,84,66.89,782,"1,169"
51,51,Kris Blanks,91,66.87,773,"1,156"
52,52,Blake Adams,84,66.84,762,"1,140"
53,53,John Merrick,109,66.71,942,"1,412"
54,56,Woody Austin,93,66.48,823,"1,238"
55,54,Stephen Ames,75,66.47,686,"1,032"
56,55,Kevin Na,94,66.46,864,"1,300"
57,57,Will MacKenzie,72,66.33,666,"1,004"
58,47,Justin Bolli,55,66.28,452,682
59,63,Steve Flesch,78,66.02,678,"1,027"
60,60,K.J. Choi,82,65.99,720,"1,091"
61,70,Charles Warren,64,65.93,534,810
62,58,Chris Couch,66,65.87,606,920
63,61,James Nitties,92,65.69,785,"1,195"
64,62,Kevin Streelman,90,65.64,787,"1,199"
65,66,Brendon de Jonge,114,65.51,965,"1,473"
66,69,Briny Baird,87,65.45,756,"1,155"
66,64,Rod Pampling,77,65.45,701,"1,071"
68,59,Paul Stankowski,62,65.38,493,754
69,74,Mathew Goggin,85,65.24,775,"1,188"
70,65,Pat Perez,90,65.23,820,"1,257"
70,67,Bo Van Pelt,104,65.23,953,"1,461"
72,68,Justin Rose,78,65.17,711,"1,091"
73,73,Spencer Levin,110,65.12,924,"1,419"
74,72,J.J. Henry,92,65.07,760,"1,168"
75,70,J.P. Hayes,79,64.91,677,"1,043"
76,75,Retief Goosen,75,64.79,646,997
77,76,Robert Allenby,76,64.75,676,"1,044"
78,79,Henrik Bjornstad,72,64.74,595,919
78,77,Graham DeLaet,88,64.74,740,"1,143"
80,81,John Rollins,81,64.58,733,"1,135"
81,80,D.A. Points,90,64.52,811,"1,257"
82,82,Y.E. Yang,72,64.31,638,992
83,78,Mathias Grönberg,61,64.28,493,767
84,83,Brandt Snedeker,89,64.27,795,"1,237"
85,93,Davis Love III,79,64.20,712,"1,109"
86,91,Charlie Wi,95,64.19,848,"1,321"
86,87,Rickie Fowler,98,64.19,882,"1,374"
88,85,Bill Haas,87,64.17,779,"1,214"
89,86,Steve Wheatcroft,74,64.12,588,917
90,89,Trevor Immelman,55,64.07,494,771
91,84,Nicholas Thompson,88,64.04,748,"1,168"
92,90,Sean O'Hair,84,63.98,739,"1,155"
92,92,Stewart Cink,84,63.98,723,"1,130"
94,88,Kevin Johnson,62,63.85,498,780
95,94,Sergio Garcia,58,63.75,466,731
96,95,Cameron Beckman,68,63.72,569,893
97,96,Josh Teater,101,63.69,877,"1,377"
98,101,Michael Letzig,84,63.47,742,"1,169"
99,98,Jarrod Lyle,54,63.40,407,642
99,99,Michael Connell,89,63.40,717,"1,131"
101,99,Michael Sim,64,63.35,560,884
102,110,Vijay Singh,75,63.28,660,"1,043"
103,101,Bryce Molder,84,63.16,703,"1,113"
104,103,Ryuji Imada,90,63.11,792,"1,255"
105,104,Brian Stuard,81,63.09,658,"1,043"
106,97,Chris Tidland,77,63.08,644,"1,021"
107,108,Chris Stroud,90,62.98,718,"1,140"
108,104,Kevin Stadler,86,62.96,685,"1,088"
108,118,Jeff Gove,57,62.96,447,710
110,106,Adam Scott,70,62.93,601,955
111,107,Lucas Glover,75,62.84,656,"1,044"
112,108,Carl Pettersson,99,62.82,794,"1,264"
113,110,Ian Poulter,55,62.72,434,692
114,117,Shaun Micheel,70,62.67,544,868
115,112,Rory McIlroy,54,62.64,461,736
116,113,Nick Watney,91,62.63,776,"1,239"
117,114,Johnson Wagner,85,62.59,706,"1,128"
118,120,Roger Tambellini,77,62.57,600,959
119,125,Greg Kraft,52,62.50,400,640
120,115,Luke Donald,71,62.36,593,951
121,122,Mark Calcavecchia,50,62.18,370,595
122,119,Freddie Jacobson,83,62.16,721,"1,160"
123,116,Matt Every,60,62.06,499,804
124,130,Steve Marino,81,61.96,707,"1,141"
125,121,Steve Lowery,67,61.90,541,874
126,123,Camilo Villegas,78,61.66,624,"1,012"
126,123,Jerod Turner,54,61.66,394,639
128,126,Charley Hoffman,85,61.59,712,"1,156"
129,127,Jonathan Byrd,85,61.54,728,"1,183"
130,128,Greg Owen,69,61.46,590,960
131,131,Andrew McLardy,52,61.43,411,669
132,133,Bob Estes,79,61.41,673,"1,096"
133,129,D.J. Trahan,92,61.40,789,"1,285"
